PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED
2024,2024-03-28,747224,True,HOME,115,Colorado Rockies,DEBIL,16,1,16,0,0,1,0,0,8,1,10,6,0
2024,2024-03-29,747223,True,HOME,115,Colorado Rockies,DEBIL,7,3,3,4,0,1,0,2,8,1,5,2,0
2024,2024-03-30,747221,True,HOME,115,Colorado Rockies,DEBIL,4,9,2,2,0,2,5,2,9,0,4,0,0
2024,2024-03-31,747222,True,HOME,115,Colorado Rockies,DEBIL,5,1,3,2,0,0,1,0,8,1,5,0,0
2024,2024-04-01,747218,True,HOME,147,New York Yankees,FUERTE,2,5,1,0,1,5,0,0,9,0,1,1,0
2024,2024-04-02,747220,True,HOME,147,New York Yankees,FUERTE,7,0,3,0,4,0,0,0,8,2,3,4,0
2024,2024-04-03,747219,True,HOME,147,New York Yankees,FUERTE,5,6,1,1,3,0,2,4,11,0,2,3,0
2024,2024-04-05,747143,False,AWAY,144,Atlanta Braves,FUERTE,5,6,3,2,0,2,0,4,10,1,5,0,0
2024,2024-04-06,747140,False,AWAY,144,Atlanta Braves,FUERTE,8,9,6,2,0,0,5,4,9,1,8,0,0
2024,2024-04-07,747141,False,AWAY,144,Atlanta Braves,FUERTE,2,5,0,2,0,2,1,2,9,0,2,0,0
2024,2024-04-08,746569,False,AWAY,115,Colorado Rockies,DEBIL,5,7,0,4,1,1,5,1,9,1,4,1,0
2024,2024-04-09,746571,False,AWAY,115,Colorado Rockies,DEBIL,3,2,3,0,0,1,1,0,9,0,3,0,0
2024,2024-04-10,746573,False,AWAY,115,Colorado Rockies,DEBIL,5,3,2,0,3,1,2,0,9,0,2,3,0
2024,2024-04-12,747217,True,HOME,138,St. Louis Cardinals,MEDIO,6,9,0,6,0,6,0,3,9,1,4,2,0
2024,2024-04-13,747215,True,HOME,138,St. Louis Cardinals,MEDIO,4,2,1,3,0,0,1,1,8,1,4,0,0
2024,2024-04-14,747216,True,HOME,138,St. Louis Cardinals,MEDIO,5,0,0,5,0,0,0,0,8,1,5,0,0
2024,2024-04-15,747213,True,HOME,112,Chicago Cubs,MEDIO,2,3,1,0,1,1,0,2,11,0,1,1,0
2024,2024-04-16,747214,True,HOME,112,Chicago Cubs,MEDIO,12,11,4,4,4,1,4,6,10,2,7,5,0
2024,2024-04-17,747212,True,HOME,112,Chicago Cubs,MEDIO,3,5,1,1,1,0,3,2,9,0,2,1,0
2024,2024-04-18,745356,False,AWAY,137,San Francisco Giants,MEDIO,0,5,0,0,0,1,0,4,9,0,0,0,0
2024,2024-04-19,745352,False,AWAY,137,San Francisco Giants,MEDIO,17,1,1,4,12,0,1,0,9,3,5,12,0
2024,2024-04-20,745354,False,AWAY,137,San Francisco Giants,MEDIO,3,7,1,2,0,3,2,2,9,0,3,0,0
2024,2024-04-21,745353,False,AWAY,137,San Francisco Giants,MEDIO,5,3,1,2,2,0,2,1,9,0,1,4,0
2024,2024-04-22,745191,False,AWAY,138,St. Louis Cardinals,MEDIO,3,5,2,1,0,0,2,3,9,0,3,0,0
2024,2024-04-23,745193,False,AWAY,138,St. Louis Cardinals,MEDIO,14,1,4,10,0,1,0,0,9,3,7,7,0
2024,2024-04-24,745188,False,AWAY,138,St. Louis Cardinals,MEDIO,1,5,1,0,0,0,2,3,9,0,1,0,0
2024,2024-04-26,745269,False,AWAY,136,Seattle Mariners,FUERTE,1,6,0,1,0,2,4,0,9,0,1,0,0
2024,2024-04-27,745266,False,AWAY,136,Seattle Mariners,FUERTE,1,3,0,0,1,0,1,2,9,0,0,1,0
2024,2024-04-28,745265,False,AWAY,136,Seattle Mariners,FUERTE,3,2,1,0,2,2,0,0,9,0,2,1,0
2024,2024-04-29,747211,True,HOME,119,Los Angeles Dodgers,MEDIO,4,8,1,3,0,2,5,1,9,1,4,0,0
2024,2024-04-30,747210,True,HOME,119,Los Angeles Dodgers,MEDIO,4,3,0,1,3,0,2,1,10,0,1,3,0
2024,2024-05-01,747207,True,HOME,119,Los Angeles Dodgers,MEDIO,0,8,0,0,0,6,0,2,9,0,0,0,0
2024,2024-05-03,747208,True,HOME,135,San Diego Padres,FUERTE,1,7,0,1,0,0,7,0,9,0,1,0,0
2024,2024-05-04,747209,True,HOME,135,San Diego Padres,FUERTE,1,13,0,0,1,1,2,10,9,0,0,1,0
2024,2024-05-05,747206,True,HOME,135,San Diego Padres,FUERTE,11,4,6,5,0,4,0,0,8,2,8,3,0
2024,2024-05-07,746718,False,AWAY,113,Cincinnati Reds,MEDIO,6,2,1,1,4,0,0,2,9,1,2,4,0
2024,2024-05-08,746717,False,AWAY,113,Cincinnati Reds,MEDIO,4,3,2,1,1,1,1,1,9,0,3,1,0
2024,2024-05-09,746715,False,AWAY,113,Cincinnati Reds,MEDIO,5,4,1,2,2,0,1,3,9,0,3,2,0
2024,2024-05-10,747043,False,AWAY,110,Baltimore Orioles,MEDIO,2,4,1,1,0,2,1,1,9,0,2,0,0
2024,2024-05-11,747041,False,AWAY,110,Baltimore Orioles,MEDIO,4,5,2,2,0,2,1,2,11,0,4,0,0
2024,2024-05-12,747042,False,AWAY,110,Baltimore Orioles,MEDIO,9,2,0,9,0,0,2,0,9,1,6,3,0
2024,2024-05-13,747204,True,HOME,113,Cincinnati Reds,MEDIO,6,5,3,0,3,2,1,2,9,0,3,3,0
2024,2024-05-14,747205,True,HOME,113,Cincinnati Reds,MEDIO,2,6,2,0,0,0,6,0,9,0,2,0,0
2024,2024-05-15,747203,True,HOME,113,Cincinnati Reds,MEDIO,2,1,1,0,1,0,1,0,8,0,1,1,0
2024,2024-05-17,747201,True,HOME,116,Detroit Tigers,FUERTE,0,13,0,0,0,4,9,0,9,0,0,0,0
2024,2024-05-18,747202,True,HOME,116,Detroit Tigers,FUERTE,3,8,0,2,1,0,0,8,9,0,2,1,0
2024,2024-05-19,747198,True,HOME,116,Detroit Tigers,FUERTE,6,4,3,1,2,1,2,1,8,0,4,2,0
2024,2024-05-20,746146,False,AWAY,119,Los Angeles Dodgers,MEDIO,4,6,1,0,3,6,0,0,9,0,2,2,0
