DATE,GAME_PK,RS_GAMELOG,PERIOD
2024-03-28,747224,16,2024
2024-03-29,747223,7,2024
2024-03-30,747221,4,2024
2024-03-31,747222,5,2024
2024-04-01,747218,2,2024
2024-04-02,747220,7,2024
2024-04-03,747219,5,2024
2024-04-05,747143,5,2024
2024-04-06,747140,8,2024
2024-04-07,747141,2,2024
2024-04-08,746569,5,2024
2024-04-09,746571,3,2024
2024-04-10,746573,5,2024
2024-04-12,747217,6,2024
2024-04-13,747215,4,2024
2024-04-14,747216,5,2024
2024-04-15,747213,2,2024
2024-04-16,747214,12,2024
2024-04-17,747212,3,2024
2024-04-18,745356,0,2024
2024-04-19,745352,17,2024
2024-04-20,745354,3,2024
2024-04-21,745353,5,2024
2024-04-22,745191,3,2024
2024-04-23,745193,14,2024
2024-04-24,745188,1,2024
2024-04-26,745269,1,2024
2024-04-27,745266,1,2024
2024-04-28,745265,3,2024
2024-04-29,747211,4,2024
2024-04-30,747210,4,2024
2024-05-01,747207,0,2024
2024-05-03,747208,1,2024
2024-05-04,747209,1,2024
2024-05-05,747206,11,2024
2024-05-07,746718,6,2024
2024-05-08,746717,4,2024
2024-05-09,746715,5,2024
2024-05-10,747043,2,2024
2024-05-11,747041,4,2024
2024-05-12,747042,9,2024
2024-05-13,747204,6,2024
2024-05-14,747205,2,2024
2024-05-15,747203,2,2024
2024-05-17,747201,0,2024
2024-05-18,747202,3,2024
2024-05-19,747198,6,2024
2024-05-20,746146,4,2024
2024-05-21,746145,7,2024
2024-05-22,746143,6,2024
2024-05-24,747200,0,2024
2024-05-25,747199,3,2024
2024-05-26,747197,1,2024
2024-05-28,745017,2,2024
2024-05-29,745011,1,2024
2024-05-30,745819,2,2024
2024-05-31,745820,9,2024
2024-06-01,745812,10,2024
2024-06-02,745813,5,2024
2024-06-03,747194,4,2024
2024-06-04,747196,8,2024
2024-06-05,747195,3,2024
2024-06-06,745408,4,2024
2024-06-07,745406,3,2024
2024-06-08,745410,1,2024
2024-06-09,745407,9,2024
2024-06-11,747190,9,2024
2024-06-12,747193,3,2024
