PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,747224,668678,STARTER,15,3,1,0,2,1,3,21
2024,747224,543518,BULLPEN,3,0,0,0,1,0,1,4
2024,747224,612434,BULLPEN,3,0,0,0,0,0,1,3
2024,747224,669459,BULLPEN,3,0,0,0,0,0,1,3
2024,747224,666818,BULLPEN,3,1,0,0,0,0,0,3
2024,747223,518876,STARTER,20,3,1,1,0,0,8,22
2024,747223,573009,BULLPEN,3,3,2,0,0,0,2,6
2024,747223,657044,BULLPEN,1,0,0,0,0,0,1,1
2024,747223,656464,BULLPEN,3,1,0,0,0,0,0,4
2024,747221,674072,STARTER,12,6,5,1,2,0,4,19
2024,747221,666818,BULLPEN,3,1,2,0,1,0,1,5
2024,747221,686826,BULLPEN,9,3,2,1,2,0,4,14
2024,747221,669459,BULLPEN,3,0,0,0,1,0,0,3
2024,747222,694297,STARTER,15,5,1,0,0,2,6,21
2024,747222,543518,BULLPEN,6,1,0,0,0,0,0,6
2024,747222,657044,BULLPEN,3,1,0,0,0,0,0,3
2024,747222,656464,BULLPEN,3,1,0,0,0,0,3,4
2024,747218,669194,STARTER,8,5,4,0,4,0,2,17
2024,747218,669459,BULLPEN,6,1,0,0,0,0,1,7
2024,747218,612434,BULLPEN,5,1,0,0,0,0,0,6
2024,747218,573009,BULLPEN,5,1,0,0,0,0,1,6
2024,747218,666818,BULLPEN,3,0,0,0,1,0,0,3
2024,747220,668678,STARTER,18,3,0,0,3,0,6,22
2024,747220,543518,BULLPEN,3,0,0,0,0,0,2,3
2024,747220,657044,BULLPEN,3,0,0,0,0,0,0,3
2024,747220,686826,BULLPEN,3,0,0,0,0,0,0,3
2024,747219,518876,STARTER,21,5,2,1,1,0,4,26
2024,747219,573009,BULLPEN,3,0,0,0,0,0,1,3
2024,747219,657044,BULLPEN,3,0,0,0,0,0,1,3
2024,747219,656464,BULLPEN,3,1,1,1,0,0,0,4
2024,747219,543518,BULLPEN,3,2,1,0,0,0,1,5
2024,747143,674072,STARTER,15,6,2,1,2,1,5,25
2024,747143,657044,BULLPEN,4,1,0,0,0,0,1,5
2024,747143,573009,BULLPEN,3,0,0,0,1,0,0,4
2024,747143,612434,BULLPEN,1,2,1,0,0,0,0,3
2024,747143,656464,BULLPEN,4,2,1,0,0,0,2,7
2024,747143,543518,BULLPEN,0,1,0,0,0,0,0,1
2024,747140,694297,STARTER,17,8,5,1,1,0,7,27
2024,747140,686826,BULLPEN,4,4,2,0,0,0,1,8
2024,747140,666818,BULLPEN,1,3,1,0,0,0,0,4
2024,747140,669459,BULLPEN,2,0,0,0,1,0,2,3
2024,747141,669194,STARTER,15,5,3,2,0,0,7,21
2024,747141,669459,BULLPEN,5,0,0,0,0,0,2,5
2024,747141,612434,BULLPEN,4,2,2,1,0,0,1,6
2024,746569,668678,STARTER,15,8,3,0,0,0,10,23
2024,746569,543518,BULLPEN,2,2,3,0,2,0,0,6
2024,746569,573009,BULLPEN,1,1,0,0,1,0,0,3
2024,746569,666818,BULLPEN,6,2,1,1,0,0,4,7
2024,746571,518876,STARTER,18,6,2,0,3,0,4,24
2024,746571,657044,BULLPEN,4,1,0,0,0,0,0,5
2024,746571,669459,BULLPEN,2,1,0,0,0,0,0,3
2024,746571,656464,BULLPEN,3,0,0,0,0,0,2,3
2024,746573,674072,STARTER,15,4,2,1,3,0,6,24
2024,746573,686826,BULLPEN,8,1,0,0,1,0,3,10
2024,746573,573009,BULLPEN,1,0,0,0,0,0,0,1
2024,746573,656464,BULLPEN,3,1,0,0,2,0,2,6
2024,747217,694297,STARTER,18,7,6,2,2,0,4,26
2024,747217,573009,BULLPEN,2,2,1,0,0,0,1,4
2024,747217,612434,BULLPEN,1,1,0,0,0,0,0,2
2024,747217,543518,BULLPEN,3,2,2,0,0,0,1,5
2024,747217,666818,BULLPEN,3,2,0,0,1,0,2,6
2024,747215,669194,STARTER,18,7,1,0,1,0,4,26
2024,747215,669459,BULLPEN,4,1,0,0,0,0,0,4
2024,747215,657044,BULLPEN,2,3,1,0,0,0,1,5
2024,747215,656464,BULLPEN,3,0,0,0,0,0,0,3
2024,747216,668678,STARTER,18,4,0,0,2,0,7,23
2024,747216,573009,BULLPEN,4,0,0,0,1,0,1,5
2024,747216,686826,BULLPEN,5,0,0,0,0,0,0,5
2024,747213,518876,STARTER,15,3,1,1,2,0,5,20
2024,747213,669459,BULLPEN,3,0,0,0,0,0,1,3
2024,747213,612434,BULLPEN,2,1,0,0,1,0,1,4
2024,747213,573009,BULLPEN,1,0,0,0,0,0,0,1
2024,747213,657044,BULLPEN,3,1,0,0,0,0,1,4
2024,747213,656464,BULLPEN,3,2,1,0,0,0,1,5
2024,747213,686826,BULLPEN,6,2,0,0,2,0,2,9
2024,747214,674072,STARTER,13,9,5,0,1,0,3,21
2024,747214,543518,BULLPEN,5,0,0,0,0,0,2,5
2024,747214,666818,BULLPEN,0,2,3,0,1,0,0,3
2024,747214,669459,BULLPEN,2,2,3,1,1,0,0,5
2024,747214,612434,BULLPEN,7,1,0,0,0,0,3,8
2024,747214,656464,BULLPEN,3,0,0,0,0,0,0,3
2024,747212,694297,STARTER,21,6,2,1,0,0,6,27
2024,747212,573009,BULLPEN,1,3,2,0,1,0,0,5
2024,747212,679885,BULLPEN,5,0,0,0,1,0,1,6
2024,745356,669194,STARTER,6,2,0,0,0,0,0,7
2024,745356,663531,BULLPEN,14,3,1,0,1,0,3,18
2024,745356,686826,BULLPEN,2,1,1,0,1,0,0,5
2024,745356,669459,BULLPEN,2,2,1,0,1,0,1,5
2024,745352,656756,STARTER,18,4,1,1,0,0,3,22
2024,745352,543518,BULLPEN,5,0,0,0,0,0,1,5
2024,745352,679885,BULLPEN,4,0,0,0,3,0,1,7
2024,745354,668678,STARTER,15,9,5,2,1,0,6,25
2024,745354,573009,BULLPEN,2,1,0,0,0,0,0,3
2024,745354,686826,BULLPEN,4,2,0,0,0,0,2,6
2024,745354,612434,BULLPEN,3,4,2,0,0,0,0,7
2024,745353,677944,STARTER,18,2,2,1,0,1,3,21
2024,745353,686826,BULLPEN,3,1,0,0,2,0,0,6
2024,745353,657044,BULLPEN,3,0,0,0,1,0,0,3
2024,745353,656464,BULLPEN,3,2,1,0,0,0,1,5
2024,745191,694297,STARTER,16,2,2,0,3,0,4,21
2024,745191,543518,BULLPEN,4,3,1,1,1,0,0,6
2024,745191,573009,BULLPEN,1,0,0,0,0,0,0,1
2024,745191,657044,BULLPEN,3,1,1,0,0,0,1,4
2024,745191,669459,BULLPEN,0,1,1,1,0,0,0,1
2024,745193,674072,STARTER,18,5,1,1,1,0,6,23
2024,745193,663531,BULLPEN,9,1,0,0,1,1,2,12
