PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,747224,607536,STARTER,1
2024,747224,607536,STARTER,1
2024,747224,607536,STARTER,3
2024,747224,607536,STARTER,3
2024,747224,607536,STARTER,3
2024,747224,607536,STARTER,3
2024,747224,607536,STARTER,3
2024,747224,607536,STARTER,3
2024,747224,607536,STARTER,3
2024,747224,607536,STARTER,3
2024,747224,683627,BULLPEN,3
2024,747224,683627,BULLPEN,3
2024,747224,683627,BULLPEN,3
2024,747224,683627,BULLPEN,3
2024,747224,683627,BULLPEN,3
2024,747224,683627,BULLPEN,3
2024,747223,615698,STARTER,1
2024,747223,615698,STARTER,1
2024,747223,615698,STARTER,3
2024,747223,615698,STARTER,6
2024,747223,656234,BULLPEN,6
2024,747223,615698,STARTER,6
2024,747223,656234,BULLPEN,6
2024,747221,596295,STARTER,1
2024,747221,596295,STARTER,1
2024,747221,596295,STARTER,4
2024,747221,596295,STARTER,5
2024,747222,663372,STARTER,1
2024,747222,663372,STARTER,1
2024,747222,663372,STARTER,1
2024,747222,663372,STARTER,5
2024,747222,663372,STARTER,5
2024,747218,661563,STARTER,3
2024,747218,596133,BULLPEN,7
2024,747220,641482,STARTER,1
2024,747220,641482,STARTER,1
2024,747220,641482,STARTER,1
2024,747220,664776,BULLPEN,7
2024,747220,624647,BULLPEN,7
2024,747220,624647,BULLPEN,7
2024,747220,664776,BULLPEN,8
2024,747219,607074,STARTER,2
2024,747219,607074,STARTER,5
2024,747219,605280,BULLPEN,10
2024,747219,605280,BULLPEN,10
2024,747219,605280,BULLPEN,11
2024,747143,675911,STARTER,1
2024,747143,675911,STARTER,1
2024,747143,675911,STARTER,1
2024,747143,675911,STARTER,4
2024,747143,675911,STARTER,4
2024,747140,608331,STARTER,1
2024,747140,608331,STARTER,1
2024,747140,608331,STARTER,1
2024,747140,608331,STARTER,1
2024,747140,608331,STARTER,1
2024,747140,608331,STARTER,1
2024,747140,608331,STARTER,5
2024,747140,608331,STARTER,5
2024,747141,519242,STARTER,4
2024,747141,519242,STARTER,4
2024,746569,607536,STARTER,4
2024,746569,607536,STARTER,4
2024,746569,607536,STARTER,4
2024,746569,607536,STARTER,4
2024,746569,683232,BULLPEN,9
2024,746571,615698,STARTER,1
2024,746571,615698,STARTER,1
2024,746571,615698,STARTER,2
2024,746573,596295,STARTER,1
2024,746573,596295,STARTER,2
2024,746573,656234,BULLPEN,7
2024,746573,664875,BULLPEN,9
2024,746573,664875,BULLPEN,9
2024,747217,571927,STARTER,5
2024,747217,571927,STARTER,5
2024,747217,571927,STARTER,5
2024,747217,606149,BULLPEN,5
2024,747217,571927,STARTER,5
2024,747217,606149,BULLPEN,5
2024,747215,502043,STARTER,1
2024,747215,502043,STARTER,6
2024,747215,502043,STARTER,6
2024,747215,502043,STARTER,6
2024,747216,571945,STARTER,5
2024,747216,571945,STARTER,5
2024,747216,571945,STARTER,5
2024,747216,571945,STARTER,5
2024,747216,571945,STARTER,5
2024,747213,676962,STARTER,2
2024,747213,592767,BULLPEN,8
2024,747214,543294,STARTER,2
2024,747214,543294,STARTER,3
2024,747214,543294,STARTER,3
2024,747214,543294,STARTER,3
2024,747214,543294,STARTER,5
2024,747214,543294,STARTER,5
2024,747214,543294,STARTER,5
2024,747214,681432,BULLPEN,5
2024,747214,694037,BULLPEN,7
2024,747214,643410,BULLPEN,8
2024,747214,640470,BULLPEN,9
2024,747214,592767,BULLPEN,10
2024,747212,696136,STARTER,1
2024,747212,696136,STARTER,5
2024,747212,592767,BULLPEN,9
2024,745352,605483,STARTER,3
2024,745352,605483,STARTER,4
2024,745352,605483,STARTER,5
2024,745352,605483,STARTER,5
2024,745352,605483,STARTER,5
2024,745352,694738,BULLPEN,7
2024,745352,694738,BULLPEN,7
2024,745352,694738,BULLPEN,7
2024,745352,694738,BULLPEN,7
2024,745352,678906,BULLPEN,8
2024,745352,678906,BULLPEN,8
2024,745352,687014,BULLPEN,8
2024,745352,678906,BULLPEN,8
2024,745352,678906,BULLPEN,8
2024,745352,678906,BULLPEN,8
2024,745352,666149,BULLPEN,9
2024,745352,666149,BULLPEN,9
2024,745354,690986,STARTER,1
2024,745354,690986,STARTER,4
2024,745354,690986,STARTER,4
2024,745353,663855,STARTER,2
2024,745353,669062,BULLPEN,6
2024,745353,669062,BULLPEN,6
2024,745353,687014,BULLPEN,9
2024,745353,687014,BULLPEN,9
2024,745191,458681,STARTER,2
2024,745191,458681,STARTER,2
2024,745191,458681,STARTER,5
2024,745193,571927,STARTER,3
2024,745193,571927,STARTER,3
2024,745193,571927,STARTER,3
2024,745193,571927,STARTER,3
2024,745193,571927,STARTER,5
2024,745193,571927,STARTER,5
2024,745193,571927,STARTER,5
2024,745193,668868,BULLPEN,5
2024,745193,668868,BULLPEN,5
2024,745193,668868,BULLPEN,5
2024,745193,668868,BULLPEN,6
2024,745193,668868,BULLPEN,6
2024,745193,668868,BULLPEN,6
2024,745193,668868,BULLPEN,6
2024,745188,502043,STARTER,1
2024,745269,676106,STARTER,6
2024,745266,592773,BULLPEN,8
2024,745265,669302,STARTER,2
2024,745265,669302,STARTER,7
2024,745265,663423,BULLPEN,8
2024,747211,572020,STARTER,1
2024,747211,572020,STARTER,5
2024,747211,572020,STARTER,5
2024,747211,572020,STARTER,5
2024,747210,689017,STARTER,4
2024,747210,543339,BULLPEN,8
2024,747210,622503,BULLPEN,10
2024,747210,622503,BULLPEN,10
2024,747208,656302,STARTER,5
2024,747209,663568,BULLPEN,9
2024,747206,663362,STARTER,1
2024,747206,663362,STARTER,1
2024,747206,663362,STARTER,1
2024,747206,663362,STARTER,1
2024,747206,663362,STARTER,2
2024,747206,663362,STARTER,2
2024,747206,663362,STARTER,4
2024,747206,663362,STARTER,4
2024,747206,666745,BULLPEN,4
2024,747206,666745,BULLPEN,4
2024,747206,666745,BULLPEN,5
2024,746718,593423,STARTER,3
2024,746718,593423,STARTER,5
2024,746718,458677,BULLPEN,7
2024,746718,458677,BULLPEN,7
2024,746718,458677,BULLPEN,7
2024,746718,458677,BULLPEN,7
2024,746717,668933,STARTER,3
2024,746717,668933,STARTER,3
2024,746717,668933,STARTER,6
2024,746717,608371,BULLPEN,8
2024,746715,668881,STARTER,1
2024,746715,668881,STARTER,6
2024,746715,668881,STARTER,6
2024,746715,607259,BULLPEN,7
2024,746715,518585,BULLPEN,8
2024,747043,608344,STARTER,3
2024,747043,608344,STARTER,6
2024,747041,607644,STARTER,3
2024,747041,607644,STARTER,3
2024,747041,607644,STARTER,5
2024,747041,607644,STARTER,5
2024,747042,665152,STARTER,4
2024,747042,665152,STARTER,5
2024,747042,665152,STARTER,5
2024,747042,665152,STARTER,6
2024,747042,665152,STARTER,6
2024,747042,672335,BULLPEN,6
2024,747042,665152,STARTER,6
2024,747042,672335,BULLPEN,6
2024,747042,672335,BULLPEN,6
2024,747204,668933,STARTER,2
2024,747204,668933,STARTER,3
2024,747204,668933,STARTER,3
2024,747204,518585,BULLPEN,7
2024,747204,664747,BULLPEN,9
2024,747204,664747,BULLPEN,9
2024,747205,668881,STARTER,3
2024,747205,668881,STARTER,3
2024,747203,671096,STARTER,2
2024,747203,518585,BULLPEN,8
2024,747202,656427,STARTER,6
2024,747202,656427,STARTER,6
2024,747202,605177,BULLPEN,8
2024,747198,666159,STARTER,1
2024,747198,666159,STARTER,1
2024,747198,666159,STARTER,2
2024,747198,666159,STARTER,4
2024,747198,663947,BULLPEN,7
2024,747198,656412,BULLPEN,7
2024,746146,808967,STARTER,3
2024,746146,808967,STARTER,7
2024,746146,622694,BULLPEN,8
2024,746146,622694,BULLPEN,8
2024,746145,694813,STARTER,2
2024,746145,694813,STARTER,2
2024,746145,694813,STARTER,5
2024,746145,694813,STARTER,6
2024,746145,675627,BULLPEN,7
2024,746145,675627,BULLPEN,7
2024,746145,675627,BULLPEN,7
2024,746143,607192,STARTER,5
2024,746143,607192,STARTER,5
2024,746143,607192,STARTER,5
2024,746143,622694,BULLPEN,6
2024,746143,642232,BULLPEN,8
2024,746143,642232,BULLPEN,8
2024,747199,664350,STARTER,1
2024,747199,664350,STARTER,1
2024,747199,664350,STARTER,2
2024,747197,676534,BULLPEN,8
2024,745017,543135,STARTER,2
2024,745017,543135,STARTER,2
2024,745011,656641,BULLPEN,9
2024,745819,681035,STARTER,3
2024,745819,681035,STARTER,3
2024,745820,622663,STARTER,1
2024,745820,622663,STARTER,1
2024,745820,622663,STARTER,1
2024,745820,622663,STARTER,3
2024,745820,622663,STARTER,6
2024,745820,657585,BULLPEN,9
2024,745820,656887,BULLPEN,9
2024,745820,656887,BULLPEN,9
2024,745820,657585,BULLPEN,9
2024,745812,640455,STARTER,3
2024,745812,640455,STARTER,3
2024,745812,640455,STARTER,3
2024,745812,640455,STARTER,3
2024,745812,640455,STARTER,6
2024,745812,640455,STARTER,6
2024,745812,677020,BULLPEN,7
2024,745812,677020,BULLPEN,7
2024,745812,677020,BULLPEN,8
2024,745812,677020,BULLPEN,8
2024,745813,500779,STARTER,1
2024,745813,500779,STARTER,1
2024,745813,500779,STARTER,2
2024,745813,518617,BULLPEN,9
2024,745813,518617,BULLPEN,9
2024,747194,675921,BULLPEN,2
2024,747194,675921,BULLPEN,2
2024,747194,678495,BULLPEN,9
2024,747194,678495,BULLPEN,9
2024,747196,690986,STARTER,3
2024,747196,690986,STARTER,3
2024,747196,690986,STARTER,3
2024,747196,690986,STARTER,4
2024,747196,592426,BULLPEN,7
2024,747196,592426,BULLPEN,7
2024,747196,592426,BULLPEN,7
2024,747196,592426,BULLPEN,7
2024,747195,663855,STARTER,1
2024,747195,663855,STARTER,4
2024,747195,663546,BULLPEN,5
2024,745408,681190,STARTER,1
2024,745408,681190,STARTER,2
2024,745408,681190,STARTER,2
2024,745408,669093,BULLPEN,7
2024,745406,593974,BULLPEN,7
2024,745406,593974,BULLPEN,7
2024,745406,593974,BULLPEN,7
2024,745410,663362,STARTER,5
2024,745407,800049,STARTER,1
2024,745407,800049,STARTER,2
2024,745407,800049,STARTER,2
2024,745407,800049,STARTER,2
2024,745407,800049,STARTER,2
2024,745407,800049,STARTER,2
2024,745407,800049,STARTER,2
2024,745407,800049,STARTER,4
2024,745407,666745,BULLPEN,4
2024,747190,660761,STARTER,2
2024,747190,660761,STARTER,2
2024,747190,660761,STARTER,3
2024,747190,660761,STARTER,3
2024,747190,608334,BULLPEN,5
2024,747190,608334,BULLPEN,6
2024,747190,690829,BULLPEN,7
2024,747190,690829,BULLPEN,7
2024,747190,690829,BULLPEN,7
2024,747193,667755,STARTER,8
2024,747193,519043,BULLPEN,9
2024,747193,667755,STARTER,9
2024,747192,656288,STARTER,1
2024,747192,656288,STARTER,1
2024,747192,656288,STARTER,1
2024,747192,656288,STARTER,3
2024,747192,519326,BULLPEN,7
2024,747192,519326,BULLPEN,7
2024,747192,472610,BULLPEN,7
2024,747192,519326,BULLPEN,7
2024,747192,472610,BULLPEN,7
2024,747192,472610,BULLPEN,7
2024,747192,672710,BULLPEN,8
2024,747191,623167,STARTER,2
2024,747191,623167,STARTER,2
2024,747191,623167,STARTER,3
2024,747191,623167,STARTER,4
2024,747191,623167,STARTER,4
2024,747191,623167,STARTER,4
2024,747191,647336,BULLPEN,7
2024,747187,607200,STARTER,1
2024,747187,607200,STARTER,5
2024,747189,689672,STARTER,1
2024,747189,689672,STARTER,1
2024,747189,689672,STARTER,1
2024,747189,689672,STARTER,3
2024,747189,689672,STARTER,4
2024,747189,689672,STARTER,4
2024,747189,689672,STARTER,4
2024,747189,689672,STARTER,4
2024,747189,641771,BULLPEN,4
2024,747189,641771,BULLPEN,4
2024,747189,641771,BULLPEN,6
2024,747189,641771,BULLPEN,6
2024,744843,663623,STARTER,1
2024,744843,663623,STARTER,1
2024,744843,663623,STARTER,5
2024,744843,663623,STARTER,5
2024,744843,606930,BULLPEN,6
2024,744842,571578,STARTER,4
2024,744841,669022,STARTER,4
2024,744841,669022,STARTER,4
2024,744841,669022,STARTER,4
2024,744841,669022,STARTER,5
2024,744841,607179,BULLPEN,9
2024,745562,592836,STARTER,2
2024,745562,592836,STARTER,3
2024,745562,592836,STARTER,3
2024,745562,592836,STARTER,3
2024,745562,622554,BULLPEN,8
2024,745564,554430,STARTER,5
2024,745566,656546,BULLPEN,9
2024,747188,657746,STARTER,1
2024,747188,657746,STARTER,1
