PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,18,99,30,31,38,59,40,162,14,723,27,83,4,194,42,233,48,5.5,3.2777777777777777,2.2222222222222223,8.641975308641975,21.649484536082475,20.600858369098713
2024,DEBIL,HOME,28,185,76,60,49,108,77,236,23,1079,32,108,3,336,89,340,81,6.607142857142857,3.857142857142857,2.75,9.745762711864407,26.488095238095237,23.823529411764707
2024,FUERTE,AWAY,29,153,64,31,58,91,62,267,16,1145,48,100,2,275,65,368,71,5.275862068965517,3.1379310344827585,2.1379310344827585,5.992509363295881,23.636363636363637,19.293478260869566
2024,FUERTE,HOME,19,84,25,27,32,50,34,170,9,712,13,55,6,207,44,221,43,4.421052631578948,2.6315789473684212,1.7894736842105263,5.294117647058823,21.256038647342994,19.457013574660632
2024,MEDIO,AWAY,34,177,60,59,58,101,76,309,20,1339,43,113,6,381,87,443,96,5.205882352941177,2.9705882352941178,2.235294117647059,6.472491909385114,22.834645669291337,21.670428893905193
2024,MEDIO,HOME,34,188,73,53,62,112,76,298,23,1291,48,110,8,350,83,412,92,5.529411764705882,3.2941176470588234,2.235294117647059,7.718120805369128,23.714285714285715,22.33009708737864
2025,DEBIL,AWAY,28,155,49,60,46,94,61,253,16,1120,43,96,7,303,71,376,86,5.535714285714286,3.357142857142857,2.1785714285714284,6.324110671936759,23.432343234323433,22.872340425531913
2025,DEBIL,HOME,18,118,54,47,17,90,28,153,17,684,24,53,4,200,55,218,59,6.555555555555555,5.0,1.5555555555555556,11.11111111111111,27.5,27.06422018348624
2025,FUERTE,AWAY,23,95,26,28,41,48,47,213,12,906,27,77,3,240,40,298,62,4.130434782608695,2.0869565217391304,2.0434782608695654,5.633802816901408,16.666666666666668,20.80536912751678
2025,FUERTE,HOME,34,150,51,47,52,92,58,296,12,1268,35,111,7,349,73,375,67,4.411764705882353,2.7058823529411766,1.7058823529411764,4.054054054054054,20.916905444126076,17.866666666666667
2025,MEDIO,AWAY,30,130,49,31,50,71,59,272,15,1136,40,102,3,249,51,364,68,4.333333333333333,2.3666666666666667,1.9666666666666666,5.514705882352941,20.481927710843372,18.681318681318682
2025,MEDIO,HOME,29,143,35,62,46,77,66,263,15,1108,45,106,5,301,54,336,68,4.931034482758621,2.6551724137931036,2.2758620689655173,5.7034220532319395,17.940199335548172,20.238095238095237
2026_CUTOFF,DEBIL,AWAY,9,46,16,19,11,30,16,81,5,367,10,39,6,101,23,128,28,5.111111111111111,3.3333333333333335,1.7777777777777777,6.172839506172839,22.77227722772277,21.875
2026_CUTOFF,DEBIL,HOME,25,130,48,54,28,81,49,214,18,928,24,92,5,252,56,305,78,5.2,3.24,1.96,8.411214953271028,22.22222222222222,25.57377049180328
2026_CUTOFF,FUERTE,AWAY,18,59,9,34,16,33,26,164,4,666,17,55,3,157,21,199,31,3.2777777777777777,1.8333333333333333,1.4444444444444444,2.4390243902439024,13.375796178343949,15.577889447236181
2026_CUTOFF,FUERTE,HOME,14,49,18,9,22,25,24,123,6,491,13,40,3,126,21,160,31,3.5,1.7857142857142858,1.7142857142857142,4.878048780487805,16.666666666666668,19.375
2026_CUTOFF,MEDIO,AWAY,22,98,25,37,36,54,44,200,14,843,19,60,5,229,52,266,55,4.454545454545454,2.4545454545454546,2.0,7.0,22.707423580786028,20.67669172932331
2026_CUTOFF,MEDIO,HOME,14,74,24,20,30,36,38,121,9,524,17,47,5,135,31,186,50,5.285714285714286,2.5714285714285716,2.7142857142857144,7.43801652892562,22.962962962962962,26.881720430107528
