PERIOD,GAME_PK,RESP_PITCHER,CLASS
2024,745682,671106,STARTER
2024,745682,671106,STARTER
2024,745682,671106,STARTER
2024,745682,605130,BULLPEN
2024,745684,676440,STARTER
2024,745684,676440,STARTER
2024,745684,676440,STARTER
2024,745683,471911,STARTER
2024,745683,471911,STARTER
2024,745683,471911,STARTER
2024,745683,605130,BULLPEN
2024,745680,678394,STARTER
2024,745680,678394,STARTER
2024,745680,678394,STARTER
2024,745680,678394,STARTER
2024,746497,669373,STARTER
2024,746497,669373,STARTER
2024,746497,669373,STARTER
2024,746497,669373,STARTER
2024,746498,628317,STARTER
2024,746498,628317,STARTER
2024,746498,628317,STARTER
2024,746498,666214,BULLPEN
2024,746493,656427,STARTER
2024,746493,656427,STARTER
2024,746493,656427,STARTER
2024,746493,656427,STARTER
2024,746493,656427,STARTER
2024,746493,656427,STARTER
2024,746493,656638,BULLPEN
2024,745030,543135,STARTER
2024,745030,502085,BULLPEN
2024,745030,600917,BULLPEN
2024,745030,600917,BULLPEN
2024,745024,674003,STARTER
2024,745024,666720,BULLPEN
2024,745029,592351,STARTER
2024,745679,663623,STARTER
2024,745679,640448,BULLPEN
2024,745676,676395,BULLPEN
2024,745681,592866,STARTER
2024,745681,592866,STARTER
2024,745681,592866,STARTER
2024,745681,571882,BULLPEN
2024,745681,571882,BULLPEN
2024,745681,571882,BULLPEN
2024,745681,571882,BULLPEN
2024,745677,668941,BULLPEN
2024,745674,458681,STARTER
2024,745674,458681,STARTER
2024,745671,571927,STARTER
2024,745671,571927,STARTER
2024,745671,571927,STARTER
2024,745671,571927,STARTER
2024,745671,571927,STARTER
2024,745671,681676,BULLPEN
2024,746650,663474,STARTER
2024,746650,605130,BULLPEN
2024,746651,671106,STARTER
2024,746651,671106,STARTER
2024,746651,671106,STARTER
2024,746652,676440,STARTER
2024,746652,676440,STARTER
2024,745757,624647,BULLPEN
2024,745757,624647,BULLPEN
2024,745754,573186,STARTER
2024,745754,573186,STARTER
2024,745754,573186,STARTER
2024,745753,657376,STARTER
2024,745753,657376,STARTER
2024,745753,657376,STARTER
2024,745755,641482,STARTER
2024,745755,641482,STARTER
2024,745755,641482,STARTER
2024,747050,669203,STARTER
2024,747050,518886,BULLPEN
2024,747050,657097,BULLPEN
2024,747045,544150,STARTER
2024,747045,544150,STARTER
2024,747045,544150,STARTER
2024,747045,544150,STARTER
2024,747045,543056,BULLPEN
2024,747045,518886,BULLPEN
2024,747045,518886,BULLPEN
2024,745672,663559,STARTER
2024,745672,663559,STARTER
2024,745672,663559,STARTER
2024,745672,663559,STARTER
2024,745672,663559,STARTER
2024,745673,656605,STARTER
2024,745673,656605,STARTER
2024,745673,656605,STARTER
2024,745673,676596,BULLPEN
2024,745673,676596,BULLPEN
2024,745670,682990,STARTER
2024,745670,682990,STARTER
2024,745670,682990,STARTER
2024,745670,670280,BULLPEN
2024,745665,677960,STARTER
2024,745665,677960,STARTER
2024,745665,677960,STARTER
2024,745666,669432,STARTER
2024,745666,669432,STARTER
2024,745666,669432,STARTER
2024,745666,669432,STARTER
2024,745666,669432,STARTER
2024,745666,669432,STARTER
2024,745666,669432,STARTER
2024,745666,670766,BULLPEN
2024,745666,669432,STARTER
2024,745666,670766,BULLPEN
2024,745666,670766,BULLPEN
2024,745666,670766,BULLPEN
2024,745666,670766,BULLPEN
2024,745666,670766,BULLPEN
2024,745666,670766,BULLPEN
2024,745666,670766,BULLPEN
2024,745666,656896,BULLPEN
2024,745666,656896,BULLPEN
2024,745666,656896,BULLPEN
2024,745666,656896,BULLPEN
2024,745667,664350,STARTER
2024,745667,664350,STARTER
2024,745667,676534,BULLPEN
2024,745669,571760,STARTER
2024,745669,571760,STARTER
2024,745668,570632,STARTER
2024,745668,570632,STARTER
2024,745668,642546,BULLPEN
2024,745668,642546,BULLPEN
2024,745668,666720,BULLPEN
2024,745668,666720,BULLPEN
2024,745668,666720,BULLPEN
2024,745668,666720,BULLPEN
2024,745659,683004,STARTER
2024,745659,683004,STARTER
2024,745659,683004,STARTER
2024,745659,683004,STARTER
2024,745659,683004,STARTER
2024,745659,683004,STARTER
2024,745659,600917,BULLPEN
2024,745659,669391,BULLPEN
2024,745659,669391,BULLPEN
2024,745659,669391,BULLPEN
2024,745659,489446,BULLPEN
2024,745664,547179,STARTER
2024,745664,547179,STARTER
2024,745664,547179,STARTER
2024,745664,547179,STARTER
2024,745664,547179,STARTER
2024,745664,547179,STARTER
2024,745664,668390,BULLPEN
2024,745664,668390,BULLPEN
2024,745664,668390,BULLPEN
2024,745264,608723,BULLPEN
2024,745262,682243,STARTER
2024,745262,682243,STARTER
2024,745262,642100,BULLPEN
2024,745262,592773,BULLPEN
2024,745262,642100,BULLPEN
2024,745262,660825,BULLPEN
2024,745262,660825,BULLPEN
2024,745262,660825,BULLPEN
2024,745255,622491,STARTER
2024,745255,622491,STARTER
2024,745255,675989,BULLPEN
2024,745255,675989,BULLPEN
2024,746393,681293,STARTER
2024,746393,681293,STARTER
2024,746396,519151,BULLPEN
2024,746391,681869,BULLPEN
2024,746310,669422,BULLPEN
2024,746310,669422,BULLPEN
2024,746308,607625,STARTER
2024,746308,607625,STARTER
2024,746308,670167,BULLPEN
2024,746306,663903,STARTER
2024,746306,669422,BULLPEN
2024,746306,669422,BULLPEN
2024,746306,669422,BULLPEN
2024,745662,615698,STARTER
2024,745662,615698,STARTER
2024,745662,664875,BULLPEN
2024,745662,664875,BULLPEN
2024,745662,641755,BULLPEN
2024,745661,596295,STARTER
2024,745661,656222,BULLPEN
2024,745661,683232,BULLPEN
2024,745660,680767,BULLPEN
2024,745660,641755,BULLPEN
2024,745660,641755,BULLPEN
2024,745660,656222,BULLPEN
2024,745660,664875,BULLPEN
2024,745660,571863,BULLPEN
2024,745660,571863,BULLPEN
2024,745660,571863,BULLPEN
2024,745660,571863,BULLPEN
2024,745660,663567,BULLPEN
2024,745663,434378,STARTER
2024,745663,434378,STARTER
2024,745663,650556,BULLPEN
2024,745658,681293,STARTER
2024,745658,681293,STARTER
2024,745658,681293,STARTER
2024,745653,669854,STARTER
2024,745653,623352,BULLPEN
2024,745091,641793,STARTER
2024,745091,641793,STARTER
2024,745091,641793,STARTER
2024,745084,686752,STARTER
2024,745084,686752,STARTER
2024,745084,592094,BULLPEN
2024,745081,641302,BULLPEN
2024,745081,641302,BULLPEN
2024,745081,641302,BULLPEN
2024,745081,641302,BULLPEN
2024,745081,664126,BULLPEN
2024,747116,625643,STARTER
2024,747116,628452,BULLPEN
2024,747111,519242,STARTER
2024,747111,519242,STARTER
2024,747111,519242,STARTER
2024,747111,519242,STARTER
2024,747111,519242,STARTER
2024,747111,519242,STARTER
2024,747111,519242,STARTER
2024,747111,519242,STARTER
2024,747111,623474,BULLPEN
2024,747111,623474,BULLPEN
2024,747111,669276,BULLPEN
2024,747110,669276,BULLPEN
2024,745656,669923,STARTER
2024,745656,669923,STARTER
2024,745656,662253,BULLPEN
2024,745654,669302,STARTER
2024,745654,669302,STARTER
2024,745655,605135,STARTER
2024,745655,643338,BULLPEN
2024,745651,663878,BULLPEN
2024,745651,670950,BULLPEN
2024,745651,670950,BULLPEN
2024,745651,650893,BULLPEN
2024,745409,656302,STARTER
2024,745404,681190,STARTER
2024,745404,660853,BULLPEN
2024,745404,660853,BULLPEN
2024,745405,650633,STARTER
2024,745405,650633,STARTER
2024,745405,593974,BULLPEN
2024,745405,669093,BULLPEN
2024,745894,657746,STARTER
2024,745894,657746,STARTER
2024,745892,680573,STARTER
2024,745892,680573,STARTER
2024,745892,680573,STARTER
2024,745892,680573,STARTER
2024,745892,643377,BULLPEN
2024,745891,663978,STARTER
2024,745891,663978,STARTER
2024,745891,663978,STARTER
2024,745891,663978,STARTER
2024,745891,663978,STARTER
2024,745891,686973,BULLPEN
2024,745891,686973,BULLPEN
2024,745895,641927,STARTER
2024,745895,663485,BULLPEN
2024,745650,679525,STARTER
2024,745650,679525,STARTER
2024,745650,679525,STARTER
2024,745650,679525,STARTER
2024,745650,679525,STARTER
2024,745650,679525,STARTER
2024,745650,679525,STARTER
