PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_ABBR,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED,HR,BB,ERROR_PA
2024,2024-03-28,745687,True,HOME,114,Cleveland Guardians,CLE,FUERTE,0,8,0,0,0,9,0,0,0,0,0,1,1
2024,2024-03-29,745682,True,HOME,114,Cleveland Guardians,CLE,FUERTE,4,6,0,3,1,9,0,3,1,0,2,2,0
2024,2024-03-30,745684,True,HOME,114,Cleveland Guardians,CLE,FUERTE,3,12,3,0,0,9,0,3,0,0,0,6,0
2024,2024-03-31,745683,True,HOME,114,Cleveland Guardians,CLE,FUERTE,4,3,3,0,1,9,0,3,1,0,0,4,0
2024,2024-04-01,745675,True,HOME,111,Boston Red Sox,BOS,DEBIL,0,9,0,0,0,9,0,0,0,0,0,0,0
2024,2024-04-02,745680,True,HOME,111,Boston Red Sox,BOS,DEBIL,4,5,4,0,0,11,0,4,0,0,2,4,0
2024,2024-04-03,745678,True,HOME,111,Boston Red Sox,BOS,DEBIL,0,1,0,0,0,9,0,0,0,0,0,3,0
2024,2024-04-05,746497,False,AWAY,116,Detroit Tigers,DET,FUERTE,4,5,0,2,2,9,0,4,0,0,2,5,0
2024,2024-04-06,746498,False,AWAY,116,Detroit Tigers,DET,FUERTE,4,0,2,1,1,9,0,3,1,0,1,6,0
2024,2024-04-07,746493,False,AWAY,116,Detroit Tigers,DET,FUERTE,7,1,5,1,1,9,1,6,1,0,1,2,0
2024,2024-04-09,745030,False,AWAY,140,Texas Rangers,TEX,MEDIO,4,3,1,0,3,9,0,1,3,0,3,3,0
2024,2024-04-10,745024,False,AWAY,140,Texas Rangers,TEX,MEDIO,2,6,1,0,1,9,0,1,1,0,1,1,0
2024,2024-04-11,745029,False,AWAY,140,Texas Rangers,TEX,MEDIO,1,0,1,0,0,9,0,1,0,0,1,2,0
2024,2024-04-12,745679,True,HOME,120,Washington Nationals,WSH,DEBIL,2,1,1,0,1,10,0,1,1,0,1,3,1
2024,2024-04-13,745676,True,HOME,120,Washington Nationals,WSH,DEBIL,1,3,0,0,1,9,0,0,1,0,0,2,0
2024,2024-04-14,745681,True,HOME,120,Washington Nationals,WSH,DEBIL,7,6,0,7,0,8,1,3,4,0,0,5,0
2024,2024-04-15,745677,True,HOME,138,St. Louis Cardinals,STL,MEDIO,1,3,0,0,1,9,0,0,1,0,1,1,0
2024,2024-04-16,745674,True,HOME,138,St. Louis Cardinals,STL,MEDIO,2,3,1,1,0,9,0,2,0,0,1,1,0
2024,2024-04-17,745671,True,HOME,138,St. Louis Cardinals,STL,MEDIO,6,3,2,4,0,8,1,5,1,0,1,4,0
