PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,745687,622072,STARTER,10,7,6,0,1,1,3,18
2024,745687,666205,BULLPEN,8,1,0,0,0,1,2,9
2024,745687,519008,BULLPEN,3,0,0,0,0,0,1,3
2024,745687,547184,BULLPEN,6,3,2,0,2,1,1,12
2024,745682,548389,STARTER,15,7,4,1,2,0,6,24
2024,745682,687765,BULLPEN,9,2,1,0,3,0,3,13
2024,745682,613534,BULLPEN,3,0,0,0,1,0,0,3
2024,745684,676664,STARTER,11,6,5,0,2,1,1,20
2024,745684,666204,BULLPEN,4,1,0,0,1,0,0,7
2024,745684,519008,BULLPEN,3,4,2,0,0,0,1,7
2024,745684,547184,BULLPEN,3,1,1,1,0,0,2,4
2024,745684,668674,BULLPEN,3,0,0,0,1,1,1,5
2024,745684,695243,BULLPEN,3,3,2,0,1,0,1,7
2024,745683,621112,STARTER,21,3,0,0,1,0,3,25
2024,745683,668674,BULLPEN,2,2,1,0,0,0,1,4
2024,745683,613534,BULLPEN,1,1,0,0,0,1,1,4
2024,745683,666204,BULLPEN,3,1,0,0,1,0,0,5
2024,745675,671212,STARTER,8,8,7,0,4,0,4,21
2024,745675,666205,BULLPEN,16,1,1,0,2,0,6,19
2024,745675,547184,BULLPEN,3,0,0,0,1,0,1,4
2024,745680,622072,STARTER,15,6,3,0,2,2,7,24
2024,745680,613534,BULLPEN,3,0,0,0,0,0,2,3
2024,745680,519008,BULLPEN,2,2,1,0,0,0,0,3
2024,745680,668674,BULLPEN,1,2,0,0,1,0,0,4
2024,745680,666204,BULLPEN,3,0,0,0,0,0,2,3
2024,745680,695243,BULLPEN,6,1,0,0,1,0,4,8
2024,745680,687765,BULLPEN,3,1,0,0,0,0,0,3
2024,745678,548389,STARTER,21,8,1,0,0,0,3,26
2024,745678,519008,BULLPEN,3,2,0,0,1,0,0,5
2024,745678,547184,BULLPEN,3,0,0,0,0,0,2,3
2024,746497,676664,STARTER,17,6,4,2,1,1,1,24
2024,746497,613534,BULLPEN,1,0,0,0,0,0,1,1
2024,746497,666204,BULLPEN,1,0,0,0,2,0,0,3
2024,746497,519008,BULLPEN,2,0,0,0,0,0,0,1
2024,746497,668674,BULLPEN,3,2,1,0,1,0,2,6
2024,746498,621112,STARTER,18,3,0,0,0,0,4,22
2024,746498,613534,BULLPEN,3,0,0,0,0,0,2,3
2024,746498,695243,BULLPEN,6,2,0,0,1,0,3,9
2024,746493,671212,STARTER,15,2,0,0,3,1,6,20
2024,746493,666205,BULLPEN,7,2,1,1,0,0,1,9
2024,746493,668674,BULLPEN,2,1,0,0,0,0,0,3
2024,746493,547184,BULLPEN,3,2,0,0,0,0,0,5
2024,745030,622072,STARTER,12,5,2,1,3,0,2,18
2024,745030,687765,BULLPEN,9,2,1,1,0,0,1,11
2024,745030,547184,BULLPEN,3,0,0,0,0,0,0,3
2024,745030,695243,BULLPEN,3,0,0,0,0,0,2,3
2024,745024,548389,STARTER,18,11,6,0,3,0,5,29
2024,745024,519008,BULLPEN,3,1,0,0,0,0,0,4
2024,745024,666204,BULLPEN,3,0,0,0,1,0,0,3
2024,745029,676664,STARTER,19,1,0,0,3,0,5,22
2024,745029,613534,BULLPEN,2,0,0,0,0,1,0,2
2024,745029,668674,BULLPEN,3,0,0,0,0,0,1,3
2024,745029,695243,BULLPEN,3,0,0,0,0,0,2,3
2024,745679,621112,STARTER,19,5,0,0,2,0,4,24
2024,745679,613534,BULLPEN,1,1,0,0,1,0,1,3
2024,745679,519008,BULLPEN,1,0,0,0,0,0,1,1
2024,745679,668674,BULLPEN,3,0,0,0,0,0,2,3
2024,745679,666204,BULLPEN,3,2,1,1,0,0,2,5
2024,745679,547184,BULLPEN,3,0,0,0,0,0,0,2
2024,745676,671212,STARTER,15,5,1,0,1,0,5,20
2024,745676,666205,BULLPEN,9,2,1,0,0,0,5,11
2024,745676,519008,BULLPEN,2,1,1,0,0,0,1,3
2024,745676,547184,BULLPEN,1,2,0,0,1,0,0,4
2024,745681,622072,STARTER,13,7,4,1,4,2,4,25
2024,745681,687765,BULLPEN,5,4,2,0,0,0,1,8
2024,745681,666204,BULLPEN,3,1,0,0,0,0,0,4
2024,745681,668674,BULLPEN,3,0,0,0,1,0,0,3
2024,745681,695243,BULLPEN,3,0,0,0,0,0,3,3
2024,745677,548389,STARTER,17,6,3,0,2,0,4,25
2024,745677,547184,BULLPEN,7,1,0,0,0,1,1,8
2024,745677,613534,BULLPEN,3,1,0,0,0,0,2,4
2024,745674,676664,STARTER,15,2,1,0,3,0,2,21
2024,745674,666204,BULLPEN,2,1,2,0,2,0,0,5
2024,745674,519008,BULLPEN,1,0,0,0,0,0,0,1
2024,745674,687765,BULLPEN,9,1,0,0,1,0,5,10
2024,745671,621112,STARTER,17,6,3,0,5,0,7,26
2024,745671,519008,BULLPEN,1,0,0,0,0,0,0,1
2024,745671,613534,BULLPEN,3,0,0,0,0,0,1,3
2024,745671,668674,BULLPEN,3,0,0,0,0,0,2,3
2024,745671,695243,BULLPEN,3,0,0,0,1,0,2,4
2024,746650,671212,STARTER,18,5,7,1,4,0,3,25
