"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","fielding_runs_prevented_on_rec1b","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Gelof, Zack",680869,1.541821489640164,1.541821489640164,1.29774265057343,-0.2160024697753603,0.4600813088420923,,,,,,3629,0,0,3629,0,0,0,0,0
"Gray, Tristan",656484,0.5879598317812944,0.5879598317812944,0.7188874643570777,,0.2098796290101526,-0.3408072615859361,,,,,174,0,123,0,51,0,0,0,0
"Bleday, JJ",668709,0.46633798434030804,0.46633798434030804,-2.64914130991903,3.1154792942593352,,,,,,,3885,0,0,0,0,0,0,3885,0
"Soderstrom, Tyler",691016,0.28673281773374837,0.6854591614692902,-2.3319231757556853,0.24920184387504868,1.5538542740821097,1.214326219267816,-0.3987263437355415,-0.4392118573034677,,0.04048551356792615,1365,12,1353,0,0,0,0,0,0
"Schuemann, Max",680474,-0.10177535562556372,-0.10177535562556372,-1.1919156221120126,0.5431925007833638,0.5469477657030852,,,,,,3215,0,0,150,583,2365,93,21,3
"Díaz, Aledmys",649557,-0.5424953745131719,-0.5424953745131719,-0.7157412475033225,,-0.012570895550682231,0.185816768540833,,,,,226,0,52,30,21,123,0,0,0
"Harris, Brett",695391,-0.5958928400348009,-0.5958928400348009,-0.9300705927556074,-0.01262485948428658,0.3468026122050932,,,,,,840,0,0,0,840,0,0,0,0
"Toro, Abraham",647351,-0.6511446368148892,-0.6511446368148892,-0.1792895399856263,0.033771693737459876,-0.6139959973071696,0.10836920674044744,,,,,1843,0,90,438,1291,0,24,0,0
"Butler, Lawrence",671732,-0.73655552946458,-0.73655552946458,-1.162133203678516,0.425577674213936,,,,,,,2878,0,0,0,0,0,0,12,2866
"Hernaiz, Darell",687231,-1.0156960913343989,-1.0156960913343989,-1.5248166082365957,,0.5091205169021977,,,,,,1017,0,0,33,585,399,0,0,0
"Allen, Nick",669397,-1.1061195258895606,-1.1061195258895606,-1.8427198241479787,0.20093280760252044,0.5356674906558982,,,,,,808,0,0,6,87,715,0,0,0
"Noda, Ryan",676116,-1.7650266828495198,-1.7650266828495198,0.6173145399029862,0.008041602002514497,0.005099885893911443,-2.3954827106489343,,,,,675,0,666,0,0,0,0,0,9
"Wilson, Jacob",805779,-1.7893033519524395,-1.7893033519524395,-2.063163221272401,-0.011481306988522035,0.2853411763084847,,,,,,708,0,0,0,0,708,0,0,0
"Rooker, Brent",667670,-1.8571515167381258,-1.8571515167381258,-1.9731032021462358,0.1159516854081091,,,,,,,307,0,0,0,0,0,217,0,90
"Ruiz, Esteury",665923,-1.9058148667540227,-1.9058148667540227,-1.5498929669713295,-0.35592189978269295,,,,,,,423,0,0,0,0,0,284,139,0
"Alvarez, Armando",669137,-2.548851564879711,-2.548851564879711,-1.9938745166210707,0.003067193119866409,-0.36948595971919407,-0.18855828165931204,,,,,240,0,87,24,108,0,21,0,0
"Cameron, Daz",663662,-2.574894961640144,-2.574894961640144,-2.487276602331973,-0.08761835930817133,,,,,,,1153,0,0,0,0,0,545,250,358
"Andujar, Miguel",609280,-3.2497453092845987,-3.2497453092845987,-6.028889858333675,2.779144549049076,,,,,,,1847,0,0,0,0,0,1847,0,0
"Davis, J.D.",605204,-3.2769202271603772,-3.2769202271603772,-3.603557207189805,,0.3277582602653683,-0.0011212802359418174,,,,,735,0,444,0,291,0,0,0,0
"Nevin, Tyler",663527,-4.687624120533077,-4.687624120533077,-4.399150961807374,-0.4092589392911696,0.36444342313518024,-0.24365764256971018,,,,,1626,0,633,0,453,0,198,0,342
"McCann, Kyle",668832,-5.609659692278666,,,,,,-5.609659692278666,-4.593758969856298,-0.8520906900996429,-0.16381003232272773,972,972,0,0,0,0,0,0,0
"Brown, Seth",664913,-7.631603168348729,-7.631603168348729,-5.029554750992798,-2.8185651954799313,0.29621778375720864,-0.07970100563320476,,,,,2588,0,862,0,0,0,1081,3,642
"Langeliers, Shea",669127,-12.723830839128333,,,,,,-12.723830839128333,-9.5575235989177,3.323061008136946,-6.4893682483475885,3326,3326,0,0,0,0,0,0,0
