"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","fielding_runs_prevented_on_rec1b","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Wilson, Jacob",805779,6.537511406432064,6.537511406432064,6.140898085318044,0.02363166013495778,0.37298166097906216,,,,,,1579,0,0,0,0,1579,0,0,0
"Bolte, Henry",703607,2.060293215031063,2.060293215031063,-0.14539372875581222,2.2056869437868745,,,,,,,1402,0,0,0,0,0,0,1402,0
"Hernaiz, Darell",687231,1.5602054353471824,1.5602054353471824,1.6308858565327988,0.16168347817986944,-0.23236389936548651,,,,,,973,0,0,146,258,563,0,0,6
"Kurtz, Nick",701762,1.3359265907573108,1.3359265907573108,-2.231852736179248,,0.22776996955488266,3.340009357381676,,,,,2361,0,2361,0,0,0,0,0,0
"Clarke, Denzel",672016,0.7822389007165698,0.7822389007165698,1.3514900964376162,-0.5692511957210454,,,,,,,481,0,0,0,0,0,0,481,0
"Kuroda-Grauer, Joshua",811965,0.7796172071687151,0.7796172071687151,0.8485509669422031,,-0.06893375977348822,,,,,,402,0,0,99,273,30,0,0,0
"Heim, Jonah",641680,0.5199272411806749,-0.37855966738036034,0.03390252066520142,,,-0.4124621880455618,0.8984869085610352,0.025555754777553952,-0.05064922551066611,0.9235803792941477,575,491,82,0,2,0,0,0,0
"Gelof, Zack",680869,0.44560640383424543,0.44560640383424543,-0.012540796325757053,-0.2584121051182894,0.7165593052782916,,,,,,1570,0,0,230,977,0,58,248,57
"Serven, Brian",661531,0.3463811779622907,,,,,,0.3463811779622907,-0.006707587110167043,-0.018895646849176974,0.37198441192163473,30,30,0,0,0,0,0,0,0
"Stefanic, Michael",683021,0.20295090329582066,0.20295090329582066,0.13562334628335992,,0.06732755701246072,,,,,,33,0,0,27,0,6,0,0,0
"Williams, Alika",675961,0.07176349575508778,0.07176349575508778,-0.8330205443241502,0.004296625321125642,0.900487414758112,,,,,,701,0,0,183,3,515,0,0,0
"Harris, Brett",695391,-0.11420168429689406,-0.11420168429689406,-0.11358273148557299,,-0.00061895281132107,,,,,,39,0,0,3,36,0,0,0,0
"Rooker, Brent",667670,-0.12090263260007643,-0.12090263260007643,0.027000000000000024,-0.14790263260007647,,,,,,,96,0,0,0,0,0,27,0,69
"Walton, Donovan",622268,-0.429560350787743,-0.429560350787743,-0.40368886470994125,,-0.0258714860778017,,,,,,76,0,0,67,9,0,0,0,0
"White, Tommy",695720,-0.43831917221674027,-0.43831917221674027,-0.16325772085632695,,,-0.2750614513604133,,,,,109,0,81,0,28,0,0,0,0
"Ibáñez, Andy",628451,-0.8703073298171091,-0.8703073298171091,-0.8736448800198682,,0,0.0033375502027591653,,,,,115,0,18,70,27,0,0,0,0
"Wynns, Austin",642851,-1.175113263904014,,,,,,-1.175113263904014,-1.5112517856141043,-0.0249496509930566,0.3610881727031475,299,299,0,0,0,0,0,0,0
"Thomas, Colby",687515,-1.8211800166258432,-1.8211800166258432,-0.7194579788470385,-1.1017220377788037,,,,,,,668,0,0,0,0,0,203,3,462
"McNeil, Jeff",643446,-2.34670358700676,-2.34670358700676,-1.9422455115556918,0.026331704607541084,-0.6507752651621683,0.21998548510355898,,,,,1973,0,81,1870,3,0,0,0,19
"Meneses, Joey",608841,-3.0852448631251406,-3.0852448631251406,-2.793733967902477,-0.1525255621800104,-0.2023230753143385,0.06333774227168548,,,,,96,0,72,0,0,0,24,0,0
"Langeliers, Shea",669127,-3.36437847625839,,,,,,-3.36437847625839,-4.9972890083781625,2.103347327890475,-0.47043679577069836,1875,1875,0,0,0,0,0,0,0
"Soderstrom, Tyler",691016,-3.670755196575751,-3.670755196575751,-4.432688285957477,0.7619330893817254,,,,,,,2179,0,0,0,0,0,2179,0,0
"Cortes, Carlos",666126,-4.66437228594695,-4.66437228594695,-5.400623984296939,0.7362516983499902,,,,,,,1023,0,0,0,0,0,204,0,802
"Muncy, Max",691777,-5.926710023103735,-5.926710023103735,-5.172864392903793,,-0.753845630199941,,,,,,1081,0,0,0,1079,2,0,0,0
"Butler, Lawrence",671732,-8.23005734868356,-8.23005734868356,-7.366074835613115,-0.8639825130704499,,,,,,,1841,0,0,0,0,0,0,561,1280
