PERIOD,OPP_STRENGTH,VENUE,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H
2024,DEBIL,AWAY,711,21,59,3,159,27
2024,DEBIL,HOME,1010,36,99,3,264,57
2024,FUERTE,AWAY,1317,39,100,6,286,47
2024,FUERTE,HOME,1173,26,84,8,265,52
2024,MEDIO,AWAY,1055,50,87,4,230,50
2024,MEDIO,HOME,778,24,64,7,183,37
2025,DEBIL,AWAY,1095,46,94,9,312,74
2025,DEBIL,HOME,787,25,85,3,219,47
2025,FUERTE,AWAY,1041,35,64,3,214,48
2025,FUERTE,HOME,1155,32,92,8,269,57
2025,MEDIO,AWAY,959,33,84,5,204,39
2025,MEDIO,HOME,1119,48,83,10,298,62
2026_CUTOFF,DEBIL,AWAY,513,8,53,3,130,35
2026_CUTOFF,DEBIL,HOME,762,28,82,9,227,57
2026_CUTOFF,FUERTE,AWAY,445,9,25,7,99,17
2026_CUTOFF,FUERTE,HOME,697,36,55,5,166,28
2026_CUTOFF,MEDIO,AWAY,979,32,83,5,220,43
2026_CUTOFF,MEDIO,HOME,490,13,56,1,119,23
