PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,R_G,R_1_3_G,R_4_6_G,R_7_PLUS_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT
2024,DEBIL,AWAY,19,73,33,21,19,48,25,171,11,711,21,59,3,159,27,3.8421052631578947,1.736842105263158,1.105263157894737,1.0,2.526315789473684,1.3157894736842106,6.432748538011696,16.9811320754717
2024,DEBIL,HOME,27,130,36,56,38,68,62,238,12,1010,36,99,3,264,57,4.814814814814815,1.3333333333333333,2.074074074074074,1.4074074074074074,2.5185185185185186,2.2962962962962963,5.042016806722689,21.59090909090909
2024,FUERTE,AWAY,35,117,36,36,45,68,49,323,11,1317,39,100,6,286,47,3.342857142857143,1.0285714285714285,1.0285714285714285,1.2857142857142858,1.9428571428571428,1.4,3.4055727554179565,16.433566433566433
2024,FUERTE,HOME,33,101,41,36,24,76,25,293,4,1173,26,84,8,265,52,3.0606060606060606,1.2424242424242424,1.0909090909090908,0.7272727272727273,2.303030303030303,0.7575757575757576,1.3651877133105803,19.62264150943396
2024,MEDIO,AWAY,27,130,44,30,56,61,69,246,17,1055,50,87,4,230,50,4.814814814814815,1.6296296296296295,1.1111111111111112,2.074074074074074,2.259259259259259,2.5555555555555554,6.9105691056910565,21.73913043478261
2024,MEDIO,HOME,21,92,36,35,21,58,34,183,9,778,24,64,7,183,37,4.380952380952381,1.7142857142857142,1.6666666666666667,1.0,2.761904761904762,1.619047619047619,4.918032786885246,20.218579234972676
2025,DEBIL,AWAY,27,166,60,52,54,94,72,247,24,1095,46,94,9,312,74,6.148148148148148,2.2222222222222223,1.9259259259259258,2.0,3.4814814814814814,2.6666666666666665,9.7165991902834,23.71794871794872
2025,DEBIL,HOME,20,99,49,30,20,66,33,175,12,787,25,85,3,219,47,4.95,2.45,1.5,1.0,3.3,1.65,6.857142857142857,21.461187214611872
2025,FUERTE,AWAY,28,106,24,44,38,64,42,253,13,1041,35,64,3,214,48,3.7857142857142856,0.8571428571428571,1.5714285714285714,1.3571428571428572,2.2857142857142856,1.5,5.138339920948616,22.429906542056074
2025,FUERTE,HOME,31,115,46,22,47,70,45,276,9,1155,32,92,8,269,57,3.7096774193548385,1.4838709677419355,0.7096774193548387,1.5161290322580645,2.2580645161290325,1.4516129032258065,3.260869565217391,21.189591078066915
2025,MEDIO,AWAY,26,93,29,32,32,57,36,237,9,959,33,84,5,204,39,3.576923076923077,1.1153846153846154,1.2307692307692308,1.2307692307692308,2.1923076923076925,1.3846153846153846,3.7974683544303796,19.11764705882353
2025,MEDIO,HOME,30,154,62,43,49,108,46,261,20,1119,48,83,10,298,62,5.133333333333334,2.066666666666667,1.4333333333333333,1.6333333333333333,3.6,1.5333333333333334,7.662835249042145,20.80536912751678
2026_CUTOFF,DEBIL,AWAY,13,55,20,19,16,39,16,119,6,513,8,53,3,130,35,4.230769230769231,1.5384615384615385,1.4615384615384615,1.2307692307692308,3.0,1.2307692307692308,5.042016806722689,26.923076923076923
2026_CUTOFF,DEBIL,HOME,19,122,45,40,37,70,52,166,17,762,28,82,9,227,57,6.421052631578948,2.3684210526315788,2.1052631578947367,1.9473684210526316,3.6842105263157894,2.736842105263158,10.240963855421686,25.110132158590307
2026_CUTOFF,FUERTE,AWAY,12,32,11,12,9,22,10,108,3,445,9,25,7,99,17,2.6666666666666665,0.9166666666666666,1.0,0.75,1.8333333333333333,0.8333333333333334,2.7777777777777777,17.171717171717173
2026_CUTOFF,FUERTE,HOME,18,92,29,26,37,49,43,160,13,697,36,55,5,166,28,5.111111111111111,1.6111111111111112,1.4444444444444444,2.0555555555555554,2.7222222222222223,2.388888888888889,8.125,16.867469879518072
2026_CUTOFF,MEDIO,AWAY,26,100,37,22,41,60,40,238,11,979,32,83,5,220,43,3.8461538461538463,1.4230769230769231,0.8461538461538461,1.5769230769230769,2.3076923076923075,1.5384615384615385,4.621848739495798,19.545454545454547
2026_CUTOFF,MEDIO,HOME,13,52,12,18,22,27,25,115,8,490,13,56,1,119,23,4.0,0.9230769230769231,1.3846153846153846,1.6923076923076923,2.076923076923077,1.9230769230769231,6.956521739130435,19.327731092436974
