PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED
2024,2024-03-29,745604,False,AWAY,143,Philadelphia Phillies,MEDIO,9,3,0,0,9,0,2,1,9,1,0,9,0
2024,2024-03-30,745599,False,AWAY,143,Philadelphia Phillies,MEDIO,12,4,7,4,1,4,0,0,9,2,7,5,0
2024,2024-03-31,745602,False,AWAY,143,Philadelphia Phillies,MEDIO,4,5,2,1,1,1,1,3,9,0,3,1,0
2024,2024-04-01,746817,False,AWAY,145,Chicago White Sox,DEBIL,9,0,1,5,3,0,0,0,8,1,4,5,0
2024,2024-04-02,746814,False,AWAY,145,Chicago White Sox,DEBIL,2,3,0,0,2,0,1,2,9,0,1,1,0
2024,2024-04-05,747143,True,HOME,109,Arizona Diamondbacks,DEBIL,6,5,2,0,4,3,2,0,10,0,2,4,0
2024,2024-04-06,747140,True,HOME,109,Arizona Diamondbacks,DEBIL,9,8,0,5,4,6,2,0,8,1,5,4,0
2024,2024-04-07,747141,True,HOME,109,Arizona Diamondbacks,DEBIL,5,2,2,1,2,0,2,0,8,0,3,2,0
2024,2024-04-08,747142,True,HOME,121,New York Mets,MEDIO,7,8,4,1,2,0,4,4,9,1,4,3,0
2024,2024-04-09,747138,True,HOME,121,New York Mets,MEDIO,6,5,4,2,0,0,0,5,8,1,5,1,0
2024,2024-04-11,747137,True,HOME,121,New York Mets,MEDIO,4,16,0,3,1,7,0,9,9,1,3,1,0
2024,2024-04-12,746084,False,AWAY,146,Miami Marlins,DEBIL,8,1,1,1,6,0,0,1,9,1,2,6,0
2024,2024-04-13,746082,False,AWAY,146,Miami Marlins,DEBIL,1,5,0,1,0,2,3,0,9,0,1,0,0
2024,2024-04-14,746079,False,AWAY,146,Miami Marlins,DEBIL,9,7,3,2,4,1,6,0,9,1,5,4,0
