PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,745604,675911,STARTER,15,3,2,1,2,0,8,20
2024,745604,641729,BULLPEN,3,1,0,0,0,0,1,4
2024,745604,572955,BULLPEN,3,0,0,0,0,0,2,3
2024,745604,621345,BULLPEN,3,0,0,0,0,0,2,3
2024,745604,607481,BULLPEN,3,1,1,0,1,0,2,5
2024,745599,608331,STARTER,2,2,3,0,3,0,1,7
2024,745599,445926,BULLPEN,9,2,1,1,0,0,1,11
2024,745599,554431,BULLPEN,4,2,0,0,0,0,0,5
2024,745599,572955,BULLPEN,3,1,0,0,1,0,0,4
2024,745599,669276,BULLPEN,6,0,0,0,1,0,1,6
2024,745599,628452,BULLPEN,3,1,0,0,0,0,1,4
2024,745602,519242,STARTER,16,5,2,1,2,1,7,22
2024,745602,641729,BULLPEN,2,0,1,0,1,0,0,3
2024,745602,607481,BULLPEN,3,4,2,0,0,0,1,7
2024,745602,621345,BULLPEN,3,0,0,0,0,0,1,3
2024,746817,450203,STARTER,17,3,0,0,2,1,6,22
2024,746817,669276,BULLPEN,4,0,0,0,0,0,2,4
2024,746817,554431,BULLPEN,3,0,0,0,1,0,3,4
2024,746814,625643,STARTER,18,4,1,0,2,0,5,23
2024,746814,621345,BULLPEN,3,1,1,1,0,0,1,4
2024,746814,572955,BULLPEN,3,2,1,0,1,0,1,6
2024,747143,675911,STARTER,12,7,5,1,3,0,4,22
2024,747143,445926,BULLPEN,6,0,0,0,1,0,0,7
2024,747143,641729,BULLPEN,3,1,0,0,0,0,1,4
2024,747143,607481,BULLPEN,3,0,0,0,1,0,1,4
2024,747143,628452,BULLPEN,3,1,0,0,0,0,0,4
2024,747143,572955,BULLPEN,3,0,0,0,1,0,2,4
2024,747140,608331,STARTER,13,10,7,1,1,0,5,25
2024,747140,669276,BULLPEN,8,2,0,0,1,0,0,11
2024,747140,621345,BULLPEN,3,0,0,0,0,0,1,3
2024,747140,628452,BULLPEN,3,0,0,0,0,1,0,4
2024,747141,519242,STARTER,16,4,2,0,0,0,6,20
2024,747141,641729,BULLPEN,5,0,0,0,0,0,2,5
2024,747141,554431,BULLPEN,3,0,0,0,1,0,0,4
2024,747141,572955,BULLPEN,3,1,0,0,0,0,0,4
2024,747142,450203,STARTER,17,5,4,1,5,0,4,25
2024,747142,607481,BULLPEN,1,0,0,0,0,0,0,1
2024,747142,621345,BULLPEN,3,1,1,1,0,0,2,4
2024,747142,572955,BULLPEN,2,3,3,1,1,0,1,6
2024,747142,445926,BULLPEN,4,2,0,0,1,0,1,6
2024,747138,625643,STARTER,18,3,0,0,3,0,6,22
2024,747138,607481,BULLPEN,3,2,0,0,0,0,0,4
2024,747138,554431,BULLPEN,2,3,3,1,0,0,1,6
2024,747138,641729,BULLPEN,1,1,0,0,0,0,0,2
2024,747138,628452,BULLPEN,3,3,2,0,0,0,1,6
2024,747137,642216,STARTER,15,8,6,1,2,0,1,25
2024,747137,669276,BULLPEN,6,2,0,0,1,0,2,10
2024,747137,554431,BULLPEN,3,3,2,0,0,0,0,6
2024,747137,641645,BULLPEN,3,3,4,1,1,0,0,7
2024,746084,608331,STARTER,19,4,1,0,1,1,4,24
2024,746084,572955,BULLPEN,2,1,0,0,0,0,1,3
2024,746084,621345,BULLPEN,3,1,0,0,0,0,1,4
2024,746084,607481,BULLPEN,3,0,0,0,0,0,1,3
2024,746082,519242,STARTER,21,6,5,1,3,0,7,29
2024,746082,445926,BULLPEN,3,2,0,0,0,0,0,5
2024,746079,450203,STARTER,17,7,6,1,1,0,8,24
2024,746079,669276,BULLPEN,1,1,1,1,1,0,0,3
2024,746079,641729,BULLPEN,3,1,0,0,0,0,2,4
2024,746079,621345,BULLPEN,3,0,0,0,0,0,3,3
2024,746079,628452,BULLPEN,3,0,0,0,0,0,1,3
2024,746406,670241,STARTER,14,4,1,0,3,0,4,19
2024,746406,607481,BULLPEN,2,1,0,0,0,0,0,3
2024,746406,572955,BULLPEN,4,2,0,0,0,0,2,6
2024,746406,621345,BULLPEN,4,0,0,0,0,0,0,4
2024,746406,445926,BULLPEN,3,0,0,0,1,0,1,4
2024,746400,625643,STARTER,18,4,0,0,1,0,7,23
2024,746400,554431,BULLPEN,3,0,0,0,0,0,2,3
2024,746400,641729,BULLPEN,3,0,0,0,0,0,1,3
2024,746400,607481,BULLPEN,2,3,2,1,1,0,0,6
2024,746400,628452,BULLPEN,1,0,0,0,0,0,0,1
2024,746401,608331,STARTER,15,7,3,1,4,0,2,24
2024,746401,445926,BULLPEN,3,2,1,1,0,0,2,5
2024,746401,572955,BULLPEN,3,0,0,0,1,0,2,4
2024,746401,641729,BULLPEN,4,0,0,0,0,0,1,4
2024,746401,621345,BULLPEN,2,0,0,0,0,0,0,2
2024,746401,628452,BULLPEN,3,0,0,0,1,0,0,3
2024,747136,519242,STARTER,21,5,3,1,1,0,7,27
2024,747136,554431,BULLPEN,3,1,0,0,0,0,2,4
2024,747136,572955,BULLPEN,3,0,0,0,0,0,0,3
2024,747135,450203,STARTER,18,4,2,0,2,0,4,24
2024,747135,641729,BULLPEN,3,0,0,0,0,0,2,3
2024,747135,621345,BULLPEN,3,1,0,0,0,0,1,4
2024,747135,628452,BULLPEN,3,0,0,0,0,0,2,3
2024,747133,670241,STARTER,15,7,4,2,0,0,2,22
2024,747133,669276,BULLPEN,6,2,0,0,1,0,2,7
2024,747133,554431,BULLPEN,3,2,2,1,0,0,1,5
2024,747133,607481,BULLPEN,3,0,0,0,0,0,2,3
2024,747134,693821,STARTER,20,8,0,0,0,1,4,26
2024,747134,572955,BULLPEN,1,0,0,0,0,0,1,1
