PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,745604,621381,BULLPEN,7
2024,745604,621381,BULLPEN,7
2024,745604,621237,BULLPEN,8
2024,745604,621237,BULLPEN,8
2024,745604,621237,BULLPEN,8
2024,745604,621237,BULLPEN,8
2024,745604,641401,BULLPEN,8
2024,745604,621237,BULLPEN,8
2024,745604,641401,BULLPEN,8
2024,745599,605400,STARTER,1
2024,745599,605400,STARTER,1
2024,745599,605400,STARTER,2
2024,745599,605400,STARTER,2
2024,745599,605400,STARTER,2
2024,745599,605400,STARTER,3
2024,745599,605400,STARTER,3
2024,745599,656814,BULLPEN,6
2024,745599,622554,BULLPEN,6
2024,745599,656814,BULLPEN,6
2024,745599,622554,BULLPEN,6
2024,745599,641401,BULLPEN,9
2024,745602,624133,STARTER,1
2024,745602,624133,STARTER,1
2024,745602,624133,STARTER,4
2024,745602,622554,BULLPEN,8
2024,746817,623167,STARTER,3
2024,746817,623167,STARTER,4
2024,746817,623167,STARTER,4
2024,746817,623167,STARTER,5
2024,746817,543766,BULLPEN,6
2024,746817,543766,BULLPEN,6
2024,746817,608678,BULLPEN,8
2024,746817,665620,BULLPEN,8
2024,746817,665620,BULLPEN,8
2024,746814,676979,STARTER,7
2024,746814,656629,BULLPEN,9
2024,747143,674072,STARTER,1
2024,747143,674072,STARTER,3
2024,747143,612434,BULLPEN,8
2024,747143,656464,BULLPEN,9
2024,747143,656464,BULLPEN,9
2024,747143,543518,BULLPEN,10
2024,747140,694297,STARTER,4
2024,747140,694297,STARTER,4
2024,747140,694297,STARTER,5
2024,747140,694297,STARTER,5
2024,747140,694297,STARTER,5
2024,747140,686826,BULLPEN,7
2024,747140,686826,BULLPEN,7
2024,747140,666818,BULLPEN,8
2024,747140,666818,BULLPEN,8
2024,747141,669194,STARTER,2
2024,747141,669194,STARTER,2
2024,747141,669194,STARTER,4
2024,747141,612434,BULLPEN,8
2024,747141,612434,BULLPEN,8
2024,747142,527054,STARTER,3
2024,747142,527054,STARTER,3
2024,747142,527054,STARTER,3
2024,747142,527054,STARTER,3
2024,747142,642121,BULLPEN,6
2024,747142,518617,BULLPEN,8
2024,747142,605347,BULLPEN,9
2024,747138,605288,STARTER,1
2024,747138,605288,STARTER,3
2024,747138,605288,STARTER,3
2024,747138,605288,STARTER,3
2024,747138,605288,STARTER,4
2024,747138,673380,BULLPEN,6
2024,747137,500779,STARTER,5
2024,747137,500779,STARTER,5
2024,747137,500779,STARTER,5
2024,747137,664079,BULLPEN,8
2024,746084,669432,STARTER,1
2024,746084,669432,STARTER,5
2024,746084,666277,BULLPEN,7
2024,746084,666277,BULLPEN,7
2024,746084,666277,BULLPEN,7
2024,746084,677053,BULLPEN,7
2024,746084,677053,BULLPEN,7
2024,746084,542882,BULLPEN,9
2024,746082,676974,STARTER,6
2024,746079,666200,STARTER,2
2024,746079,666200,STARTER,3
2024,746079,666200,STARTER,3
2024,746079,666200,STARTER,4
2024,746079,666200,STARTER,4
2024,746079,669622,BULLPEN,7
2024,746079,656945,BULLPEN,9
2024,746079,656945,BULLPEN,9
2024,746079,656945,BULLPEN,9
2024,746406,681293,STARTER,2
2024,746406,681293,STARTER,2
2024,746406,623352,BULLPEN,9
2024,746406,623352,BULLPEN,9
2024,746406,623352,BULLPEN,9
2024,746406,623352,BULLPEN,9
2024,746400,686613,STARTER,2
2024,746400,686613,STARTER,7
2024,746400,681869,BULLPEN,9
2024,746400,681869,BULLPEN,9
2024,746400,681869,BULLPEN,9
2024,746400,681869,BULLPEN,9
2024,746401,641585,STARTER,2
2024,746401,641585,STARTER,5
2024,746401,519151,BULLPEN,8
2024,746401,519151,BULLPEN,8
2024,746401,661527,BULLPEN,10
2024,747136,571760,STARTER,1
2024,747136,571760,STARTER,2
2024,747136,571760,STARTER,5
2024,747136,656641,BULLPEN,6
2024,747136,656641,BULLPEN,6
2024,747136,656641,BULLPEN,6
2024,747136,656641,BULLPEN,6
2024,747136,643493,BULLPEN,8
2024,747135,543135,STARTER,2
2024,747135,543135,STARTER,2
2024,747135,543135,STARTER,2
2024,747135,643493,BULLPEN,8
2024,747135,643493,BULLPEN,8
2024,747133,547179,STARTER,1
2024,747133,547179,STARTER,1
2024,747133,547179,STARTER,1
2024,747133,502085,BULLPEN,8
2024,747134,677960,STARTER,4
2024,747134,677960,STARTER,4
2024,747134,677960,STARTER,4
2024,747130,669432,STARTER,2
2024,747130,669432,STARTER,2
2024,747130,669432,STARTER,6
2024,747130,669432,STARTER,6
2024,747130,669432,STARTER,6
2024,747132,664350,STARTER,1
2024,747132,664350,STARTER,1
2024,747132,664350,STARTER,3
2024,747132,656945,BULLPEN,10
2024,747129,671106,STARTER,4
2024,747129,671106,STARTER,4
2024,747129,671106,STARTER,4
2024,747129,671106,STARTER,5
2024,747129,595881,BULLPEN,6
2024,747129,658648,BULLPEN,8
2024,747131,683769,BULLPEN,8
2024,747131,683769,BULLPEN,8
2024,747125,594902,STARTER,5
2024,747125,683769,BULLPEN,8
2024,747125,683769,BULLPEN,8
2024,747125,661403,BULLPEN,10
2024,745263,682243,STARTER,7
2024,745260,592773,BULLPEN,8
2024,745260,592773,BULLPEN,8
2024,745261,676106,STARTER,3
2024,745261,676106,STARTER,4
2024,745261,676106,STARTER,4
2024,745261,676106,STARTER,4
2024,745261,676106,STARTER,4
2024,746152,694813,STARTER,1
2024,746152,543339,BULLPEN,8
2024,746152,681911,BULLPEN,10
2024,746155,607192,STARTER,4
2024,746155,607192,STARTER,7
2024,746153,572020,STARTER,7
2024,747126,676710,STARTER,3
2024,747126,676710,STARTER,3
2024,747126,686580,BULLPEN,8
2024,747126,686580,BULLPEN,8
2024,747127,601713,STARTER,1
2024,747127,601713,STARTER,1
2024,747127,601713,STARTER,1
2024,747127,601713,STARTER,1
2024,747127,601713,STARTER,3
2024,745827,500779,STARTER,3
2024,745827,500779,STARTER,3
2024,745827,500779,STARTER,3
2024,745827,500779,STARTER,3
2024,745828,681035,STARTER,3
2024,745828,681035,STARTER,3
2024,745828,681035,STARTER,4
2024,745828,605347,BULLPEN,9
2024,745825,622663,STARTER,2
2024,745825,622663,STARTER,6
2024,745825,493603,BULLPEN,8
2024,747128,669713,BULLPEN,6
2024,747128,669713,BULLPEN,6
2024,747124,592791,STARTER,1
2024,747124,592791,STARTER,4
2024,747124,592791,STARTER,4
2024,747124,592791,STARTER,4
2024,747124,592791,STARTER,4
2024,747124,592791,STARTER,4
2024,747124,592791,STARTER,4
2024,747123,676962,BULLPEN,7
2024,747122,663362,STARTER,1
2024,747120,663568,BULLPEN,9
2024,747119,656302,STARTER,1
2024,747119,656302,STARTER,1
2024,747119,656302,STARTER,3
2024,747119,656302,STARTER,3
2024,747119,656302,STARTER,3
2024,747121,681190,STARTER,1
2024,747121,681190,STARTER,3
2024,747121,681190,STARTER,5
2024,746875,665871,STARTER,2
2024,746875,665871,STARTER,2
