TEAM_ID,TEAM,G,RS,R_G,RA,RA_G,OFF_RANK,PITCH_RANK
133,Athletics,102,458,4.490196078431373,580,5.686274509803922,14,29
134,Pittsburgh Pirates,103,543,5.271844660194175,492,4.776699029126213,2,22
135,San Diego Padres,102,421,4.127450980392157,450,4.411764705882353,25,12
136,Seattle Mariners,103,415,4.029126213592233,398,3.8640776699029127,29,5
137,San Francisco Giants,102,417,4.088235294117647,481,4.715686274509804,26,21
138,St. Louis Cardinals,101,448,4.435643564356436,448,4.435643564356436,17,13
139,Tampa Bay Rays,101,458,4.534653465346534,426,4.217821782178218,13,9
140,Texas Rangers,102,427,4.186274509803922,457,4.480392156862745,24,15
141,Toronto Blue Jays,102,402,3.9411764705882355,465,4.5588235294117645,30,18
142,Minnesota Twins,103,495,4.805825242718447,527,5.116504854368932,7,26
143,Philadelphia Phillies,103,448,4.349514563106796,463,4.495145631067961,18,16
144,Atlanta Braves,101,502,4.97029702970297,397,3.9306930693069306,6,6
145,Chicago White Sox,101,483,4.782178217821782,439,4.346534653465347,8,11
146,Miami Marlins,103,457,4.436893203883495,446,4.330097087378641,16,10
147,New York Yankees,102,480,4.705882352941177,392,3.843137254901961,10,4
158,Milwaukee Brewers,102,514,5.03921568627451,381,3.735294117647059,5,2
108,Los Angeles Angels,103,442,4.29126213592233,500,4.854368932038835,19,24
109,Arizona Diamondbacks,102,456,4.470588235294118,459,4.5,15,17
110,Baltimore Orioles,103,472,4.58252427184466,485,4.70873786407767,11,20
111,Boston Red Sox,101,426,4.217821782178218,381,3.772277227722772,22,3
112,Chicago Cubs,102,520,5.098039215686274,455,4.46078431372549,4,14
113,Cincinnati Reds,101,423,4.188118811881188,486,4.811881188118812,23,23
114,Cleveland Guardians,103,416,4.038834951456311,420,4.077669902912621,28,8
115,Colorado Rockies,104,495,4.759615384615385,596,5.730769230769231,9,30
116,Detroit Tigers,102,433,4.245098039215686,405,3.9705882352941178,21,7
117,Houston Astros,104,473,4.548076923076923,518,4.980769230769231,12,25
118,Kansas City Royals,103,438,4.252427184466019,534,5.184466019417476,20,27
119,Los Angeles Dodgers,103,535,5.194174757281553,378,3.6699029126213594,3,1
120,Washington Nationals,103,567,5.504854368932039,541,5.252427184466019,1,28
121,New York Mets,103,419,4.067961165048544,483,4.689320388349515,27,19
