PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,30,148,35,49,64,74,74,271,16,1155,45,84,10,263,62,380,93,4.933333333333334,2.466666666666667,2.466666666666667,5.904059040590406,23.574144486692017,24.473684210526315
2024,DEBIL,HOME,31,117,51,29,37,78,39,269,12,1116,28,96,5,273,56,351,64,3.774193548387097,2.5161290322580645,1.2580645161290323,4.4609665427509295,20.512820512820515,18.233618233618234
2024,FUERTE,AWAY,15,65,16,24,25,41,24,136,8,567,22,44,6,134,30,185,38,4.333333333333333,2.7333333333333334,1.6,5.882352941176471,22.388059701492537,20.54054054054054
2024,FUERTE,HOME,19,74,28,24,22,48,26,166,7,696,24,46,10,156,39,224,48,3.8947368421052633,2.526315789473684,1.368421052631579,4.216867469879518,25.0,21.428571428571427
2024,MEDIO,AWAY,36,175,65,45,65,96,79,333,19,1408,59,111,11,337,65,448,83,4.861111111111111,2.6666666666666665,2.1944444444444446,5.7057057057057055,19.287833827893174,18.526785714285715
2024,MEDIO,HOME,31,125,56,45,24,86,39,266,16,1137,35,104,4,268,55,370,78,4.032258064516129,2.774193548387097,1.2580645161290323,6.015037593984962,20.52238805970149,21.08108108108108
2025,DEBIL,AWAY,24,143,41,47,55,82,61,221,20,962,35,78,5,276,72,326,81,5.958333333333333,3.4166666666666665,2.5416666666666665,9.049773755656108,26.08695652173913,24.846625766871167
2025,DEBIL,HOME,35,177,44,71,62,83,94,297,23,1313,51,111,10,342,87,424,93,5.057142857142857,2.3714285714285714,2.6857142857142855,7.744107744107744,25.43859649122807,21.933962264150942
2025,FUERTE,AWAY,32,128,36,48,44,74,54,294,14,1253,33,135,4,311,56,425,100,4.0,2.3125,1.6875,4.761904761904762,18.006430868167204,23.529411764705884
2025,FUERTE,HOME,24,74,28,23,23,45,29,211,6,871,25,69,1,195,36,289,62,3.0833333333333335,1.875,1.2083333333333333,2.843601895734597,18.46153846153846,21.453287197231834
2025,MEDIO,AWAY,25,112,32,40,40,58,54,227,12,970,30,103,6,242,45,297,50,4.48,2.32,2.16,5.286343612334802,18.59504132231405,16.835016835016834
2025,MEDIO,HOME,22,90,28,35,27,47,43,194,12,824,16,79,5,213,39,277,60,4.090909090909091,2.1363636363636362,1.9545454545454546,6.185567010309279,18.309859154929576,21.660649819494584
2026_CUTOFF,DEBIL,AWAY,19,112,34,41,37,56,56,171,15,741,30,65,5,195,45,239,48,5.894736842105263,2.9473684210526314,2.9473684210526314,8.771929824561404,23.076923076923077,20.0836820083682
2026_CUTOFF,DEBIL,HOME,14,52,16,14,22,29,23,122,7,513,10,45,1,121,26,163,30,3.7142857142857144,2.0714285714285716,1.6428571428571428,5.737704918032787,21.487603305785125,18.404907975460123
2026_CUTOFF,FUERTE,AWAY,13,66,19,28,19,42,24,117,8,498,18,39,2,106,26,163,35,5.076923076923077,3.230769230769231,1.8461538461538463,6.837606837606837,24.528301886792452,21.47239263803681
2026_CUTOFF,FUERTE,HOME,15,75,23,25,27,45,30,129,8,538,19,32,2,133,33,170,37,5.0,3.0,2.0,6.2015503875969,24.81203007518797,21.764705882352942
2026_CUTOFF,MEDIO,AWAY,18,70,28,24,18,35,35,165,6,704,20,55,7,173,31,240,50,3.888888888888889,1.9444444444444444,1.9444444444444444,3.6363636363636362,17.91907514450867,20.833333333333332
2026_CUTOFF,MEDIO,HOME,22,127,52,27,48,71,56,187,19,839,35,74,6,213,56,283,71,5.7727272727272725,3.227272727272727,2.5454545454545454,10.16042780748663,26.291079812206572,25.08833922261484
