TEAM_ID,TEAM,ABBR,G,RA,RA_G,RANK,OPP_STRENGTH
158,Milwaukee Brewers,MIL,99,363,3.6666666666666665,1,FUERTE
119,Los Angeles Dodgers,LAD,102,376,3.6862745098039214,2,FUERTE
111,Boston Red Sox,BOS,99,378,3.8181818181818183,3,FUERTE
147,New York Yankees,NYY,100,384,3.84,4,FUERTE
136,Seattle Mariners,SEA,103,398,3.8640776699029127,5,FUERTE
144,Atlanta Braves,ATL,101,397,3.9306930693069306,6,FUERTE
116,Detroit Tigers,DET,101,404,4.0,7,FUERTE
114,Cleveland Guardians,CLE,101,408,4.03960396039604,8,FUERTE
139,Tampa Bay Rays,TB,100,416,4.16,9,FUERTE
146,Miami Marlins,MIA,103,446,4.330097087378641,10,FUERTE
145,Chicago White Sox,CWS,100,435,4.35,11,MEDIO
135,San Diego Padres,SD,102,450,4.411764705882353,12,MEDIO
112,Chicago Cubs,CHC,100,446,4.46,13,MEDIO
138,St. Louis Cardinals,STL,99,443,4.474747474747475,14,MEDIO
140,Texas Rangers,TEX,102,457,4.480392156862745,15,MEDIO
143,Philadelphia Phillies,PHI,102,458,4.490196078431373,16,MEDIO
109,Arizona Diamondbacks,ARI,102,459,4.5,17,MEDIO
141,Toronto Blue Jays,TOR,101,460,4.554455445544554,18,MEDIO
110,Baltimore Orioles,BAL,100,464,4.64,19,MEDIO
121,New York Mets,NYM,100,464,4.64,20,MEDIO
137,San Francisco Giants,SF,101,475,4.702970297029703,21,DEBIL
113,Cincinnati Reds,CIN,100,478,4.78,22,DEBIL
134,Pittsburgh Pirates,PIT,100,483,4.83,23,DEBIL
108,Los Angeles Angels,LAA,103,500,4.854368932038835,24,DEBIL
117,Houston Astros,HOU,103,513,4.980582524271845,25,DEBIL
142,Minnesota Twins,MIN,103,527,5.116504854368932,26,DEBIL
118,Kansas City Royals,KC,102,532,5.215686274509804,27,DEBIL
120,Washington Nationals,WSH,103,541,5.252427184466019,28,DEBIL
133,Athletics,ATH,102,580,5.686274509803922,29,DEBIL
115,Colorado Rockies,COL,102,594,5.823529411764706,30,DEBIL
