PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED
2024,2024-03-28,747060,True,HOME,108,Los Angeles Angels,DEBIL,11,3,5,3,3,1,0,2,8,2,5,6,0
2024,2024-03-30,747063,True,HOME,108,Los Angeles Angels,DEBIL,13,4,3,9,1,0,1,3,8,1,5,8,0
2024,2024-03-31,747062,True,HOME,108,Los Angeles Angels,DEBIL,1,4,1,0,0,4,0,0,9,0,1,0,0
2024,2024-04-01,747058,True,HOME,118,Kansas City Royals,FUERTE,6,4,0,3,3,3,0,1,9,1,3,3,0
2024,2024-04-02,747057,True,HOME,118,Kansas City Royals,FUERTE,1,4,1,0,0,3,1,0,9,0,1,0,0
2024,2024-04-03,747059,True,HOME,118,Kansas City Royals,FUERTE,4,3,0,0,4,2,0,1,9,0,0,4,0
2024,2024-04-05,745524,False,AWAY,134,Pittsburgh Pirates,DEBIL,5,2,2,0,3,0,1,1,9,0,2,3,0
2024,2024-04-06,745522,False,AWAY,134,Pittsburgh Pirates,DEBIL,4,5,0,0,4,3,0,2,11,0,0,4,0
2024,2024-04-07,745523,False,AWAY,134,Pittsburgh Pirates,DEBIL,2,3,0,2,0,0,1,2,9,0,2,0,0
2024,2024-04-09,746981,False,AWAY,111,Boston Red Sox,DEBIL,7,1,1,2,4,1,0,0,9,0,3,4,0
2024,2024-04-10,746980,False,AWAY,111,Boston Red Sox,DEBIL,7,5,0,3,4,1,4,0,9,2,0,7,0
2024,2024-04-11,746977,False,AWAY,111,Boston Red Sox,DEBIL,9,4,0,1,8,2,0,2,10,1,1,8,0
2024,2024-04-12,747055,True,HOME,158,Milwaukee Brewers,FUERTE,1,11,0,1,0,4,6,1,9,0,1,0,0
2024,2024-04-13,747054,True,HOME,158,Milwaukee Brewers,FUERTE,5,11,5,0,0,4,4,3,9,1,5,0,0
2024,2024-04-14,747056,True,HOME,158,Milwaukee Brewers,FUERTE,6,4,3,0,3,2,1,1,8,0,3,3,0
2024,2024-04-15,747053,True,HOME,142,Minnesota Twins,MEDIO,7,4,4,3,0,1,1,2,8,0,6,1,0
2024,2024-04-16,747051,True,HOME,142,Minnesota Twins,MEDIO,11,3,7,2,2,0,2,1,8,2,9,2,0
2024,2024-04-17,747049,True,HOME,142,Minnesota Twins,MEDIO,4,2,1,0,3,0,0,2,9,0,1,3,0
2024,2024-04-19,746325,False,AWAY,118,Kansas City Royals,FUERTE,4,9,0,0,4,0,6,3,9,1,0,4,0
2024,2024-04-20,746324,False,AWAY,118,Kansas City Royals,FUERTE,9,7,7,0,2,0,3,4,9,1,7,2,0
2024,2024-04-21,746316,False,AWAY,118,Kansas City Royals,FUERTE,5,0,2,2,1,0,0,0,9,0,4,1,0
2024,2024-04-22,746242,False,AWAY,108,Los Angeles Angels,DEBIL,4,2,2,1,1,0,0,2,9,0,4,0,0
