PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,747060,669203,STARTER,18,1,1,1,0,0,11,19
2024,747060,657508,BULLPEN,3,0,0,0,1,0,0,3
2024,747060,622253,BULLPEN,3,1,1,0,2,0,1,6
2024,747060,669211,BULLPEN,3,0,0,0,0,0,2,3
2024,747063,680570,STARTER,18,4,1,1,1,0,9,22
2024,747063,543056,BULLPEN,3,1,0,0,0,0,1,4
2024,747063,657097,BULLPEN,3,0,0,0,0,0,1,3
2024,747063,672335,BULLPEN,0,2,2,0,0,0,0,2
2024,747063,657508,BULLPEN,3,2,1,0,0,0,2,6
2024,747062,669330,STARTER,18,5,3,1,0,0,7,23
2024,747062,622253,BULLPEN,3,0,0,0,0,1,0,3
2024,747062,657097,BULLPEN,3,0,0,0,1,0,0,3
2024,747062,666974,BULLPEN,3,1,0,0,0,0,1,4
2024,747058,665152,STARTER,16,3,3,2,1,0,5,22
2024,747058,669211,BULLPEN,4,1,0,0,0,0,1,5
2024,747058,666974,BULLPEN,4,2,0,0,1,0,1,7
2024,747058,518886,BULLPEN,3,1,1,0,0,0,2,4
2024,747057,608344,STARTER,15,7,4,0,2,0,3,24
2024,747057,622253,BULLPEN,3,1,0,0,1,0,2,5
2024,747057,657097,BULLPEN,3,0,0,0,0,0,2,3
2024,747057,669169,BULLPEN,6,0,0,0,0,1,2,6
2024,747059,669203,STARTER,17,9,2,0,0,0,3,26
2024,747059,657508,BULLPEN,3,1,1,1,1,0,1,5
2024,747059,543056,BULLPEN,4,0,0,0,0,0,2,4
2024,747059,666974,BULLPEN,3,0,0,0,0,0,1,3
2024,745524,680570,STARTER,19,6,2,2,2,0,7,27
2024,745524,543056,BULLPEN,2,0,0,0,0,0,1,2
2024,745524,666974,BULLPEN,3,0,0,0,0,0,2,3
2024,745524,518886,BULLPEN,3,0,0,0,0,0,2,3
2024,745522,669330,STARTER,16,7,3,1,2,0,3,25
2024,745522,622253,BULLPEN,2,0,0,0,0,0,0,2
2024,745522,669211,BULLPEN,3,1,0,0,0,0,2,4
2024,745522,657097,BULLPEN,3,1,0,0,0,0,2,4
2024,745522,518886,BULLPEN,3,0,0,0,0,0,1,3
2024,745522,657508,BULLPEN,0,1,0,0,2,0,0,3
2024,745522,543056,BULLPEN,3,0,0,0,0,0,1,3
2024,745522,669169,BULLPEN,1,1,0,0,0,0,0,2
2024,745523,665152,STARTER,21,5,0,0,0,0,6,26
2024,745523,669211,BULLPEN,3,0,0,0,0,0,0,3
2024,745523,666974,BULLPEN,2,2,1,0,1,0,0,5
2024,746981,669203,STARTER,21,2,1,1,2,0,6,25
2024,746981,543056,BULLPEN,3,0,0,0,0,0,3,3
2024,746981,657097,BULLPEN,3,0,0,0,0,0,1,3
2024,746980,608344,STARTER,15,7,5,1,3,0,4,23
2024,746980,657508,BULLPEN,3,1,0,0,0,0,3,4
2024,746980,669211,BULLPEN,6,0,0,0,1,0,4,7
2024,746980,518886,BULLPEN,3,0,0,0,0,0,2,3
2024,746977,680570,STARTER,17,6,2,0,2,0,5,25
2024,746977,657097,BULLPEN,4,0,0,0,0,0,1,4
2024,746977,543056,BULLPEN,2,1,1,1,0,0,0,3
2024,746977,666974,BULLPEN,1,0,0,0,0,0,0,1
2024,746977,518886,BULLPEN,3,0,0,0,0,0,1,3
2024,746977,657508,BULLPEN,3,1,0,0,0,0,0,4
2024,747055,669330,STARTER,12,6,4,1,1,0,3,19
2024,747055,669169,BULLPEN,6,7,6,2,1,0,2,14
2024,747055,622253,BULLPEN,6,0,0,0,1,0,1,7
2024,747055,657097,BULLPEN,3,2,1,0,1,0,0,6
2024,747054,665152,STARTER,12,10,6,2,1,0,3,24
2024,747054,669211,BULLPEN,5,1,0,0,0,0,1,6
2024,747054,670990,BULLPEN,5,1,2,0,1,1,2,8
2024,747054,657508,BULLPEN,5,3,1,0,0,0,0,8
2024,747056,669203,STARTER,15,6,2,1,2,0,5,22
2024,747056,657097,BULLPEN,3,2,0,0,0,0,0,4
2024,747056,666974,BULLPEN,4,2,1,1,0,0,1,6
2024,747056,543056,BULLPEN,2,0,0,0,0,0,1,2
2024,747056,518886,BULLPEN,3,2,0,0,0,0,3,5
2024,747053,608344,STARTER,14,6,2,1,0,0,4,19
2024,747053,622253,BULLPEN,4,1,0,0,0,0,0,5
2024,747053,669211,BULLPEN,1,2,2,0,0,0,1,3
2024,747053,666974,BULLPEN,5,2,0,0,0,0,2,6
2024,747053,518886,BULLPEN,3,0,0,0,0,0,2,3
2024,747051,680570,STARTER,18,4,2,0,3,0,6,23
2024,747051,670990,BULLPEN,5,1,0,0,0,0,1,6
2024,747051,657508,BULLPEN,4,2,1,0,1,0,3,7
2024,747049,544150,STARTER,17,3,0,0,0,1,4,21
2024,747049,543056,BULLPEN,2,0,1,0,1,0,0,3
2024,747049,657097,BULLPEN,1,2,1,0,0,0,1,3
2024,747049,669211,BULLPEN,1,0,0,0,0,0,1,1
2024,747049,666974,BULLPEN,3,0,0,0,1,0,2,4
2024,747049,518886,BULLPEN,3,0,0,0,0,0,1,3
2024,746325,665152,STARTER,17,2,3,1,3,0,3,22
2024,746325,669211,BULLPEN,1,3,3,0,1,0,0,5
2024,746325,622253,BULLPEN,3,4,3,1,0,0,0,7
2024,746325,657508,BULLPEN,3,0,0,0,0,0,2,3
2024,746324,669203,STARTER,17,4,3,1,1,0,4,22
2024,746324,543056,BULLPEN,2,0,1,0,1,0,0,3
2024,746324,670990,BULLPEN,1,1,2,0,1,1,0,3
2024,746324,666974,BULLPEN,1,2,1,0,1,0,1,5
2024,746324,669211,BULLPEN,2,1,0,0,0,0,1,3
2024,746324,657508,BULLPEN,1,0,0,0,0,0,0,1
2024,746324,518886,BULLPEN,3,0,0,0,0,0,0,3
2024,746316,608344,STARTER,20,4,0,0,2,0,2,26
2024,746316,657097,BULLPEN,2,0,0,0,1,0,1,3
2024,746316,543056,BULLPEN,2,1,0,0,0,0,2,3
2024,746316,622253,BULLPEN,3,0,0,0,1,0,0,4
2024,746242,544150,STARTER,17,4,0,0,2,0,5,22
2024,746242,657508,BULLPEN,1,2,2,1,1,0,1,4
2024,746242,666974,BULLPEN,5,1,0,0,0,0,0,5
2024,746242,657097,BULLPEN,1,0,0,0,0,0,0,1
2024,746242,518886,BULLPEN,3,1,0,0,1,1,2,6
2024,746246,680570,STARTER,13,11,7,1,1,0,7,24
2024,746246,622253,BULLPEN,5,0,0,0,0,0,1,4
2024,746246,669211,BULLPEN,2,0,0,0,1,0,2,3
2024,746246,670990,BULLPEN,4,0,0,0,0,1,2,4
2024,746244,665152,STARTER,16,3,2,1,1,0,10,20
2024,746244,657097,BULLPEN,3,1,1,1,0,0,2,4
2024,746244,666974,BULLPEN,3,1,1,1,0,0,2,4
2024,746244,543056,BULLPEN,2,0,0,0,0,0,1,2
2024,746244,518886,BULLPEN,3,1,0,0,1,0,1,4
2024,747050,669203,STARTER,18,3,1,1,3,0,6,23
2024,747050,543056,BULLPEN,2,1,0,0,0,0,1,3
2024,747050,666974,BULLPEN,4,0,0,0,0,0,2,4
2024,747050,518886,BULLPEN,1,2,1,0,3,0,0,5
2024,747050,669211,BULLPEN,2,0,0,0,0,0,1,2
2024,747050,657097,BULLPEN,3,1,0,0,0,0,1,4
2024,747052,608344,STARTER,21,4,0,0,0,1,5,24
2024,747052,657508,BULLPEN,3,1,0,0,0,1,1,5
2024,747052,622253,BULLPEN,3,0,0,0,1,0,0,3
2024,747045,544150,STARTER,12,7,4,1,1,0,6,20
2024,747045,669211,BULLPEN,6,0,0,0,0,0,2,6
2024,747045,543056,BULLPEN,2,1,1,1,0,0,1,3
2024,747045,657097,BULLPEN,1,0,0,0,0,0,0,1
2024,747045,666974,BULLPEN,3,1,0,0,0,0,1,4
2024,747045,518886,BULLPEN,0,1,2,1,1,0,0,2
2024,747045,622253,BULLPEN,3,0,0,0,0,0,1,3
2024,747046,680570,STARTER,17,5,0,0,3,0,3,25
2024,747046,672335,BULLPEN,3,1,0,0,0,0,0,4
2024,747046,666974,BULLPEN,4,1,0,0,0,0,0,5
2024,747046,543056,BULLPEN,3,0,0,0,0,0,0,3
2024,747047,665152,STARTER,21,4,2,2,4,0,4,26
2024,747047,669211,BULLPEN,2,1,0,0,0,0,1,3
2024,747047,657097,BULLPEN,4,0,0,0,0,0,3,4
2024,747048,669203,STARTER,18,4,2,1,1,0,6,22
2024,747048,657508,BULLPEN,6,0,0,0,0,0,1,6
2024,747048,670990,BULLPEN,3,0,0,0,0,0,1,3
2024,747044,680694,STARTER,14,4,1,0,2,1,5,21
2024,747044,669211,BULLPEN,4,1,1,1,1,0,0,5
2024,747044,543056,BULLPEN,2,1,0,0,0,0,1,3
2024,747044,657097,BULLPEN,4,0,0,0,0,0,3,4
2024,747044,672335,BULLPEN,3,0,0,0,0,0,2,3
2024,746721,608344,STARTER,19,2,0,0,0,0,4,21
2024,746721,666974,BULLPEN,2,0,0,0,0,0,0,2
2024,746721,543056,BULLPEN,3,0,0,0,0,0,1,3
2024,746721,518886,BULLPEN,3,0,0,0,0,0,3,3
2024,746720,607644,STARTER,21,3,0,0,0,0,8,23
2024,746720,672335,BULLPEN,3,1,0,0,0,0,0,3
2024,746720,518886,BULLPEN,1,2,1,0,1,0,1,4
2024,746720,666974,BULLPEN,2,0,0,0,1,0,1,3
2024,746719,665152,STARTER,18,1,0,0,1,0,6,20
2024,746719,544150,BULLPEN,7,0,0,0,0,0,1,7
2024,746719,657508,BULLPEN,2,2,1,0,2,0,1,6
2024,744859,669203,STARTER,19,5,3,0,3,0,6,27
2024,744859,657097,BULLPEN,2,0,0,0,2,0,1,4
2024,744859,669211,BULLPEN,3,1,0,0,1,0,1,5
2024,744858,680694,STARTER,15,4,1,0,2,1,9,22
2024,744858,543056,BULLPEN,3,0,0,0,0,0,0,3
2024,744858,666974,BULLPEN,2,1,0,0,1,0,0,3
2024,744858,672335,BULLPEN,4,0,0,0,1,0,0,4
2024,744858,518886,BULLPEN,2,1,2,1,2,0,0,5
2024,744858,669211,BULLPEN,1,1,0,0,0,0,0,2
2024,744858,544150,BULLPEN,6,1,1,0,1,0,1,8
2024,744858,657097,BULLPEN,3,1,0,0,0,0,1,4
2024,747043,608344,STARTER,17,5,2,1,1,0,6,23
2024,747043,544150,BULLPEN,1,1,0,0,0,0,0,2
2024,747043,518886,BULLPEN,3,0,0,0,0,0,1,3
2024,747043,657097,BULLPEN,2,0,0,0,1,0,0,3
2024,747043,672335,BULLPEN,1,0,0,0,0,1,0,2
2024,747043,666974,BULLPEN,3,1,0,0,0,0,1,4
2024,747041,607644,STARTER,14,6,4,1,0,1,3,21
2024,747041,657508,BULLPEN,7,1,0,0,0,0,0,7
2024,747041,669211,BULLPEN,3,0,0,0,0,0,1,3
2024,747041,666974,BULLPEN,3,0,0,0,1,0,0,4
2024,747041,543056,BULLPEN,3,0,0,0,0,0,1,3
2024,747041,518886,BULLPEN,3,0,0,0,0,1,1,4
2024,747042,665152,STARTER,17,4,3,1,4,0,10,26
2024,747042,672335,BULLPEN,1,3,3,0,1,0,1,5
2024,747042,544150,BULLPEN,9,1,0,0,0,0,3,10
2024,747040,669203,STARTER,18,6,1,0,2,0,2,24
2024,747040,518886,BULLPEN,3,0,0,0,0,0,2,3
2024,747040,666974,BULLPEN,1,1,1,1,2,0,0,4
2024,747040,543056,BULLPEN,2,0,0,0,0,0,0,1
2024,747040,657097,BULLPEN,4,1,0,0,0,0,0,5
2024,747040,669211,BULLPEN,2,0,0,0,1,0,0,3
2024,747038,680694,STARTER,12,4,2,0,2,0,3,18
2024,747038,657097,BULLPEN,3,0,0,0,3,0,1,6
2024,747038,672335,BULLPEN,4,0,0,0,1,0,1,5
2024,747038,657508,BULLPEN,5,0,0,0,0,0,1,5
2024,747038,543056,BULLPEN,3,1,0,0,0,0,0,4
2024,747037,607644,STARTER,18,6,2,1,0,0,4,24
2024,747037,657097,BULLPEN,1,2,0,0,0,0,0,3
2024,747037,666974,BULLPEN,2,0,0,0,0,0,0,1
2024,747037,657508,BULLPEN,3,1,0,0,1,0,0,5
2024,747037,669211,BULLPEN,3,0,0,0,0,0,0,3
2024,747036,680570,STARTER,18,1,0,0,3,1,7,22
2024,747036,543056,BULLPEN,1,2,2,0,0,0,0,3
2024,747036,544150,BULLPEN,2,1,0,0,0,0,0,3
2024,747036,666974,BULLPEN,1,2,2,0,0,0,0,3
2024,747036,672335,BULLPEN,5,1,0,0,1,0,2,7
2024,747035,669203,STARTER,18,6,0,0,1,0,11,24
2024,747035,657097,BULLPEN,0,1,2,0,2,0,0,3
2024,747035,608344,BULLPEN,6,1,0,0,0,0,0,6
2024,747035,518886,BULLPEN,3,0,0,0,0,0,2,3
2024,745181,665152,STARTER,12,6,5,1,3,0,2,21
2024,745181,544150,BULLPEN,3,0,0,0,2,0,1,5
2024,745181,672335,BULLPEN,5,2,1,0,2,0,2,9
2024,745181,669211,BULLPEN,4,0,0,0,0,0,1,4
2024,745180,680694,STARTER,15,4,1,0,1,1,6,21
2024,745180,657097,BULLPEN,2,0,1,0,1,0,0,3
2024,745180,669211,BULLPEN,7,1,1,1,0,0,2,8
2024,745173,607644,STARTER,9,1,0,0,2,0,1,12
2024,745173,608344,BULLPEN,10,6,3,1,0,0,2,17
2024,745173,544150,BULLPEN,2,0,0,0,0,0,0,2
2024,745173,663989,BULLPEN,3,1,0,0,0,0,0,4
2024,746792,680570,STARTER,15,3,2,0,5,1,7,24
2024,746792,543056,BULLPEN,3,0,0,0,0,0,3,3
2024,746792,657097,BULLPEN,3,1,0,0,0,0,0,4
2024,746792,669169,BULLPEN,3,2,4,0,2,0,0,7
2024,746792,666974,BULLPEN,1,1,0,0,0,1,1,3
2024,746792,518886,BULLPEN,2,0,0,0,0,0,0,1
2024,746793,669203,STARTER,18,7,3,0,2,0,6,27
2024,746793,666974,BULLPEN,3,1,1,1,0,0,2,4
2024,746793,543056,BULLPEN,3,1,0,0,0,0,0,3
2024,746793,518886,BULLPEN,3,0,0,0,0,0,1,3
2024,746794,544150,STARTER,12,2,0,0,2,0,3,15
2024,746794,669211,BULLPEN,5,3,3,0,3,0,2,11
2024,746794,622253,BULLPEN,7,0,0,0,0,0,4,7
2024,746794,672335,BULLPEN,3,0,0,0,0,0,1,3
