PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,747060,663776,STARTER,1
2024,747060,663776,STARTER,1
2024,747060,663776,STARTER,2
2024,747060,663776,STARTER,2
2024,747060,663776,STARTER,2
2024,747060,660761,BULLPEN,4
2024,747060,660761,BULLPEN,4
2024,747060,660761,BULLPEN,6
2024,747060,542585,BULLPEN,7
2024,747060,542585,BULLPEN,7
2024,747060,542585,BULLPEN,7
2024,747063,656288,STARTER,1
2024,747063,656288,STARTER,1
2024,747063,656288,STARTER,3
2024,747063,656288,STARTER,6
2024,747063,656288,STARTER,6
2024,747063,472610,BULLPEN,6
2024,747063,472610,BULLPEN,6
2024,747063,472610,BULLPEN,6
2024,747063,472610,BULLPEN,6
2024,747063,670871,BULLPEN,6
2024,747063,670871,BULLPEN,6
2024,747063,670871,BULLPEN,6
2024,747063,643256,BULLPEN,8
2024,747062,672282,STARTER,2
2024,747058,608379,STARTER,4
2024,747058,608379,STARTER,4
2024,747058,608379,STARTER,4
2024,747058,663704,BULLPEN,8
2024,747058,623433,BULLPEN,9
2024,747058,623433,BULLPEN,9
2024,747057,679525,STARTER,3
2024,747059,663704,BULLPEN,8
2024,747059,663704,BULLPEN,8
2024,747059,519293,BULLPEN,9
2024,747059,519293,BULLPEN,9
2024,745524,683003,STARTER,2
2024,745524,683003,STARTER,3
2024,745524,621366,BULLPEN,7
2024,745524,621366,BULLPEN,7
2024,745524,676702,BULLPEN,8
2024,745522,656924,BULLPEN,7
2024,745522,656924,BULLPEN,7
2024,745522,670280,BULLPEN,9
2024,745522,682847,BULLPEN,10
2024,745523,594835,STARTER,4
2024,745523,594835,STARTER,4
2024,746981,678394,STARTER,2
2024,746981,678394,STARTER,4
2024,746981,678394,STARTER,4
2024,746981,670174,BULLPEN,7
2024,746981,670174,BULLPEN,8
2024,746981,670174,BULLPEN,9
2024,746981,670174,BULLPEN,9
2024,746980,663462,BULLPEN,6
2024,746980,663462,BULLPEN,6
2024,746980,663462,BULLPEN,6
2024,746980,455119,BULLPEN,7
2024,746980,455119,BULLPEN,7
2024,746980,455119,BULLPEN,7
2024,746980,455119,BULLPEN,7
2024,746977,676477,STARTER,5
2024,746977,669711,BULLPEN,8
2024,746977,570257,BULLPEN,8
2024,746977,663462,BULLPEN,10
2024,746977,663462,BULLPEN,10
2024,746977,663462,BULLPEN,10
2024,746977,663462,BULLPEN,10
2024,746977,663462,BULLPEN,10
2024,746977,663462,BULLPEN,10
2024,747055,642547,STARTER,4
2024,747054,669084,STARTER,1
2024,747054,669084,STARTER,1
2024,747054,669084,STARTER,1
2024,747054,669084,STARTER,2
2024,747054,669084,STARTER,3
2024,747056,607067,STARTER,1
2024,747056,607067,STARTER,2
2024,747056,607067,STARTER,3
2024,747056,682842,BULLPEN,7
2024,747056,682842,BULLPEN,7
2024,747056,571948,BULLPEN,8
2024,747053,686973,STARTER,1
2024,747053,686973,STARTER,1
2024,747053,686973,STARTER,3
2024,747053,686973,STARTER,3
2024,747053,686973,STARTER,5
2024,747053,686973,STARTER,5
2024,747053,621199,BULLPEN,6
2024,747051,663978,STARTER,2
2024,747051,663978,STARTER,2
2024,747051,663978,STARTER,2
2024,747051,663978,STARTER,3
2024,747051,663978,STARTER,3
2024,747051,663978,STARTER,3
2024,747051,663978,STARTER,3
2024,747051,663978,STARTER,4
2024,747051,663978,STARTER,6
2024,747051,543351,BULLPEN,8
2024,747051,543351,BULLPEN,8
2024,747049,641154,STARTER,1
2024,747049,595345,BULLPEN,7
2024,747049,643377,BULLPEN,9
2024,747049,643377,BULLPEN,9
2024,746325,519293,BULLPEN,7
2024,746325,519293,BULLPEN,7
2024,746325,519293,BULLPEN,7
2024,746325,519293,BULLPEN,7
2024,746324,666142,STARTER,2
2024,746324,666142,STARTER,2
2024,746324,666142,STARTER,2
2024,746324,666142,STARTER,2
2024,746324,666142,STARTER,2
2024,746324,666142,STARTER,2
2024,746324,666142,STARTER,2
2024,746324,685107,BULLPEN,7
2024,746324,670167,BULLPEN,8
2024,746316,607625,STARTER,3
2024,746316,607625,STARTER,3
2024,746316,607625,STARTER,6
2024,746316,607625,STARTER,6
2024,746316,685107,BULLPEN,9
2024,746242,672282,STARTER,2
2024,746242,672282,STARTER,3
2024,746242,672282,STARTER,5
2024,746242,672282,STARTER,7
2024,746246,656288,STARTER,5
2024,746246,656288,STARTER,5
2024,746246,656288,STARTER,5
2024,746246,519043,BULLPEN,7
2024,746244,542881,STARTER,3
2024,746244,542881,STARTER,5
2024,746244,660761,BULLPEN,6
2024,746244,660761,BULLPEN,6
2024,746244,660761,BULLPEN,6
2024,746244,660761,BULLPEN,6
2024,747050,548389,STARTER,3
2024,747050,548389,STARTER,4
2024,747052,676664,STARTER,4
2024,747052,676664,STARTER,4
2024,747052,676664,STARTER,4
2024,747052,676664,STARTER,5
2024,747052,676664,STARTER,5
2024,747052,676664,STARTER,7
2024,747052,676664,STARTER,7
2024,747045,621112,STARTER,2
2024,747045,621112,STARTER,2
2024,747045,621112,STARTER,3
2024,747045,621112,STARTER,3
2024,747045,621112,STARTER,3
2024,747045,621112,STARTER,4
2024,747046,657376,STARTER,1
2024,747046,657571,BULLPEN,8
2024,747047,641482,STARTER,2
2024,747047,641482,STARTER,4
2024,747047,641482,STARTER,4
2024,747047,641482,STARTER,4
2024,747044,607074,STARTER,3
2024,747044,607074,STARTER,4
2024,747044,607074,STARTER,4
2024,747044,607074,STARTER,5
2024,747044,607074,STARTER,5
2024,747044,607074,STARTER,5
2024,747044,607074,STARTER,5
2024,746721,641941,BULLPEN,7
2024,746721,641941,BULLPEN,7
2024,746721,641941,BULLPEN,7
2024,746720,671096,STARTER,4
2024,746720,671096,STARTER,5
2024,746719,666157,STARTER,1
2024,746719,666157,STARTER,1
2024,746719,666157,STARTER,1
2024,746719,666157,STARTER,5
2024,746719,608718,BULLPEN,7
2024,746719,608718,BULLPEN,7
2024,746719,664747,BULLPEN,9
2024,746719,641941,BULLPEN,9
2024,746719,664747,BULLPEN,9
2024,746719,664747,BULLPEN,9
2024,746719,664747,BULLPEN,9
2024,744858,680730,STARTER,4
2024,744858,680730,STARTER,6
2024,744858,571882,BULLPEN,7
2024,744858,640451,BULLPEN,11
2024,744858,640451,BULLPEN,11
2024,744858,607179,BULLPEN,12
2024,744858,607179,BULLPEN,12
2024,747043,694297,STARTER,2
2024,747043,694297,STARTER,2
2024,747043,694297,STARTER,5
2024,747043,663531,BULLPEN,7
2024,747041,669194,STARTER,2
2024,747041,669194,STARTER,3
2024,747041,669194,STARTER,5
2024,747041,656464,BULLPEN,8
2024,747041,686826,BULLPEN,11
2024,747042,668678,STARTER,5
2024,747042,668678,STARTER,6
2024,747040,621244,STARTER,4
2024,747040,621244,STARTER,6
2024,747038,579328,STARTER,1
2024,747038,605447,BULLPEN,9
2024,747038,605447,BULLPEN,9
2024,747037,682243,STARTER,1
2024,747037,682243,STARTER,1
2024,747037,682243,STARTER,1
2024,747037,682243,STARTER,1
2024,747037,682243,STARTER,1
2024,747037,675989,BULLPEN,7
2024,747037,669912,BULLPEN,7
2024,747037,669912,BULLPEN,7
2024,747037,669912,BULLPEN,7
2024,747036,622491,STARTER,2
2024,747036,622491,STARTER,3
2024,747036,662253,BULLPEN,9
2024,747035,669923,STARTER,1
2024,747035,669923,STARTER,1
2024,747035,669923,STARTER,2
2024,747035,669923,STARTER,3
2024,747035,669923,STARTER,3
2024,747035,675989,BULLPEN,8
2024,745181,543243,STARTER,6
2024,745181,543243,STARTER,6
2024,745181,543243,STARTER,6
2024,745180,458681,STARTER,5
2024,745173,502043,STARTER,3
2024,745173,502043,STARTER,3
2024,745173,502043,STARTER,3
2024,745173,681676,BULLPEN,9
2024,746792,605182,STARTER,3
2024,746792,605182,STARTER,4
2024,746792,605182,STARTER,4
2024,746792,605182,STARTER,4
2024,746792,605182,STARTER,4
2024,746792,694363,BULLPEN,6
2024,746792,694363,BULLPEN,6
2024,746792,694363,BULLPEN,6
2024,746793,623167,STARTER,3
2024,746793,623167,STARTER,5
2024,746793,623167,STARTER,5
2024,746793,623167,STARTER,5
2024,746793,605154,BULLPEN,8
2024,746793,605154,BULLPEN,8
2024,746794,673929,BULLPEN,8
2024,746794,673929,BULLPEN,8
2024,746794,656629,BULLPEN,8
2024,746794,656629,BULLPEN,8
2024,746794,656629,BULLPEN,8
2024,746789,676979,STARTER,6
2024,746789,676979,STARTER,6
2024,746789,647336,BULLPEN,8
2024,746789,647336,BULLPEN,9
2024,747034,681867,STARTER,2
2024,747034,681867,STARTER,3
2024,747034,681867,STARTER,4
2024,747034,681867,STARTER,4
2024,747034,681867,STARTER,4
2024,747034,681867,STARTER,4
2024,747034,681867,STARTER,4
2024,747034,641745,BULLPEN,7
2024,747034,641745,BULLPEN,7
2024,747034,641745,BULLPEN,7
2024,747034,641745,BULLPEN,7
2024,747033,678394,STARTER,1
2024,747033,678394,STARTER,1
2024,747033,678394,STARTER,1
2024,747031,676710,STARTER,2
2024,747031,676710,STARTER,2
2024,747031,676710,STARTER,2
2024,747031,676710,STARTER,2
2024,747031,676710,STARTER,2
2024,747031,502624,BULLPEN,7
2024,747032,650644,STARTER,6
2024,747032,663992,BULLPEN,6
2024,747032,663992,BULLPEN,6
2024,747029,671737,STARTER,1
2024,747029,671737,STARTER,1
2024,747029,671737,STARTER,1
2024,747029,671737,STARTER,2
2024,747029,671737,STARTER,3
2024,747029,671737,STARTER,3
2024,747029,671737,STARTER,3
2024,747029,671737,STARTER,4
2024,747029,671737,STARTER,4
2024,747030,641793,STARTER,1
2024,747030,641793,STARTER,3
2024,747030,641793,STARTER,4
2024,744930,592332,STARTER,2
2024,744930,592332,STARTER,2
2024,744930,592332,STARTER,4
2024,744930,592332,STARTER,4
2024,744930,592332,STARTER,4
2024,744930,592332,STARTER,7
2024,744930,621114,BULLPEN,9
2024,744931,650893,BULLPEN,3
2024,744931,670102,BULLPEN,3
2024,744931,650893,BULLPEN,3
2024,744931,650893,BULLPEN,3
2024,744931,670102,BULLPEN,5
2024,744931,670102,BULLPEN,5
2024,744931,670102,BULLPEN,5
2024,744931,647315,BULLPEN,7
2024,744931,663878,BULLPEN,8
2024,744931,663878,BULLPEN,8
2024,744927,621244,STARTER,2
2024,744927,621244,STARTER,2
2024,744923,579328,STARTER,6
2024,744923,647315,BULLPEN,8
2024,744923,647315,BULLPEN,8
2024,744923,554340,BULLPEN,9
2024,744923,554340,BULLPEN,9
2024,745083,650644,STARTER,2
2024,745083,650644,STARTER,2
2024,745083,650644,STARTER,5
2024,745083,650644,STARTER,5
2024,745083,606965,BULLPEN,8
2024,745083,606965,BULLPEN,8
2024,745082,671737,STARTER,4
2024,745082,592094,BULLPEN,8
2024,745082,664208,BULLPEN,9
2024,745082,664208,BULLPEN,9
2024,745082,664208,BULLPEN,9
2024,745085,641793,STARTER,3
2024,745085,641793,STARTER,4
2024,745085,641793,STARTER,6
2024,745085,664076,BULLPEN,7
2024,745085,664076,BULLPEN,7
2024,745085,664208,BULLPEN,8
2024,745085,664208,BULLPEN,8
2024,745085,664208,BULLPEN,8
2024,745085,664208,BULLPEN,8
2024,745080,686752,STARTER,1
2024,745080,686752,STARTER,3
2024,745080,686752,STARTER,5
2024,745080,686752,STARTER,5
2024,745080,687330,BULLPEN,7
2024,747027,608331,STARTER,2
2024,747027,608331,STARTER,2
2024,747027,608331,STARTER,2
2024,747027,608331,STARTER,6
2024,747028,680885,STARTER,3
2024,747028,680885,STARTER,3
2024,747028,641729,BULLPEN,8
2024,747028,641729,BULLPEN,8
2024,747026,572955,BULLPEN,7
2024,747026,572955,BULLPEN,7
2024,747026,572955,BULLPEN,7
2024,747025,624133,STARTER,3
2024,747025,621381,BULLPEN,8
2024,747025,689147,BULLPEN,10
2024,747024,592836,STARTER,3
2024,747024,592836,STARTER,4
2024,747024,592836,STARTER,6
2024,747024,614179,BULLPEN,8
2024,747024,614179,BULLPEN,8
2024,747024,614179,BULLPEN,8
2024,747023,554430,STARTER,1
2024,747023,554430,STARTER,2
2024,747023,554430,STARTER,2
2024,747023,554430,STARTER,3
2024,747023,554430,STARTER,5
2024,747023,554430,STARTER,5
2024,747023,554430,STARTER,5
2024,747023,554430,STARTER,5
2024,745733,605280,BULLPEN,9
2024,745733,605280,BULLPEN,9
2024,745732,543037,STARTER,1
2024,745732,676760,BULLPEN,5
2024,745732,543037,STARTER,5
2024,745732,676760,BULLPEN,5
2024,745732,624647,BULLPEN,7
2024,745732,605280,BULLPEN,10
2024,745732,605280,BULLPEN,10
2024,745734,661563,STARTER,1
2024,745734,661563,STARTER,2
2024,745734,661563,STARTER,2
2024,745734,661563,STARTER,2
2024,745734,661563,STARTER,2
2024,745734,661563,STARTER,2
2024,745734,661563,STARTER,2
2024,745734,543859,BULLPEN,3
2024,745734,657612,BULLPEN,5
2024,745734,657612,BULLPEN,5
2024,745734,657612,BULLPEN,5
2024,745734,676760,BULLPEN,6
2024,745734,624647,BULLPEN,7
2024,745734,624647,BULLPEN,7
2024,745734,657571,BULLPEN,8
2024,745734,657571,BULLPEN,8
2024,745734,624431,BULLPEN,9
2024,746375,814005,STARTER,3
2024,746375,814005,STARTER,3
2024,746375,681869,BULLPEN,5
2024,746375,663321,BULLPEN,7
2024,746375,663321,BULLPEN,8
2024,746375,663321,BULLPEN,8
2024,746375,663321,BULLPEN,8
2024,746375,663321,BULLPEN,8
2024,746375,606160,BULLPEN,8
2024,746375,606160,BULLPEN,8
