PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,34,174,43,56,75,85,89,314,20,1330,55,111,12,327,74,445,100,5.117647058823529,2.5,2.6176470588235294,6.369426751592357,22.629969418960243,22.471910112359552
2024,DEBIL,HOME,27,157,65,63,29,90,67,233,19,1041,39,101,5,288,65,340,74,5.814814814814815,3.3333333333333335,2.4814814814814814,8.15450643776824,22.569444444444443,21.764705882352942
2024,FUERTE,AWAY,29,147,46,40,61,72,75,262,17,1149,39,80,2,299,77,378,91,5.068965517241379,2.4827586206896552,2.586206896551724,6.488549618320611,25.752508361204015,24.074074074074073
2024,FUERTE,HOME,38,148,61,43,44,93,55,327,17,1373,48,102,3,302,55,431,81,3.8947368421052633,2.4473684210526314,1.4473684210526316,5.198776758409786,18.211920529801326,18.79350348027842
2024,MEDIO,AWAY,18,90,30,29,31,57,33,162,14,694,29,60,4,152,31,237,47,5.0,3.1666666666666665,1.8333333333333333,8.641975308641975,20.394736842105264,19.831223628691983
2024,MEDIO,HOME,16,70,30,24,16,53,17,139,8,594,25,35,1,122,24,198,44,4.375,3.3125,1.0625,5.755395683453237,19.672131147540984,22.22222222222222
2025,DEBIL,AWAY,18,58,21,29,8,43,15,162,3,674,13,63,4,175,25,215,39,3.2222222222222223,2.388888888888889,0.8333333333333334,1.8518518518518519,14.285714285714286,18.13953488372093
2025,DEBIL,HOME,24,105,46,31,28,73,32,205,12,874,31,60,9,219,50,271,52,4.375,3.0416666666666665,1.3333333333333333,5.853658536585366,22.831050228310502,19.18819188191882
2025,FUERTE,AWAY,31,133,38,38,57,66,67,289,16,1204,28,94,4,285,66,389,79,4.290322580645161,2.129032258064516,2.161290322580645,5.536332179930795,23.157894736842106,20.308483290488432
2025,FUERTE,HOME,23,85,32,21,32,52,33,204,10,833,27,68,3,189,40,261,49,3.6956521739130435,2.260869565217391,1.434782608695652,4.901960784313726,21.164021164021165,18.773946360153257
2025,MEDIO,AWAY,32,124,52,37,35,73,51,289,15,1192,44,94,4,258,51,382,79,3.875,2.28125,1.59375,5.190311418685121,19.767441860465116,20.680628272251308
2025,MEDIO,HOME,34,172,49,58,65,81,91,294,23,1257,48,105,12,306,57,417,91,5.0588235294117645,2.3823529411764706,2.676470588235294,7.8231292517006805,18.627450980392158,21.822541966426858
2026_CUTOFF,DEBIL,AWAY,18,78,24,27,27,47,31,168,8,697,19,75,0,176,41,215,31,4.333333333333333,2.611111111111111,1.7222222222222223,4.761904761904762,23.295454545454547,14.418604651162791
2026_CUTOFF,DEBIL,HOME,18,82,16,36,30,39,43,152,6,665,20,80,3,152,37,236,54,4.555555555555555,2.1666666666666665,2.388888888888889,3.9473684210526314,24.342105263157894,22.88135593220339
2026_CUTOFF,FUERTE,AWAY,24,89,25,35,29,56,33,216,7,899,24,80,5,208,36,292,50,3.7083333333333335,2.3333333333333335,1.375,3.240740740740741,17.307692307692307,17.123287671232877
2026_CUTOFF,FUERTE,HOME,19,98,32,34,32,54,44,167,13,722,26,66,4,195,41,212,35,5.157894736842105,2.8421052631578947,2.3157894736842106,7.7844311377245505,21.025641025641026,16.50943396226415
2026_CUTOFF,MEDIO,AWAY,6,40,11,16,13,24,16,54,6,236,8,23,1,62,19,76,18,6.666666666666667,4.0,2.6666666666666665,11.11111111111111,30.64516129032258,23.68421052631579
2026_CUTOFF,MEDIO,HOME,16,77,29,26,22,41,36,140,7,611,23,66,1,151,24,210,56,4.8125,2.5625,2.25,5.0,15.894039735099337,26.666666666666668
