TEAM_ID,TEAM,ABBR,G,RA,RA_G,RANK,OPP_STRENGTH
158,Milwaukee Brewers,MIL,97,356,3.670103092783505,1,FUERTE
119,Los Angeles Dodgers,LAD,100,370,3.7,2,FUERTE
111,Boston Red Sox,BOS,98,373,3.806122448979592,3,FUERTE
147,New York Yankees,NYY,99,379,3.8282828282828283,4,FUERTE
136,Seattle Mariners,SEA,101,389,3.8514851485148514,5,FUERTE
144,Atlanta Braves,ATL,99,383,3.8686868686868685,6,FUERTE
116,Detroit Tigers,DET,99,392,3.95959595959596,7,FUERTE
114,Cleveland Guardians,CLE,99,396,4.0,8,FUERTE
139,Tampa Bay Rays,TB,98,412,4.204081632653061,9,FUERTE
145,Chicago White Sox,CWS,98,423,4.316326530612245,10,FUERTE
146,Miami Marlins,MIA,101,436,4.316831683168317,11,MEDIO
135,San Diego Padres,SD,100,440,4.4,12,MEDIO
143,Philadelphia Phillies,PHI,100,447,4.47,13,MEDIO
112,Chicago Cubs,CHC,98,439,4.479591836734694,14,MEDIO
141,Toronto Blue Jays,TOR,99,444,4.484848484848484,15,MEDIO
109,Arizona Diamondbacks,ARI,100,449,4.49,16,MEDIO
138,St. Louis Cardinals,STL,97,438,4.515463917525773,17,MEDIO
140,Texas Rangers,TEX,100,453,4.53,18,MEDIO
110,Baltimore Orioles,BAL,99,463,4.6767676767676765,19,MEDIO
121,New York Mets,NYM,98,460,4.6938775510204085,20,MEDIO
137,San Francisco Giants,SF,99,467,4.717171717171717,21,DEBIL
113,Cincinnati Reds,CIN,98,473,4.826530612244898,22,DEBIL
134,Pittsburgh Pirates,PIT,99,480,4.848484848484849,23,DEBIL
108,Los Angeles Angels,LAA,101,498,4.930693069306931,24,DEBIL
117,Houston Astros,HOU,101,508,5.02970297029703,25,DEBIL
142,Minnesota Twins,MIN,101,516,5.108910891089109,26,DEBIL
118,Kansas City Royals,KC,100,526,5.26,27,DEBIL
120,Washington Nationals,WSH,101,533,5.2772277227722775,28,DEBIL
133,Athletics,ATH,100,559,5.59,29,DEBIL
115,Colorado Rockies,COL,100,579,5.79,30,DEBIL
