BATTER_ID,BATTER,EVENT,PA_SAMPLE,EVENTS,RATE_PER_PA,PA_SINCE_LAST,INTERVAL_MIN,INTERVAL_MAX,INTERVAL_MEAN,INTERVAL_MEDIAN,CONCENTRATION_GAMES,NOTE
678011,Anthony Seigler,HIT,36,6,0.16666666666666666,0,1.0,14.0,6.6,3.0,4,Intervalo descriptivo; no implica deuda estadística.
678011,Anthony Seigler,XBH,36,2,0.05555555555555555,18,14.0,14.0,14.0,14.0,2,Intervalo descriptivo; no implica deuda estadística.
678011,Anthony Seigler,HR,36,1,0.027777777777777776,32,,,,,1,Intervalo descriptivo; no implica deuda estadística.
678011,Anthony Seigler,BB,36,1,0.027777777777777776,17,,,,,1,Intervalo descriptivo; no implica deuda estadística.
678011,Anthony Seigler,K,36,6,0.16666666666666666,2,1.0,19.0,6.4,4.0,4,Intervalo descriptivo; no implica deuda estadística.
678011,Anthony Seigler,HARD_HIT,36,10,0.2777777777777778,3,1.0,11.0,3.3333333333333335,2.0,6,Intervalo descriptivo; no implica deuda estadística.
678011,Anthony Seigler,BARREL,36,2,0.05555555555555555,18,14.0,14.0,14.0,14.0,2,Intervalo descriptivo; no implica deuda estadística.
678011,Anthony Seigler,ON_BASE,36,7,0.19444444444444445,0,1.0,14.0,5.5,1.5,4,Intervalo descriptivo; no implica deuda estadística.
678882,Ceddanne Rafaela,HIT,44,11,0.25,1,1.0,7.0,3.9,4.0,9,Intervalo descriptivo; no implica deuda estadística.
678882,Ceddanne Rafaela,XBH,44,5,0.11363636363636363,1,5.0,15.0,8.75,7.5,5,Intervalo descriptivo; no implica deuda estadística.
678882,Ceddanne Rafaela,HR,44,1,0.022727272727272728,1,,,,,1,Intervalo descriptivo; no implica deuda estadística.
678882,Ceddanne Rafaela,BB,44,1,0.022727272727272728,39,,,,,1,Intervalo descriptivo; no implica deuda estadística.
678882,Ceddanne Rafaela,K,44,8,0.18181818181818182,9,1.0,13.0,4.142857142857143,2.0,5,Intervalo descriptivo; no implica deuda estadística.
678882,Ceddanne Rafaela,HARD_HIT,44,11,0.25,1,1.0,6.0,3.3,3.0,8,Intervalo descriptivo; no implica deuda estadística.
678882,Ceddanne Rafaela,BARREL,44,1,0.022727272727272728,21,,,,,1,Intervalo descriptivo; no implica deuda estadística.
678882,Ceddanne Rafaela,ON_BASE,44,12,0.2727272727272727,1,1.0,7.0,3.5454545454545454,3.0,9,Intervalo descriptivo; no implica deuda estadística.
677800,Wilyer Abreu,HIT,42,9,0.21428571428571427,10,1.0,9.0,3.75,2.0,5,Intervalo descriptivo; no implica deuda estadística.
677800,Wilyer Abreu,XBH,42,7,0.16666666666666666,10,1.0,9.0,4.833333333333333,4.0,4,Intervalo descriptivo; no implica deuda estadística.
677800,Wilyer Abreu,HR,42,5,0.11904761904761904,16,1.0,9.0,5.25,5.5,3,Intervalo descriptivo; no implica deuda estadística.
677800,Wilyer Abreu,BB,42,4,0.09523809523809523,19,2.0,13.0,7.333333333333333,7.0,4,Intervalo descriptivo; no implica deuda estadística.
677800,Wilyer Abreu,K,42,7,0.16666666666666666,6,1.0,12.0,5.333333333333333,3.0,5,Intervalo descriptivo; no implica deuda estadística.
677800,Wilyer Abreu,HARD_HIT,42,17,0.40476190476190477,0,1.0,6.0,2.5,2.0,10,Intervalo descriptivo; no implica deuda estadística.
677800,Wilyer Abreu,BARREL,42,8,0.19047619047619047,16,1.0,9.0,3.2857142857142856,2.0,5,Intervalo descriptivo; no implica deuda estadística.
677800,Wilyer Abreu,ON_BASE,42,14,0.3333333333333333,10,1.0,6.0,2.3846153846153846,2.0,7,Intervalo descriptivo; no implica deuda estadística.
575929,Willson Contreras,HIT,24,8,0.3333333333333333,0,1.0,10.0,3.2857142857142856,3.0,5,Intervalo descriptivo; no implica deuda estadística.
575929,Willson Contreras,XBH,24,4,0.16666666666666666,6,3.0,10.0,5.666666666666667,4.0,4,Intervalo descriptivo; no implica deuda estadística.
575929,Willson Contreras,HR,24,2,0.08333333333333333,13,10.0,10.0,10.0,10.0,2,Intervalo descriptivo; no implica deuda estadística.
575929,Willson Contreras,BB,24,2,0.08333333333333333,14,2.0,2.0,2.0,2.0,2,Intervalo descriptivo; no implica deuda estadística.
575929,Willson Contreras,K,24,5,0.20833333333333334,2,1.0,12.0,5.0,3.5,3,Intervalo descriptivo; no implica deuda estadística.
575929,Willson Contreras,HARD_HIT,24,7,0.2916666666666667,0,2.0,6.0,3.8333333333333335,3.5,6,Intervalo descriptivo; no implica deuda estadística.
575929,Willson Contreras,BARREL,24,3,0.125,6,7.0,10.0,8.5,8.5,3,Intervalo descriptivo; no implica deuda estadística.
575929,Willson Contreras,ON_BASE,24,13,0.5416666666666666,0,1.0,6.0,1.9166666666666667,1.0,6,Intervalo descriptivo; no implica deuda estadística.
807799,Masataka Yoshida,HIT,31,9,0.2903225806451613,3,1.0,5.0,3.375,3.5,6,Intervalo descriptivo; no implica deuda estadística.
807799,Masataka Yoshida,XBH,31,5,0.16129032258064516,16,1.0,5.0,3.5,4.0,3,Intervalo descriptivo; no implica deuda estadística.
807799,Masataka Yoshida,HR,31,2,0.06451612903225806,16,6.0,6.0,6.0,6.0,2,Intervalo descriptivo; no implica deuda estadística.
807799,Masataka Yoshida,BB,31,3,0.0967741935483871,2,1.0,23.0,12.0,12.0,3,Intervalo descriptivo; no implica deuda estadística.
807799,Masataka Yoshida,K,31,2,0.06451612903225806,8,6.0,6.0,6.0,6.0,2,Intervalo descriptivo; no implica deuda estadística.
807799,Masataka Yoshida,HARD_HIT,31,12,0.3870967741935484,6,1.0,4.0,2.0,1.0,7,Intervalo descriptivo; no implica deuda estadística.
807799,Masataka Yoshida,BARREL,31,2,0.06451612903225806,18,4.0,4.0,4.0,4.0,2,Intervalo descriptivo; no implica deuda estadística.
807799,Masataka Yoshida,ON_BASE,31,12,0.3870967741935484,2,1.0,5.0,2.5454545454545454,3.0,6,Intervalo descriptivo; no implica deuda estadística.
702332,Caleb Durbin,HIT,42,12,0.2857142857142857,2,1.0,7.0,3.1818181818181817,3.0,7,Intervalo descriptivo; no implica deuda estadística.
702332,Caleb Durbin,XBH,42,1,0.023809523809523808,8,,,,,1,Intervalo descriptivo; no implica deuda estadística.
702332,Caleb Durbin,HR,42,1,0.023809523809523808,8,,,,,1,Intervalo descriptivo; no implica deuda estadística.
702332,Caleb Durbin,BB,42,3,0.07142857142857142,7,6.0,22.0,14.0,14.0,3,Intervalo descriptivo; no implica deuda estadística.
702332,Caleb Durbin,K,42,4,0.09523809523809523,18,1.0,11.0,5.333333333333333,4.0,3,Intervalo descriptivo; no implica deuda estadística.
702332,Caleb Durbin,HARD_HIT,42,8,0.19047619047619047,8,1.0,8.0,4.428571428571429,4.0,6,Intervalo descriptivo; no implica deuda estadística.
702332,Caleb Durbin,BARREL,42,0,0.0,42,,,,,0,Intervalo descriptivo; no implica deuda estadística.
702332,Caleb Durbin,ON_BASE,42,16,0.38095238095238093,2,1.0,7.0,2.3333333333333335,1.0,9,Intervalo descriptivo; no implica deuda estadística.
680776,Jarren Duran,HIT,41,4,0.0975609756097561,3,7.0,10.0,8.333333333333334,8.0,4,Intervalo descriptivo; no implica deuda estadística.
680776,Jarren Duran,XBH,41,1,0.024390243902439025,3,,,,,1,Intervalo descriptivo; no implica deuda estadística.
680776,Jarren Duran,HR,41,0,0.0,41,,,,,0,Intervalo descriptivo; no implica deuda estadística.
680776,Jarren Duran,BB,41,2,0.04878048780487805,15,21.0,21.0,21.0,21.0,2,Intervalo descriptivo; no implica deuda estadística.
680776,Jarren Duran,K,41,8,0.1951219512195122,0,3.0,8.0,5.571428571428571,5.0,8,Intervalo descriptivo; no implica deuda estadística.
680776,Jarren Duran,HARD_HIT,41,13,0.3170731707317073,2,1.0,15.0,3.1666666666666665,2.0,7,Intervalo descriptivo; no implica deuda estadística.
680776,Jarren Duran,BARREL,41,2,0.04878048780487805,22,18.0,18.0,18.0,18.0,2,Intervalo descriptivo; no implica deuda estadística.
