BATTER_ID,BATTER,DATE,GAME_PK,PA,EVENTS
678882,Ceddanne Rafaela,2026-06-18,824748,3,double|sac_bunt|field_out
677800,Wilyer Abreu,2026-04-28,822823,2,strikeout|field_out
677800,Wilyer Abreu,2026-06-18,824748,3,field_out|field_out|strikeout
575929,Willson Contreras,2026-04-28,822823,3,strikeout|field_out|double
575929,Willson Contreras,2026-06-18,824748,3,field_out|strikeout|field_out
807799,Masataka Yoshida,2026-04-28,822823,2,single|field_out
702332,Caleb Durbin,2026-04-28,822823,2,field_out|field_out
702332,Caleb Durbin,2026-06-18,824748,3,home_run|field_out|field_out
680776,Jarren Duran,2026-04-28,822823,3,field_out|field_out|field_out
680776,Jarren Duran,2026-06-18,824748,3,field_out|field_out|strikeout
655316,Andruw Monasterio,2026-06-18,824748,2,field_out|strikeout
657136,Connor Wong,2026-06-18,824748,3,field_out|strikeout|strikeout
