GAME_DATE,GAME_PK,BATTER_ID,BATTER,STATUS,ORDER,POSITION,OPP_STARTER_HAND,REST_REASON,SOURCE,CUTOFF
2026-07-10,823604,655316,Andruw Monasterio,NOT_START,,BENCH_OR_ABSENT,R,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-10,823604,678011,Anthony Seigler,STARTER,1.0,2B,R,STARTED,MLB feed/live,2026-07-23
2026-07-10,823604,702332,Caleb Durbin,STARTER,6.0,3B,R,STARTED,MLB feed/live,2026-07-23
2026-07-10,823604,665966,Carlos Narváez,NOT_START,,BENCH_OR_ABSENT,R,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-10,823604,678882,Ceddanne Rafaela,STARTER,2.0,CF,R,STARTED,MLB feed/live,2026-07-23
2026-07-10,823604,657136,Connor Wong,STARTER,8.0,C,R,STARTED,MLB feed/live,2026-07-23
2026-07-10,823604,663330,Jahmai Jones,NOT_START,,BENCH_OR_ABSENT,R,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-10,823604,680776,Jarren Duran,STARTER,7.0,LF,R,STARTED,MLB feed/live,2026-07-23
2026-07-10,823604,807799,Masataka Yoshida,STARTER,5.0,DH,R,STARTED,MLB feed/live,2026-07-23
2026-07-10,823604,663853,Romy Gonzalez,STARTER,4.0,1B,R,STARTED,MLB feed/live,2026-07-23
2026-07-10,823604,691907,Tsung-Che Cheng,STARTER,9.0,SS,R,STARTED,MLB feed/live,2026-07-23
2026-07-10,823604,575929,Willson Contreras,NOT_START,,BENCH_OR_ABSENT,R,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-10,823604,677800,Wilyer Abreu,STARTER,3.0,RF,R,STARTED,MLB feed/live,2026-07-23
2026-07-11,823603,655316,Andruw Monasterio,STARTER,6.0,SS,R,STARTED,MLB feed/live,2026-07-23
2026-07-11,823603,678011,Anthony Seigler,STARTER,1.0,2B,R,STARTED,MLB feed/live,2026-07-23
2026-07-11,823603,702332,Caleb Durbin,STARTER,4.0,3B,R,STARTED,MLB feed/live,2026-07-23
2026-07-11,823603,665966,Carlos Narváez,STARTER,8.0,C,R,STARTED,MLB feed/live,2026-07-23
2026-07-11,823603,678882,Ceddanne Rafaela,STARTER,2.0,CF,R,STARTED,MLB feed/live,2026-07-23
2026-07-11,823603,657136,Connor Wong,NOT_START,,BENCH_OR_ABSENT,R,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-11,823603,663330,Jahmai Jones,NOT_START,,BENCH_OR_ABSENT,R,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-11,823603,680776,Jarren Duran,STARTER,7.0,LF,R,STARTED,MLB feed/live,2026-07-23
2026-07-11,823603,807799,Masataka Yoshida,STARTER,5.0,DH,R,STARTED,MLB feed/live,2026-07-23
2026-07-11,823603,663853,Romy Gonzalez,SUB_USED,,BENCH_OR_ABSENT,R,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-11,823603,691907,Tsung-Che Cheng,STARTER,9.0,SS,R,STARTED,MLB feed/live,2026-07-23
2026-07-11,823603,575929,Willson Contreras,NOT_START,,BENCH_OR_ABSENT,R,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-11,823603,677800,Wilyer Abreu,STARTER,3.0,RF,R,STARTED,MLB feed/live,2026-07-23
2026-07-12,823602,655316,Andruw Monasterio,STARTER,6.0,1B,L,STARTED,MLB feed/live,2026-07-23
2026-07-12,823602,678011,Anthony Seigler,STARTER,1.0,2B,L,STARTED,MLB feed/live,2026-07-23
2026-07-12,823602,702332,Caleb Durbin,STARTER,5.0,3B,L,STARTED,MLB feed/live,2026-07-23
