BATTER_ID,BATTER,HAND,PRIMARY_POSITION,ROLE_CURRENT,HEALTH_REFERENCE,SUBSTITUTION_RISK,SUBSTITUTE_OR_FUNCTION,OFFENSIVE_FUNCTION,SOURCE,PRESS_SIGNAL,PRESS_MATERIALITY,CUTOFF,VIGENCY
678011,Anthony Seigler,L,2B,STARTER 1,Active roster as of 2026-07-24,LOW,See official bench/position overlap,Starter order/bench function documented; detailed process in B7/B10/B21.,MLB dated roster + official lineup + B7/B10/B21,No material team transaction found 2026-07-01..07-24,NO_MATERIAL_TRANSACTION_IDENTIFIED,2026-07-24 pregame,PREGAME_SNAPSHOT
678882,Ceddanne Rafaela,R,CF,STARTER 2,Active roster as of 2026-07-24,LOW,See official bench/position overlap,Starter order/bench function documented; detailed process in B7/B10/B21.,MLB dated roster + official lineup + B7/B10/B21,No material team transaction found 2026-07-01..07-24,NO_MATERIAL_TRANSACTION_IDENTIFIED,2026-07-24 pregame,PREGAME_SNAPSHOT
677800,Wilyer Abreu,L,RF,STARTER 3,Active roster as of 2026-07-24,LOW,See official bench/position overlap,Starter order/bench function documented; detailed process in B7/B10/B21.,MLB dated roster + official lineup + B7/B10/B21,No material team transaction found 2026-07-01..07-24,NO_MATERIAL_TRANSACTION_IDENTIFIED,2026-07-24 pregame,PREGAME_SNAPSHOT
575929,Willson Contreras,R,1B,STARTER 4,Active roster as of 2026-07-24,LOW,See official bench/position overlap,Starter order/bench function documented; detailed process in B7/B10/B21.,MLB dated roster + official lineup + B7/B10/B21,2026-07-09 Suspension: 1B Willson Contreras suspended. | 2026-07-17 Status Change: Boston Red Sox activated 1B Willson Contreras.,MATERIAL,2026-07-24 pregame,PREGAME_SNAPSHOT
807799,Masataka Yoshida,L,DH,STARTER 5,Active roster as of 2026-07-24,MEDIUM,See official bench/position overlap,Starter order/bench function documented; detailed process in B7/B10/B21.,MLB dated roster + official lineup + B7/B10/B21,No material team transaction found 2026-07-01..07-24,NO_MATERIAL_TRANSACTION_IDENTIFIED,2026-07-24 pregame,PREGAME_SNAPSHOT
702332,Caleb Durbin,R,3B,STARTER 6,Active roster as of 2026-07-24,MEDIUM,See official bench/position overlap,Starter order/bench function documented; detailed process in B7/B10/B21.,MLB dated roster + official lineup + B7/B10/B21,No material team transaction found 2026-07-01..07-24,NO_MATERIAL_TRANSACTION_IDENTIFIED,2026-07-24 pregame,PREGAME_SNAPSHOT
680776,Jarren Duran,L,LF,STARTER 7,Active roster as of 2026-07-24,MEDIUM,See official bench/position overlap,Starter order/bench function documented; detailed process in B7/B10/B21.,MLB dated roster + official lineup + B7/B10/B21,No material team transaction found 2026-07-01..07-24,NO_MATERIAL_TRANSACTION_IDENTIFIED,2026-07-24 pregame,PREGAME_SNAPSHOT
655316,Andruw Monasterio,R,SS,STARTER 8,Active roster as of 2026-07-24,MEDIUM,See official bench/position overlap,Starter order/bench function documented; detailed process in B7/B10/B21.,MLB dated roster + official lineup + B7/B10/B21,No material team transaction found 2026-07-01..07-24,NO_MATERIAL_TRANSACTION_IDENTIFIED,2026-07-24 pregame,PREGAME_SNAPSHOT
657136,Connor Wong,R,C,STARTER 9,Active roster as of 2026-07-24,MEDIUM,See official bench/position overlap,Starter order/bench function documented; detailed process in B7/B10/B21.,MLB dated roster + official lineup + B7/B10/B21,No material team transaction found 2026-07-01..07-24,NO_MATERIAL_TRANSACTION_IDENTIFIED,2026-07-24 pregame,PREGAME_SNAPSHOT
665966,Carlos Narváez,R,C,C2/bench catcher,Active roster as of 2026-07-24,MEDIUM,C2/bench catcher,Starter order/bench function documented; detailed process in B7/B10/B21.,MLB dated roster + official lineup + B7/B10/B21,No material team transaction found 2026-07-01..07-24,NO_MATERIAL_TRANSACTION_IDENTIFIED,2026-07-24 pregame,PREGAME_SNAPSHOT
691907,Tsung-Che Cheng,L,SS,IF bench/defense/pinch-run,Active roster as of 2026-07-24,MEDIUM,IF bench/defense/pinch-run,Starter order/bench function documented; detailed process in B7/B10/B21.,MLB dated roster + official lineup + B7/B10/B21,No material team transaction found 2026-07-01..07-24,NO_MATERIAL_TRANSACTION_IDENTIFIED,2026-07-24 pregame,PREGAME_SNAPSHOT
663853,Romy Gonzalez,R,DH,IF/OF bench/PH vs LHP/defense,Active roster as of 2026-07-24,MEDIUM,IF/OF bench/PH vs LHP/defense,Starter order/bench function documented; detailed process in B7/B10/B21.,MLB dated roster + official lineup + B7/B10/B21,No material team transaction found 2026-07-01..07-24,NO_MATERIAL_TRANSACTION_IDENTIFIED,2026-07-24 pregame,PREGAME_SNAPSHOT
663330,Jahmai Jones,R,DH,OF/IF bench/PH/pinch-run,Active roster as of 2026-07-24,MEDIUM,OF/IF bench/PH/pinch-run,Starter order/bench function documented; detailed process in B7/B10/B21.,MLB dated roster + official lineup + B7/B10/B21,2026-07-14 Status Change: OF Jahmai Jones roster status changed by Boston Red Sox. | 2026-07-14 Trade: Detroit Tigers traded OF Jahmai Jones to Boston Red Sox for Player To Be Named Later. | 2026-07-17 Status Change: Boston Red Sox activated OF Jahmai Jones. | 2026-07-17 Status Change: Boston Red Sox activated OF Jahmai Jones.,MATERIAL,2026-07-24 pregame,PREGAME_SNAPSHOT
