BATTER_ID,BATTER,FACT,OWNER,SOURCE,PUBLICATION_OR_EVENT_TIME,CONSULT_TIME,TIMEZONE,EPISTEMIC,VIGENCY,MATERIALITY,AVAILABILITY,ROLE_DECISION,MANAGER_DECLARATION,CONTRADICTION,IMPACT
678011,Anthony Seigler,No material team transaction found 2026-07-01..07-24,Roster/Availability + manager lineup,MLB dated roster + MLB transactions + official lineup feed,As recorded by MLB transaction/date feed,V15 reconstruction,America/New_York,CONFIRMED,PREGAME_SNAPSHOT,NO_MATERIAL_TRANSACTION_IDENTIFIED,Active roster as of 2026-07-24,STARTER 1,No separate public declaration required/identified; lineup decision itself is official.,NONE,Role/availability only; no pick.
678882,Ceddanne Rafaela,No material team transaction found 2026-07-01..07-24,Roster/Availability + manager lineup,MLB dated roster + MLB transactions + official lineup feed,As recorded by MLB transaction/date feed,V15 reconstruction,America/New_York,CONFIRMED,PREGAME_SNAPSHOT,NO_MATERIAL_TRANSACTION_IDENTIFIED,Active roster as of 2026-07-24,STARTER 2,No separate public declaration required/identified; lineup decision itself is official.,NONE,Role/availability only; no pick.
677800,Wilyer Abreu,No material team transaction found 2026-07-01..07-24,Roster/Availability + manager lineup,MLB dated roster + MLB transactions + official lineup feed,As recorded by MLB transaction/date feed,V15 reconstruction,America/New_York,CONFIRMED,PREGAME_SNAPSHOT,NO_MATERIAL_TRANSACTION_IDENTIFIED,Active roster as of 2026-07-24,STARTER 3,No separate public declaration required/identified; lineup decision itself is official.,NONE,Role/availability only; no pick.
575929,Willson Contreras,2026-07-09 Suspension: 1B Willson Contreras suspended. | 2026-07-17 Status Change: Boston Red Sox activated 1B Willson Contreras.,Roster/Availability + manager lineup,MLB dated roster + MLB transactions + official lineup feed,As recorded by MLB transaction/date feed,V15 reconstruction,America/New_York,CONFIRMED,PREGAME_SNAPSHOT,MATERIAL,Active roster as of 2026-07-24,STARTER 4,No separate public declaration required/identified; lineup decision itself is official.,NONE,Role/availability only; no pick.
807799,Masataka Yoshida,No material team transaction found 2026-07-01..07-24,Roster/Availability + manager lineup,MLB dated roster + MLB transactions + official lineup feed,As recorded by MLB transaction/date feed,V15 reconstruction,America/New_York,CONFIRMED,PREGAME_SNAPSHOT,NO_MATERIAL_TRANSACTION_IDENTIFIED,Active roster as of 2026-07-24,STARTER 5,No separate public declaration required/identified; lineup decision itself is official.,NONE,Role/availability only; no pick.
702332,Caleb Durbin,No material team transaction found 2026-07-01..07-24,Roster/Availability + manager lineup,MLB dated roster + MLB transactions + official lineup feed,As recorded by MLB transaction/date feed,V15 reconstruction,America/New_York,CONFIRMED,PREGAME_SNAPSHOT,NO_MATERIAL_TRANSACTION_IDENTIFIED,Active roster as of 2026-07-24,STARTER 6,No separate public declaration required/identified; lineup decision itself is official.,NONE,Role/availability only; no pick.
680776,Jarren Duran,No material team transaction found 2026-07-01..07-24,Roster/Availability + manager lineup,MLB dated roster + MLB transactions + official lineup feed,As recorded by MLB transaction/date feed,V15 reconstruction,America/New_York,CONFIRMED,PREGAME_SNAPSHOT,NO_MATERIAL_TRANSACTION_IDENTIFIED,Active roster as of 2026-07-24,STARTER 7,No separate public declaration required/identified; lineup decision itself is official.,NONE,Role/availability only; no pick.
655316,Andruw Monasterio,No material team transaction found 2026-07-01..07-24,Roster/Availability + manager lineup,MLB dated roster + MLB transactions + official lineup feed,As recorded by MLB transaction/date feed,V15 reconstruction,America/New_York,CONFIRMED,PREGAME_SNAPSHOT,NO_MATERIAL_TRANSACTION_IDENTIFIED,Active roster as of 2026-07-24,STARTER 8,No separate public declaration required/identified; lineup decision itself is official.,NONE,Role/availability only; no pick.
657136,Connor Wong,No material team transaction found 2026-07-01..07-24,Roster/Availability + manager lineup,MLB dated roster + MLB transactions + official lineup feed,As recorded by MLB transaction/date feed,V15 reconstruction,America/New_York,CONFIRMED,PREGAME_SNAPSHOT,NO_MATERIAL_TRANSACTION_IDENTIFIED,Active roster as of 2026-07-24,STARTER 9,No separate public declaration required/identified; lineup decision itself is official.,NONE,Role/availability only; no pick.
665966,Carlos Narváez,No material team transaction found 2026-07-01..07-24,Roster/Availability + manager lineup,MLB dated roster + MLB transactions + official lineup feed,As recorded by MLB transaction/date feed,V15 reconstruction,America/New_York,CONFIRMED,PREGAME_SNAPSHOT,NO_MATERIAL_TRANSACTION_IDENTIFIED,Active roster as of 2026-07-24,C2/bench catcher,No separate public declaration required/identified; lineup decision itself is official.,NONE,Role/availability only; no pick.
