PERIOD,DATE,GAME_PK,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,GAME_HAS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED_RUNS,CLE_STARTER_ID
2025,2025-03-27,778558,AWAY,118,Kansas City Royals,FUERTE,7,4,0,4,3,3,0,1,10,1,1,3,4,0,594902
2025,2025-03-29,778529,AWAY,118,Kansas City Royals,FUERTE,3,4,2,1,0,0,2,2,9,0,0,3,0,0,668909
2025,2025-03-30,778510,AWAY,118,Kansas City Royals,FUERTE,6,2,1,4,1,0,0,2,9,0,0,1,5,0,676440
2025,2025-03-31,778499,AWAY,135,San Diego Padres,FUERTE,2,7,2,0,0,4,3,0,9,0,0,2,0,0,682847
2025,2025-04-01,778485,AWAY,135,San Diego Padres,FUERTE,0,7,0,0,0,0,4,3,9,0,0,0,0,0,671106
2025,2025-04-02,778476,AWAY,135,San Diego Padres,FUERTE,2,5,0,0,2,4,0,1,9,0,0,1,1,0,594902
2025,2025-04-04,778447,AWAY,108,Los Angeles Angels,DEBIL,8,6,2,4,2,4,0,2,9,0,0,5,3,0,668909
2025,2025-04-05,778437,AWAY,108,Los Angeles Angels,DEBIL,4,10,3,0,1,3,7,0,9,0,0,3,1,0,676440
2025,2025-04-06,778425,AWAY,108,Los Angeles Angels,DEBIL,2,6,1,1,0,2,1,3,9,0,0,2,0,0,682847
2025,2025-04-08,778402,HOME,145,Chicago White Sox,DEBIL,1,0,0,0,1,0,0,0,9,0,0,0,1,0,594902
2025,2025-04-09,778391,HOME,145,Chicago White Sox,DEBIL,3,2,3,0,0,1,0,1,8,0,0,3,0,0,671106
2025,2025-04-10,778378,HOME,145,Chicago White Sox,DEBIL,6,1,4,2,0,1,0,0,8,0,0,6,0,0,668909
2025,2025-04-11,778375,HOME,118,Kansas City Royals,FUERTE,7,0,0,3,4,0,0,0,8,2,1,3,4,0,676440
2025,2025-04-12,778359,HOME,118,Kansas City Royals,FUERTE,6,3,0,3,3,0,1,2,8,1,1,3,3,0,682847
2025,2025-04-13,778342,HOME,118,Kansas City Royals,FUERTE,2,4,2,0,0,0,4,0,9,0,0,2,0,0,594902
2025,2025-04-15,778317,AWAY,110,Baltimore Orioles,DEBIL,6,3,1,5,0,0,0,3,9,1,1,5,1,0,671106
2025,2025-04-16,778301,AWAY,110,Baltimore Orioles,DEBIL,1,9,1,0,0,4,0,5,9,0,0,1,0,0,668909
2025,2025-04-17,778292,AWAY,110,Baltimore Orioles,DEBIL,2,6,2,0,0,4,2,0,9,0,0,2,0,0,676440
2025,2025-04-18,778271,AWAY,134,Pittsburgh Pirates,FUERTE,10,7,2,3,5,2,0,5,9,1,1,5,5,0,682847
2025,2025-04-19,778254,AWAY,134,Pittsburgh Pirates,FUERTE,3,0,1,0,2,0,0,0,9,0,0,2,1,0,594902
2025,2025-04-20,778242,AWAY,134,Pittsburgh Pirates,FUERTE,5,4,2,0,3,0,1,3,10,0,0,2,3,0,671106
