PERIOD,DATE,GAME_PK,STARTER_ID,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2025,2025-03-27,778558,594902,1,1,0,0,0,0,0,0
2025,2025-03-27,778558,594902,1,1,0,0,0,0,1,0
2025,2025-03-27,778558,594902,1,1,0,0,0,0,0,0
2025,2025-03-27,778558,594902,1,1,0,0,0,0,0,0
2025,2025-03-27,778558,594902,1,1,1,0,0,0,0,0
2025,2025-03-27,778558,594902,1,1,0,0,0,0,0,0
2025,2025-03-27,778558,594902,1,1,0,0,0,0,1,0
2025,2025-03-27,778558,594902,1,1,0,0,0,0,0,0
2025,2025-03-27,778558,594902,1,1,1,0,0,0,0,0
2025,2025-03-27,778558,594902,2,1,0,0,0,0,0,0
2025,2025-03-27,778558,594902,2,1,1,0,0,0,0,0
2025,2025-03-27,778558,594902,2,1,1,1,0,0,0,3
2025,2025-03-27,778558,594902,2,1,0,0,0,0,1,0
2025,2025-03-27,778558,594902,2,1,0,0,0,0,0,0
2025,2025-03-27,778558,594902,2,1,0,0,0,0,0,0
2025,2025-03-27,778558,594902,2,1,0,0,0,0,0,0
2025,2025-03-27,778558,594902,2,1,0,0,0,0,0,0
2025,2025-03-27,778558,594902,2,1,0,0,0,0,0,0
2025,2025-03-27,778558,594902,3,1,0,0,0,0,0,0
2025,2025-03-29,778529,668909,1,1,1,0,0,0,0,0
2025,2025-03-29,778529,668909,1,1,0,0,0,0,0,0
2025,2025-03-29,778529,668909,1,1,0,0,0,0,1,0
2025,2025-03-29,778529,668909,1,1,0,0,0,0,0,0
2025,2025-03-29,778529,668909,1,1,0,0,0,0,0,0
2025,2025-03-29,778529,668909,1,1,0,0,0,0,0,0
2025,2025-03-29,778529,668909,1,1,0,0,0,0,0,0
2025,2025-03-29,778529,668909,1,1,0,0,0,0,0,0
2025,2025-03-29,778529,668909,1,1,0,0,0,0,0,0
2025,2025-03-29,778529,668909,2,1,1,0,0,0,0,0
2025,2025-03-29,778529,668909,2,1,0,0,0,0,0,0
2025,2025-03-29,778529,668909,2,1,0,0,0,0,0,0
2025,2025-03-29,778529,668909,2,1,1,0,0,0,0,1
2025,2025-03-29,778529,668909,2,1,0,0,0,0,0,0
2025,2025-03-29,778529,668909,2,1,0,0,0,0,1,0
2025,2025-03-29,778529,668909,2,1,0,0,0,0,0,0
2025,2025-03-29,778529,668909,2,1,0,0,0,0,0,0
2025,2025-03-29,778529,668909,2,1,1,0,0,0,0,0
2025,2025-03-29,778529,668909,3,1,0,0,1,0,0,0
2025,2025-03-30,778510,676440,1,1,0,0,1,0,0,0
2025,2025-03-30,778510,676440,1,1,0,0,0,0,1,0
2025,2025-03-30,778510,676440,1,1,1,0,0,0,0,0
2025,2025-03-30,778510,676440,1,1,0,0,0,0,0,0
2025,2025-03-30,778510,676440,1,1,0,0,0,0,0,0
2025,2025-03-30,778510,676440,1,1,1,0,0,0,0,0
2025,2025-03-30,778510,676440,1,1,0,0,0,0,0,0
2025,2025-03-30,778510,676440,1,1,0,0,0,0,0,0
2025,2025-03-30,778510,676440,1,1,0,0,0,0,0,0
2025,2025-03-30,778510,676440,2,1,0,0,0,0,0,0
2025,2025-03-30,778510,676440,2,1,0,0,0,0,0,0
2025,2025-03-30,778510,676440,2,1,0,0,0,0,0,0
2025,2025-03-30,778510,676440,2,1,0,0,0,0,0,0
2025,2025-03-30,778510,676440,2,1,0,0,0,0,0,0
2025,2025-03-30,778510,676440,2,1,0,0,0,0,0,0
2025,2025-03-30,778510,676440,2,1,0,0,0,0,1,0
2025,2025-03-30,778510,676440,2,1,0,0,0,0,0,0
2025,2025-03-30,778510,676440,2,1,0,0,0,0,0,0
2025,2025-03-30,778510,676440,3,1,0,0,0,0,0,0
2025,2025-03-30,778510,676440,3,1,0,0,1,0,0,0
2025,2025-03-31,778499,682847,1,1,0,0,0,0,0,0
2025,2025-03-31,778499,682847,1,1,0,0,0,0,0,0
2025,2025-03-31,778499,682847,1,1,0,0,0,0,0,0
2025,2025-03-31,778499,682847,1,1,1,0,0,0,0,0
2025,2025-03-31,778499,682847,1,1,0,0,1,0,0,0
2025,2025-03-31,778499,682847,1,1,0,0,1,0,0,0
2025,2025-03-31,778499,682847,1,1,1,0,0,0,0,2
2025,2025-03-31,778499,682847,1,1,0,0,0,0,0,1
2025,2025-03-31,778499,682847,1,1,0,0,0,0,1,0
2025,2025-03-31,778499,682847,2,1,1,0,0,0,0,1
2025,2025-03-31,778499,682847,2,1,0,0,0,0,0,0
2025,2025-03-31,778499,682847,2,1,1,0,0,0,0,0
2025,2025-03-31,778499,682847,2,1,0,0,0,0,1,0
2025,2025-03-31,778499,682847,2,1,0,0,0,0,0,0
2025,2025-03-31,778499,682847,2,1,0,0,0,0,0,0
2025,2025-03-31,778499,682847,2,1,1,0,0,0,0,0
2025,2025-03-31,778499,682847,2,1,0,0,1,0,0,0
2025,2025-03-31,778499,682847,2,1,0,0,0,0,0,0
2025,2025-03-31,778499,682847,3,1,0,0,0,0,0,0
2025,2025-03-31,778499,682847,3,1,0,0,0,0,0,0
2025,2025-03-31,778499,682847,3,1,1,0,0,0,0,0
2025,2025-03-31,778499,682847,3,1,0,0,0,0,0,0
2025,2025-03-31,778499,682847,3,1,0,0,1,0,0,0
2025,2025-03-31,778499,682847,3,1,1,0,0,0,0,0
2025,2025-03-31,778499,682847,3,1,1,0,0,0,0,2
2025,2025-03-31,778499,682847,3,1,1,0,0,0,0,1
2025,2025-04-01,778485,671106,1,1,0,0,1,0,0,0
2025,2025-04-01,778485,671106,1,1,0,0,0,0,0,0
2025,2025-04-01,778485,671106,1,1,0,0,0,0,0,0
2025,2025-04-01,778485,671106,1,1,1,0,0,0,0,0
2025,2025-04-01,778485,671106,1,1,0,0,0,0,0,0
2025,2025-04-01,778485,671106,1,1,0,0,0,0,0,0
2025,2025-04-01,778485,671106,1,1,0,0,1,0,0,0
2025,2025-04-01,778485,671106,1,1,1,0,0,0,0,0
2025,2025-04-01,778485,671106,1,1,0,0,0,0,0,0
2025,2025-04-01,778485,671106,2,1,0,0,0,0,0,0
2025,2025-04-01,778485,671106,2,1,0,0,0,0,0,0
2025,2025-04-01,778485,671106,2,1,1,0,0,0,0,0
2025,2025-04-01,778485,671106,2,1,0,0,0,0,0,0
2025,2025-04-01,778485,671106,2,1,1,1,0,0,0,1
2025,2025-04-01,778485,671106,2,1,0,0,0,0,0,0
2025,2025-04-01,778485,671106,2,1,1,0,0,0,0,0
2025,2025-04-01,778485,671106,2,1,0,0,1,0,0,0
2025,2025-04-01,778485,671106,2,1,0,0,0,0,0,0
2025,2025-04-01,778485,671106,3,1,0,0,0,0,0,1
2025,2025-04-01,778485,671106,3,1,1,0,0,0,0,1
2025,2025-04-01,778485,671106,3,1,1,0,0,0,0,0
2025,2025-04-01,778485,671106,3,1,0,0,0,0,1,0
2025,2025-04-01,778485,671106,3,1,0,0,1,0,0,0
2025,2025-04-01,778485,671106,3,1,0,0,1,0,0,0
2025,2025-04-02,778476,594902,1,1,1,0,0,0,0,0
2025,2025-04-02,778476,594902,1,1,0,0,0,0,0,0
2025,2025-04-02,778476,594902,1,1,0,0,0,0,0,0
2025,2025-04-02,778476,594902,1,1,0,0,0,0,1,0
2025,2025-04-02,778476,594902,1,1,0,0,1,0,0,0
2025,2025-04-02,778476,594902,1,1,0,0,0,0,0,0
2025,2025-04-02,778476,594902,1,1,0,0,0,0,1,0
2025,2025-04-02,778476,594902,1,1,0,0,0,0,1,0
2025,2025-04-02,778476,594902,1,1,0,0,0,0,1,0
2025,2025-04-02,778476,594902,2,1,1,0,0,0,0,0
2025,2025-04-02,778476,594902,2,1,1,0,0,0,0,0
2025,2025-04-02,778476,594902,2,1,1,0,0,0,0,2
2025,2025-04-02,778476,594902,2,1,1,1,0,0,0,2
2025,2025-04-02,778476,594902,2,1,0,0,1,0,0,0
2025,2025-04-02,778476,594902,2,1,0,0,0,0,0,0
2025,2025-04-02,778476,594902,2,1,1,0,0,0,0,0
2025,2025-04-02,778476,594902,2,1,0,0,0,0,0,0
2025,2025-04-02,778476,594902,2,1,0,0,0,0,0,0
2025,2025-04-02,778476,594902,3,1,0,0,0,0,0,0
2025,2025-04-02,778476,594902,3,1,0,0,0,0,0,0
2025,2025-04-02,778476,594902,3,1,1,0,0,0,0,0
2025,2025-04-04,778447,668909,1,1,0,0,0,0,0,0
2025,2025-04-04,778447,668909,1,1,1,1,0,0,0,1
2025,2025-04-04,778447,668909,1,1,1,0,0,0,0,0
2025,2025-04-04,778447,668909,1,1,0,0,0,0,0,0
2025,2025-04-04,778447,668909,1,1,0,0,1,0,0,0
2025,2025-04-04,778447,668909,1,1,0,0,0,0,0,0
2025,2025-04-04,778447,668909,1,1,1,0,0,0,0,0
2025,2025-04-04,778447,668909,1,1,0,0,0,0,1,0
2025,2025-04-04,778447,668909,1,1,0,0,0,0,1,0
2025,2025-04-04,778447,668909,2,1,0,0,0,0,0,0
2025,2025-04-04,778447,668909,2,1,0,0,1,0,0,0
2025,2025-04-04,778447,668909,2,1,0,0,0,0,1,0
2025,2025-04-04,778447,668909,2,1,0,0,1,0,0,0
2025,2025-04-04,778447,668909,2,1,0,0,0,0,1,0
