PERIOD,OPP_STRENGTH,VENUE,G,RS,R_G,R_1_3,R_1_3_G,R_4_6,R_4_6_G,R_7_PLUS,R_7_PLUS_G,STARTER_RUNS,STARTER_RUNS_G,BULLPEN_RUNS,BULLPEN_RUNS_G,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,HALF_INNINGS_3PLUS_PCT,GAMES_WITH_3PLUS,GAMES_WITH_3PLUS_PCT
2025,DEBIL,AWAY,28,135,4.821,41,1.464,56,2.0,38,1.357,86,3.071,49,1.75,256,11,4.3,9,32.1
2025,DEBIL,HOME,32,139,4.344,50,1.562,47,1.469,42,1.312,91,2.844,48,1.5,272,13,4.8,11,34.4
2025,FUERTE,AWAY,24,97,4.042,36,1.5,30,1.25,31,1.292,54,2.25,43,1.792,221,9,4.1,8,33.3
2025,FUERTE,HOME,22,87,3.955,22,1.0,35,1.591,30,1.364,53,2.409,34,1.545,190,11,5.8,10,45.5
2025,MEDIO,AWAY,29,97,3.345,24,0.828,38,1.31,35,1.207,51,1.759,46,1.586,264,9,3.4,9,31.0
2025,MEDIO,HOME,27,88,3.259,29,1.074,30,1.111,29,1.074,52,1.926,36,1.333,238,10,4.2,9,33.3
2026_CUTOFF,DEBIL,AWAY,13,62,4.769,17,1.308,23,1.769,22,1.692,36,2.769,26,2.0,117,11,9.4,7,53.8
2026_CUTOFF,DEBIL,HOME,23,105,4.565,43,1.87,22,0.957,40,1.739,44,1.913,61,2.652,198,11,5.6,8,34.8
2026_CUTOFF,FUERTE,AWAY,23,88,3.826,16,0.696,34,1.478,38,1.652,44,1.913,44,1.913,209,7,3.3,7,30.4
2026_CUTOFF,FUERTE,HOME,14,42,3.0,20,1.429,16,1.143,6,0.429,33,2.357,9,0.643,121,4,3.3,4,28.6
2026_CUTOFF,MEDIO,AWAY,15,52,3.467,13,0.867,19,1.267,20,1.333,28,1.867,24,1.6,137,6,4.4,5,33.3
2026_CUTOFF,MEDIO,HOME,14,61,4.357,16,1.143,21,1.5,24,1.714,28,2.0,33,2.357,121,9,7.4,7,50.0
