PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED
2024,2024-03-28,746821,True,HOME,116,Detroit Tigers,FUERTE,0,1,0,0,0,1,0,0,9,0,0,0,0
2024,2024-03-30,746818,True,HOME,116,Detroit Tigers,FUERTE,6,7,5,1,0,3,1,3,10,0,6,0,0
2024,2024-03-31,746815,True,HOME,116,Detroit Tigers,FUERTE,2,3,1,0,1,0,2,1,9,0,1,1,0
2024,2024-04-01,746817,True,HOME,144,Atlanta Braves,FUERTE,0,9,0,0,0,1,5,3,8,0,0,0,0
2024,2024-04-02,746814,True,HOME,144,Atlanta Braves,FUERTE,3,2,0,1,2,0,0,2,8,0,1,2,0
2024,2024-04-04,746327,False,AWAY,118,Kansas City Royals,FUERTE,1,10,0,1,0,1,1,8,9,0,1,0,0
2024,2024-04-05,746328,False,AWAY,118,Kansas City Royals,FUERTE,1,2,1,0,0,1,0,1,9,0,1,0,0
2024,2024-04-06,746329,False,AWAY,118,Kansas City Royals,FUERTE,0,3,0,0,0,0,0,3,9,0,0,0,0
2024,2024-04-07,746330,False,AWAY,118,Kansas City Royals,FUERTE,3,5,0,3,0,0,2,3,9,0,3,0,0
2024,2024-04-08,746654,False,AWAY,114,Cleveland Guardians,FUERTE,0,4,0,0,0,1,3,0,9,0,0,0,0
2024,2024-04-09,746653,False,AWAY,114,Cleveland Guardians,FUERTE,7,5,5,0,2,3,2,0,9,1,5,2,0
2024,2024-04-10,746655,False,AWAY,114,Cleveland Guardians,FUERTE,6,7,5,0,1,0,5,2,10,1,5,1,0
2024,2024-04-12,746812,True,HOME,113,Cincinnati Reds,MEDIO,1,11,1,0,0,6,1,4,9,0,1,0,0
2024,2024-04-13,746811,True,HOME,113,Cincinnati Reds,MEDIO,0,5,0,0,0,5,0,0,9,0,0,0,0
2024,2024-04-14,746810,True,HOME,113,Cincinnati Reds,MEDIO,4,11,0,2,2,4,2,5,9,0,2,2,0
2024,2024-04-15,746813,True,HOME,118,Kansas City Royals,FUERTE,0,2,0,0,0,0,2,0,9,0,0,0,0
2024,2024-04-17,746807,True,HOME,118,Kansas City Royals,FUERTE,2,4,2,0,0,1,0,3,9,0,2,0,0
2024,2024-04-17,746809,True,HOME,118,Kansas City Royals,FUERTE,2,1,0,2,0,0,0,1,8,0,2,0,0
2024,2024-04-19,745592,False,AWAY,143,Philadelphia Phillies,MEDIO,0,7,0,0,0,6,1,0,9,0,0,0,0
2024,2024-04-20,745590,False,AWAY,143,Philadelphia Phillies,MEDIO,5,9,0,0,5,3,4,2,9,1,0,5,0
2024,2024-04-21,745588,False,AWAY,143,Philadelphia Phillies,MEDIO,2,8,2,0,0,3,4,1,9,0,2,0,0
