DATE,GAME_PK,RS_GAMELOG,PERIOD
2024-03-28,746821,0,2024
2024-03-30,746818,6,2024
2024-03-31,746815,2,2024
2024-04-01,746817,0,2024
2024-04-02,746814,3,2024
2024-04-04,746327,1,2024
2024-04-05,746328,1,2024
2024-04-06,746329,0,2024
2024-04-07,746330,3,2024
2024-04-08,746654,0,2024
2024-04-09,746653,7,2024
2024-04-10,746655,6,2024
2024-04-12,746812,1,2024
2024-04-13,746811,0,2024
2024-04-14,746810,4,2024
2024-04-15,746813,0,2024
2024-04-17,746807,2,2024
2024-04-17,746809,2,2024
2024-04-19,745592,0,2024
2024-04-20,745590,5,2024
2024-04-21,745588,2,2024
2024-04-22,745916,0,2024
2024-04-23,745917,5,2024
2024-04-24,745919,3,2024
2024-04-25,745918,3,2024
2024-04-26,746808,9,2024
2024-04-27,746803,8,2024
2024-04-28,746805,4,2024
2024-04-29,746804,2,2024
2024-04-30,746806,5,2024
2024-05-01,746800,5,2024
2024-05-03,745187,0,2024
2024-05-04,745183,6,2024
2024-05-05,745185,5,2024
2024-05-06,745098,2,2024
2024-05-07,745095,1,2024
2024-05-08,745097,4,2024
2024-05-09,746802,3,2024
2024-05-10,746801,6,2024
2024-05-11,746797,3,2024
2024-05-12,746798,0,2024
2024-05-14,746796,3,2024
2024-05-14,746799,4,2024
2024-05-15,746795,2,2024
2024-05-17,745747,2,2024
2024-05-18,745744,1,2024
2024-05-19,745745,2,2024
2024-05-20,744935,3,2024
2024-05-21,744936,5,2024
2024-05-22,744933,2,2024
2024-05-23,746792,6,2024
2024-05-24,746793,4,2024
2024-05-25,746794,3,2024
2024-05-26,746789,1,2024
2024-05-27,746788,1,2024
2024-05-28,746791,2,2024
2024-05-29,746790,1,2024
2024-05-31,745983,5,2024
2024-06-01,745980,3,2024
2024-06-02,745984,3,2024
2024-06-04,746872,6,2024
2024-06-05,746873,6,2024
2024-06-06,746784,2,2024
2024-06-07,746785,7,2024
2024-06-08,746786,6,2024
2024-06-09,746787,4,2024
2024-06-10,745248,4,2024
2024-06-11,745244,3,2024
2024-06-12,745246,1,2024
2024-06-13,745245,3,2024
2024-06-14,747191,1,2024
2024-06-15,747187,9,2024
2024-06-16,747189,5,2024
2024-06-18,746783,2,2024
2024-06-19,746781,1,2024
2024-06-20,746782,3,2024
2024-06-21,746460,1,2024
2024-06-22,746459,5,2024
2024-06-23,746457,2,2024
2024-06-24,746780,0,2024
2024-06-25,746775,3,2024
2024-06-26,746777,0,2024
2024-06-27,746816,1,2024
2024-06-28,746776,5,2024
2024-06-29,746778,11,2024
2024-06-30,746779,4,2024
2024-07-02,746623,6,2024
2024-07-03,746617,8,2024
2024-07-04,746619,4,2024
2024-07-05,746046,3,2024
2024-07-06,746044,3,2024
2024-07-07,746039,4,2024
2024-07-08,746771,6,2024
2024-07-10,746772,3,2024
2024-07-10,746773,2,2024
2024-07-12,746774,1,2024
2024-07-13,746766,2,2024
2024-07-14,746769,4,2024
2024-07-19,746284,1,2024
2024-07-20,746286,1,2024
2024-07-21,746287,1,2024
2024-07-22,744988,3,2024
2024-07-23,744985,2,2024
2024-07-24,744989,2,2024
2024-07-25,744984,1,2024
2024-07-26,746767,0,2024
2024-07-27,746768,3,2024
2024-07-28,746770,3,2024
2024-07-29,746765,5,2024
2024-07-30,746763,3,2024
2024-07-31,746764,3,2024
2024-08-02,745875,2,2024
2024-08-03,745876,2,2024
2024-08-04,745879,7,2024
2024-08-05,745628,1,2024
2024-08-06,745629,5,2024
2024-08-07,745630,2,2024
2024-08-09,746760,6,2024
2024-08-10,746761,1,2024
2024-08-12,746762,12,2024
2024-08-13,746757,1,2024
2024-08-14,746759,2,2024
2024-08-16,746357,5,2024
2024-08-17,746355,1,2024
2024-08-18,746359,0,2024
2024-08-19,745294,3,2024
2024-08-20,745295,1,2024
2024-08-21,745297,6,2024
2024-08-23,746758,2,2024
2024-08-24,746756,4,2024
2024-08-25,746754,4,2024
2024-08-26,746753,3,2024
2024-08-27,746755,1,2024
2024-08-28,746752,3,2024
2024-08-29,746748,1,2024
2024-08-30,746749,1,2024
2024-08-31,746751,3,2024
2024-09-01,746750,0,2024
2024-09-02,746992,3,2024
2024-09-03,746991,0,2024
2024-09-04,746990,8,2024
2024-09-06,746912,1,2024
2024-09-07,746911,5,2024
2024-09-08,746910,7,2024
2024-09-09,746746,3,2024
2024-09-10,746747,0,2024
2024-09-11,746745,4,2024
2024-09-13,746744,0,2024
2024-09-14,746740,7,2024
2024-09-15,746741,4,2024
2024-09-16,746179,8,2024
2024-09-17,746176,0,2024
2024-09-18,746172,3,2024
2024-09-20,745364,2,2024
2024-09-21,745360,2,2024
2024-09-22,745358,2,2024
2024-09-24,746743,3,2024
2024-09-25,746742,4,2024
2024-09-26,746738,7,2024
2024-09-27,746417,1,2024
2024-09-28,746414,4,2024
2024-09-29,746416,9,2024
2025-03-27,778554,8,2025
2025-03-29,778534,0,2025
2025-03-30,778527,2,2025
2025-03-31,778506,9,2025
2025-04-01,778490,3,2025
2025-04-02,778474,1,2025
2025-04-04,778458,4,2025
2025-04-05,778445,2,2025
2025-04-06,778433,3,2025
2025-04-08,778402,0,2025
2025-04-09,778391,2,2025
2025-04-10,778378,1,2025
2025-04-11,778366,11,2025
2025-04-12,778349,3,2025
2025-04-13,778338,1,2025
2025-04-15,778309,3,2025
2025-04-16,778294,1,2025
2025-04-17,778283,0,2025
2025-04-18,778275,3,2025
2025-04-19,778264,3,2025
2025-04-20,778245,8,2025
2025-04-21,778238,2,2025
2025-04-22,778216,2,2025
2025-04-23,778201,3,2025
2025-04-24,778189,3,2025
2025-04-25,778178,5,2025
2025-04-26,778165,10,2025
2025-04-27,778149,2,2025
2025-04-29,778125,2,2025
2025-04-30,778111,4,2025
2025-05-01,778094,8,2025
2025-05-02,778079,7,2025
2025-05-03,778066,3,2025
2025-05-04,778055,5,2025
2025-05-05,778043,0,2025
2025-05-06,778033,3,2025
2025-05-07,778012,1,2025
2025-05-08,778008,0,2025
2025-05-09,777991,6,2025
2025-05-10,777978,1,2025
2025-05-11,777966,4,2025
2025-05-13,777945,5,2025
2025-05-14,777928,4,2025
2025-05-15,777912,1,2025
2025-05-16,777900,3,2025
2025-05-17,777881,3,2025
2025-05-18,777872,2,2025
2025-05-19,777857,1,2025
2025-05-20,777846,1,2025
2025-05-21,777830,5,2025
2025-05-23,777805,4,2025
2025-05-24,777792,10,2025
2025-05-25,777777,4,2025
2025-05-26,777758,1,2025
2025-05-27,777749,4,2025
2025-05-28,777737,9,2025
2025-05-30,777720,1,2025
2025-05-31,777699,2,2025
2025-06-01,777684,2,2025
2025-06-02,777674,1,2025
2025-06-03,777661,8,2025
2025-06-04,777639,4,2025
2025-06-05,777634,3,2025
2025-06-06,777618,7,2025
2025-06-07,777606,4,2025
2025-06-08,777590,5,2025
2025-06-10,777567,4,2025
2025-06-11,777550,2,2025
2025-06-12,777546,3,2025
2025-06-13,777524,1,2025
