PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,746821,676979,STARTER,18,5,1,0,0,0,8,23
2024,746821,665620,BULLPEN,3,0,0,0,0,0,2,3
2024,746821,656629,BULLPEN,3,1,0,0,1,1,1,6
2024,746821,608678,BULLPEN,3,0,0,0,0,0,0,3
2024,746818,647336,STARTER,15,7,4,1,3,0,0,24
2024,746818,673929,BULLPEN,3,1,0,0,1,0,1,5
2024,746818,608678,BULLPEN,1,2,2,1,0,0,0,3
2024,746818,657612,BULLPEN,2,1,0,0,0,0,0,3
2024,746818,621051,BULLPEN,3,0,0,0,0,0,0,3
2024,746818,605154,BULLPEN,3,0,0,0,0,0,0,3
2024,746818,665620,BULLPEN,3,1,0,0,0,0,2,4
2024,746815,607200,STARTER,14,5,2,2,1,0,7,20
2024,746815,621383,BULLPEN,3,0,0,0,1,0,1,4
2024,746815,605154,BULLPEN,2,1,0,0,0,0,1,3
2024,746815,656629,BULLPEN,5,0,0,0,0,0,3,5
2024,746815,621051,BULLPEN,2,1,1,0,1,0,1,4
2024,746815,657612,BULLPEN,1,1,0,0,1,0,0,3
2024,746817,623167,STARTER,13,6,4,0,3,0,1,22
2024,746817,543766,BULLPEN,5,3,2,0,1,0,2,9
2024,746817,673929,BULLPEN,3,0,0,0,0,0,0,3
2024,746817,665620,BULLPEN,2,1,2,0,1,0,1,4
2024,746817,608678,BULLPEN,1,1,1,1,0,0,0,2
2024,746814,676979,STARTER,21,3,1,1,1,0,8,25
2024,746814,605154,BULLPEN,1,0,0,0,2,0,0,3
2024,746814,656629,BULLPEN,5,2,1,1,2,0,1,8
2024,746327,647336,STARTER,18,6,2,1,0,0,2,22
2024,746327,665620,BULLPEN,1,3,3,0,2,0,0,6
2024,746327,608678,BULLPEN,2,1,0,1,1,0,1,5
2024,746327,543766,BULLPEN,3,0,0,0,1,0,1,4
2024,746328,607200,STARTER,15,6,1,0,2,0,4,23
2024,746328,605154,BULLPEN,2,0,0,0,0,0,0,2
2024,746328,621051,BULLPEN,4,0,0,0,0,0,3,4
2024,746328,656629,BULLPEN,3,1,1,0,2,0,3,6
2024,746329,623167,STARTER,19,6,3,1,2,0,4,25
2024,746329,673929,BULLPEN,1,3,0,0,0,0,1,4
2024,746329,621383,BULLPEN,3,1,0,0,0,0,2,4
2024,746329,543766,BULLPEN,1,0,0,0,1,0,1,2
2024,746330,676979,STARTER,15,3,2,1,0,0,5,19
2024,746330,621051,BULLPEN,3,0,0,0,0,0,0,3
2024,746330,665620,BULLPEN,1,2,2,1,1,0,1,4
2024,746330,608678,BULLPEN,5,0,0,0,2,0,0,6
2024,746654,621383,STARTER,7,2,1,0,0,0,5,10
2024,746654,608678,BULLPEN,3,2,1,0,1,0,1,5
2024,746654,657612,BULLPEN,3,1,1,0,0,1,0,4
2024,746654,543766,BULLPEN,2,2,1,1,0,0,0,4
2024,746654,694363,BULLPEN,9,3,0,0,0,0,2,13
2024,746653,647336,STARTER,11,4,4,1,3,1,4,18
2024,746653,657612,BULLPEN,1,3,1,0,0,0,0,4
2024,746653,673929,BULLPEN,6,0,0,0,1,0,1,6
2024,746653,621051,BULLPEN,3,1,0,0,1,0,3,5
2024,746653,656629,BULLPEN,6,0,0,0,0,0,4,6
2024,746655,607200,STARTER,15,4,4,3,3,1,3,24
2024,746655,621383,BULLPEN,3,0,0,0,0,1,1,3
2024,746655,608678,BULLPEN,3,1,0,0,1,0,1,5
2024,746655,665620,BULLPEN,3,0,0,0,0,0,0,3
2024,746655,621051,BULLPEN,3,0,0,0,0,0,0,3
2024,746655,543766,BULLPEN,1,3,1,0,1,0,0,5
2024,746812,623167,STARTER,8,7,6,2,1,0,2,16
2024,746812,694363,BULLPEN,10,2,1,0,2,0,2,13
2024,746812,665620,BULLPEN,3,0,0,0,1,0,1,4
2024,746812,605121,BULLPEN,3,1,2,0,3,0,1,7
2024,746812,657612,BULLPEN,3,2,2,0,2,0,1,7
2024,746811,676979,STARTER,14,4,5,0,3,1,10,21
2024,746811,665620,BULLPEN,4,0,0,0,0,0,2,4
2024,746811,608678,BULLPEN,3,0,0,0,0,0,1,3
2024,746811,673929,BULLPEN,3,0,0,0,0,0,2,3
2024,746811,656629,BULLPEN,3,0,0,0,1,0,0,3
2024,746810,647336,STARTER,14,5,5,1,6,0,4,25
2024,746810,621383,BULLPEN,6,3,1,1,2,0,2,13
2024,746810,605121,BULLPEN,4,1,0,0,0,0,0,5
2024,746810,657612,BULLPEN,3,1,0,0,0,0,1,4
2024,746813,680897,STARTER,15,3,2,1,2,0,5,20
2024,746813,608678,BULLPEN,3,1,0,0,0,0,0,4
2024,746813,673929,BULLPEN,3,0,0,0,0,0,1,3
2024,746813,621051,BULLPEN,3,0,0,0,2,0,0,5
2024,746813,656629,BULLPEN,3,1,0,0,0,0,2,4
2024,746807,686563,STARTER,15,3,1,0,1,0,3,19
2024,746807,673929,BULLPEN,3,1,0,0,1,0,1,5
2024,746807,621051,BULLPEN,3,0,0,0,0,0,0,3
2024,746807,656629,BULLPEN,3,2,2,1,0,0,1,5
2024,746807,608678,BULLPEN,3,1,1,1,1,0,0,4
2024,746809,607200,STARTER,17,3,0,0,3,0,5,22
2024,746809,621383,BULLPEN,4,1,0,0,0,0,1,5
2024,746809,665620,BULLPEN,6,1,0,0,1,0,0,7
2024,745592,676979,STARTER,9,5,7,3,2,0,3,16
2024,745592,623167,BULLPEN,12,1,0,0,0,0,4,13
2024,745592,657612,BULLPEN,3,1,0,0,0,0,0,3
2024,745590,647336,STARTER,14,6,5,1,3,0,2,23
2024,745590,621383,BULLPEN,2,4,2,0,1,0,1,7
2024,745590,665620,BULLPEN,2,0,0,0,1,0,1,3
2024,745590,608678,BULLPEN,3,2,2,0,1,0,1,6
2024,745590,657612,BULLPEN,3,0,0,0,0,0,1,3
2024,745588,680897,STARTER,9,6,5,0,5,0,3,20
2024,745588,621383,BULLPEN,5,1,0,0,0,0,2,6
2024,745588,665620,BULLPEN,4,2,1,1,1,0,0,7
2024,745588,673929,BULLPEN,3,2,1,0,0,0,0,5
2024,745588,656629,BULLPEN,3,0,0,0,0,0,2,3
2024,745916,686563,STARTER,11,9,6,0,1,0,5,20
2024,745916,657612,BULLPEN,3,1,0,0,0,0,1,4
2024,745916,623167,BULLPEN,7,1,1,1,1,0,0,9
2024,745916,621051,BULLPEN,3,0,0,0,0,0,0,3
2024,745917,607200,STARTER,18,3,1,0,0,0,11,21
2024,745917,673929,BULLPEN,3,2,1,0,0,0,0,5
2024,745917,656629,BULLPEN,3,2,2,1,0,0,2,5
2024,745917,621051,BULLPEN,2,3,2,1,1,0,1,6
2024,745919,676979,STARTER,12,7,5,1,2,1,6,21
2024,745919,665620,BULLPEN,5,4,1,0,0,0,2,9
2024,745919,657612,BULLPEN,1,1,0,0,1,0,0,3
2024,745919,608678,BULLPEN,3,0,0,0,0,0,3,3
2024,745919,605154,BULLPEN,3,1,0,0,0,1,2,5
2024,745918,647336,STARTER,15,4,2,2,2,0,1,21
2024,745918,621383,BULLPEN,0,3,1,0,0,0,0,3
2024,745918,673929,BULLPEN,3,0,0,0,0,0,0,2
2024,745918,605154,BULLPEN,3,1,1,1,0,1,1,5
2024,745918,621051,BULLPEN,3,2,2,2,0,0,1,5
2024,746808,623167,STARTER,15,2,0,0,3,0,2,20
2024,746808,608678,BULLPEN,3,0,0,0,0,0,1,3
2024,746808,665620,BULLPEN,2,2,2,0,1,0,1,5
2024,746808,673929,BULLPEN,1,0,0,0,2,0,0,3
2024,746808,656629,BULLPEN,3,2,1,0,1,1,2,7
2024,746808,621383,BULLPEN,3,3,1,0,0,0,1,5
2024,746803,686563,STARTER,15,8,4,2,2,0,5,24
2024,746803,608678,BULLPEN,3,2,2,0,1,0,1,6
2024,746803,605154,BULLPEN,3,0,0,0,0,0,0,3
2024,746803,621051,BULLPEN,3,1,0,0,1,0,0,6
2024,746803,656629,BULLPEN,3,0,0,0,1,0,1,3
2024,746803,665620,BULLPEN,3,0,0,0,2,0,2,5
2024,746805,607200,STARTER,25,7,2,1,0,0,9,32
2024,746805,673929,BULLPEN,2,0,0,0,0,0,0,2
2024,746804,676979,STARTER,15,2,2,1,1,0,7,18
2024,746804,641745,BULLPEN,5,0,0,0,2,0,1,8
2024,746804,657612,BULLPEN,1,0,0,0,0,0,0,1
2024,746804,656629,BULLPEN,3,0,0,0,0,0,1,3
2024,746804,605154,BULLPEN,3,2,1,0,0,0,2,5
2024,746806,647336,STARTER,13,3,2,0,2,0,3,18
2024,746806,621383,BULLPEN,2,2,1,0,0,0,0,4
2024,746806,608678,BULLPEN,3,1,0,0,0,0,2,3
2024,746806,621051,BULLPEN,3,0,0,0,0,1,1,3
2024,746806,673929,BULLPEN,2,2,2,0,1,1,1,6
2024,746806,672860,BULLPEN,1,0,0,0,0,1,0,2
2024,746806,656629,BULLPEN,3,1,1,0,1,0,1,5
2024,746800,623167,STARTER,15,4,2,1,2,0,4,20
2024,746800,621051,BULLPEN,2,0,0,0,3,0,0,5
2024,746800,608678,BULLPEN,2,0,2,0,2,0,2,5
2024,746800,657612,BULLPEN,2,2,0,0,0,0,0,4
2024,746800,621383,BULLPEN,4,3,2,0,0,0,1,6
2024,746800,605154,BULLPEN,2,3,2,0,0,0,1,5
2024,745187,641745,STARTER,14,5,3,0,2,0,5,22
2024,745187,694363,BULLPEN,10,1,0,0,1,0,2,12
2024,745183,607200,STARTER,13,4,5,1,5,0,2,22
2024,745183,657612,BULLPEN,6,0,0,0,0,0,1,6
2024,745183,621051,BULLPEN,2,0,0,0,0,0,2,2
2024,745183,608678,BULLPEN,0,0,0,0,1,0,0,1
2024,745183,673929,BULLPEN,3,0,0,0,0,0,0,3
2024,745183,656629,BULLPEN,3,0,0,0,1,1,1,5
2024,745183,605154,BULLPEN,2,1,0,0,0,0,2,4
2024,745183,621383,BULLPEN,1,0,0,0,0,0,1,1
2024,745185,676979,STARTER,18,3,1,1,0,0,6,21
2024,745185,621051,BULLPEN,3,0,0,0,0,0,2,3
2024,745185,673929,BULLPEN,3,1,0,0,0,0,1,4
2024,745185,605154,BULLPEN,3,0,0,0,0,0,2,3
2024,745098,605182,STARTER,6,6,3,0,4,0,0,16
2024,745098,694363,BULLPEN,7,4,3,1,1,0,0,12
2024,745098,657612,BULLPEN,5,3,0,0,0,0,0,7
2024,745098,621383,BULLPEN,6,0,0,0,0,0,3,6
2024,745095,647336,STARTER,15,3,3,1,4,0,4,21
2024,745095,641745,BULLPEN,9,5,1,1,0,0,0,14
