PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,746818,628317,STARTER,1
2024,746818,628317,STARTER,1
2024,746818,628317,STARTER,2
2024,746818,628317,STARTER,3
2024,746818,628317,STARTER,3
2024,746818,628317,STARTER,4
2024,746815,656427,STARTER,3
2024,746815,605177,BULLPEN,7
2024,746814,625643,STARTER,6
2024,746814,621345,BULLPEN,7
2024,746814,572955,BULLPEN,8
2024,746327,607625,STARTER,6
2024,746328,663903,STARTER,2
2024,746330,679525,STARTER,4
2024,746330,679525,STARTER,4
2024,746330,679525,STARTER,5
2024,746653,671106,STARTER,1
2024,746653,671106,STARTER,1
2024,746653,671106,STARTER,1
2024,746653,671106,STARTER,1
2024,746653,671106,STARTER,1
2024,746653,605130,BULLPEN,8
2024,746653,605130,BULLPEN,8
2024,746655,676440,STARTER,1
2024,746655,676440,STARTER,1
2024,746655,676440,STARTER,3
2024,746655,676440,STARTER,3
2024,746655,676440,STARTER,3
2024,746655,669212,BULLPEN,10
2024,746812,671096,STARTER,3
2024,746810,668933,STARTER,4
2024,746810,668933,STARTER,4
2024,746810,608371,BULLPEN,7
2024,746810,608371,BULLPEN,7
2024,746807,663903,STARTER,2
2024,746807,663903,STARTER,2
2024,746809,608379,STARTER,4
2024,746809,608379,STARTER,6
2024,745590,620982,BULLPEN,9
2024,745590,620982,BULLPEN,9
2024,745590,620982,BULLPEN,9
2024,745590,620982,BULLPEN,9
2024,745590,620982,BULLPEN,9
2024,745588,605400,STARTER,1
2024,745588,605400,STARTER,1
2024,745917,641154,STARTER,4
2024,745917,641154,STARTER,4
2024,745917,641154,STARTER,4
2024,745917,543351,BULLPEN,8
2024,745917,595345,BULLPEN,8
2024,745919,657746,STARTER,3
2024,745919,657746,STARTER,3
2024,745919,657746,STARTER,5
2024,745918,680573,STARTER,2
2024,745918,680573,STARTER,4
2024,745918,595345,BULLPEN,9
2024,746808,621107,STARTER,3
2024,746808,621107,STARTER,4
2024,746808,621107,STARTER,6
2024,746808,621107,STARTER,6
2024,746808,621107,STARTER,6
2024,746808,541640,BULLPEN,7
2024,746808,541640,BULLPEN,7
2024,746808,541640,BULLPEN,8
2024,746808,541640,BULLPEN,8
2024,746803,650644,STARTER,4
2024,746803,650644,STARTER,4
2024,746803,650644,STARTER,4
2024,746803,650644,STARTER,5
2024,746803,650644,STARTER,5
2024,746803,650644,STARTER,5
2024,746803,664208,BULLPEN,10
2024,746803,664208,BULLPEN,10
2024,746805,641793,STARTER,4
2024,746805,641793,STARTER,4
2024,746805,655889,BULLPEN,8
2024,746805,655889,BULLPEN,8
2024,746804,657746,STARTER,1
2024,746804,657746,STARTER,1
2024,746806,680573,STARTER,3
2024,746806,680573,STARTER,4
2024,746806,681892,BULLPEN,5
2024,746806,681892,BULLPEN,5
2024,746806,663485,BULLPEN,8
2024,746800,641927,STARTER,1
2024,746800,641927,STARTER,1
2024,746800,641927,STARTER,3
2024,746800,641927,STARTER,5
2024,746800,592779,BULLPEN,7
2024,745183,458681,STARTER,1
