PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,18,67,21,20,26,35,32,166,6,684,16,56,8,149,34,238,57,3.7222222222222223,1.9444444444444444,1.7777777777777777,3.6144578313253013,22.818791946308725,23.949579831932773
2024,DEBIL,HOME,22,84,19,38,27,51,33,196,10,804,24,52,5,210,43,259,59,3.8181818181818183,2.3181818181818183,1.5,5.1020408163265305,20.476190476190474,22.77992277992278
2024,FUERTE,AWAY,38,107,42,35,30,75,32,347,7,1385,34,89,4,292,49,453,94,2.8157894736842106,1.9736842105263157,0.8421052631578947,2.0172910662824206,16.78082191780822,20.750551876379692
2024,FUERTE,HOME,35,107,39,34,34,73,34,306,9,1236,26,76,8,280,58,388,70,3.057142857142857,2.085714285714286,0.9714285714285714,2.9411764705882355,20.714285714285715,18.04123711340206
2024,MEDIO,AWAY,25,81,23,28,30,51,30,227,7,906,19,56,4,201,41,293,55,3.24,2.04,1.2,3.0837004405286343,20.398009950248756,18.77133105802048
2024,MEDIO,HOME,24,61,22,25,14,39,22,217,6,863,14,66,6,182,30,284,38,2.5416666666666665,1.625,0.9166666666666666,2.7649769585253456,16.483516483516482,13.380281690140846
2025,DEBIL,AWAY,22,115,38,38,39,67,48,197,14,868,30,78,5,238,53,284,66,5.2272727272727275,3.0454545454545454,2.1818181818181817,7.106598984771574,22.26890756302521,23.239436619718308
2025,DEBIL,HOME,24,89,45,17,27,63,26,210,13,857,28,73,6,184,34,283,51,3.7083333333333335,2.625,1.0833333333333333,6.190476190476191,18.47826086956522,18.021201413427562
2025,FUERTE,AWAY,29,81,23,31,27,45,36,264,6,1064,20,75,7,248,41,339,67,2.793103448275862,1.5517241379310345,1.2413793103448276,2.272727272727273,16.532258064516128,19.764011799410028
2025,FUERTE,HOME,34,160,49,60,51,88,72,293,20,1252,42,113,8,332,70,399,86,4.705882352941177,2.588235294117647,2.1176470588235294,6.825938566552901,21.08433734939759,21.55388471177945
2025,MEDIO,AWAY,30,128,47,40,41,77,51,273,14,1137,32,100,3,282,53,371,67,4.266666666666667,2.566666666666667,1.7,5.128205128205129,18.79432624113475,18.059299191374663
2025,MEDIO,HOME,23,74,21,32,21,37,37,198,7,815,13,59,8,207,43,244,43,3.217391304347826,1.608695652173913,1.608695652173913,3.5353535353535355,20.77294685990338,17.62295081967213
2026_CUTOFF,DEBIL,AWAY,16,76,28,31,17,58,18,146,11,643,19,65,4,192,33,211,38,4.75,3.625,1.125,7.534246575342466,17.1875,18.009478672985782
2026_CUTOFF,DEBIL,HOME,19,122,40,36,46,51,71,163,12,737,26,72,7,224,54,238,58,6.421052631578948,2.6842105263157894,3.736842105263158,7.361963190184049,24.107142857142858,24.369747899159663
2026_CUTOFF,FUERTE,AWAY,19,66,29,21,16,49,17,173,8,699,26,53,3,143,23,222,38,3.473684210526316,2.5789473684210527,0.8947368421052632,4.624277456647399,16.083916083916083,17.117117117117118
2026_CUTOFF,FUERTE,HOME,20,76,21,22,33,40,36,175,6,712,26,50,2,163,30,226,47,3.8,2.0,1.8,3.4285714285714284,18.404907975460123,20.79646017699115
2026_CUTOFF,MEDIO,AWAY,18,101,48,24,29,67,34,162,13,700,22,69,1,169,40,217,47,5.611111111111111,3.7222222222222223,1.8888888888888888,8.024691358024691,23.668639053254438,21.658986175115206
2026_CUTOFF,MEDIO,HOME,9,42,17,14,11,26,16,80,3,336,12,33,2,95,20,102,20,4.666666666666667,2.888888888888889,1.7777777777777777,3.75,21.05263157894737,19.607843137254903
