PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,746821,669373,STARTER,18,3,0,0,0,0,6,21
2024,746821,571946,BULLPEN,3,0,0,0,0,0,1,3
2024,746821,605177,BULLPEN,4,0,0,0,0,0,2,4
2024,746821,671345,BULLPEN,2,0,0,0,0,0,2,2
2024,746818,628317,STARTER,10,7,6,3,1,0,2,17
2024,746818,656412,BULLPEN,5,1,0,0,0,0,1,5
2024,746818,663947,BULLPEN,3,1,0,0,0,0,1,4
2024,746818,656638,BULLPEN,1,0,0,0,3,0,1,4
2024,746818,676684,BULLPEN,5,1,0,0,0,0,1,6
2024,746818,571946,BULLPEN,6,0,0,0,0,0,1,6
2024,746815,656427,STARTER,18,4,1,1,0,1,7,23
2024,746815,605177,BULLPEN,3,1,1,1,1,0,0,4
2024,746815,663947,BULLPEN,4,0,0,0,0,0,4,4
2024,746815,671345,BULLPEN,2,0,0,0,0,0,0,2
2024,745842,681857,STARTER,17,3,0,0,2,1,3,22
2024,745842,676684,BULLPEN,1,0,0,0,0,0,0,1
2024,745842,656412,BULLPEN,6,1,0,0,1,0,3,8
2024,745842,671345,BULLPEN,3,1,0,0,0,0,2,4
2024,745842,571946,BULLPEN,3,0,0,0,0,0,0,3
2024,745843,666159,STARTER,17,0,0,0,4,0,3,21
2024,745843,663947,BULLPEN,6,1,0,0,0,0,1,7
2024,745843,656412,BULLPEN,2,2,2,1,1,0,1,5
2024,745844,663554,STARTER,13,5,3,0,2,1,4,21
2024,745844,666214,BULLPEN,5,1,0,0,1,1,1,8
2024,745844,656638,BULLPEN,3,0,0,0,1,0,2,4
2024,745844,605177,BULLPEN,3,0,0,0,0,0,1,3
2024,745844,671345,BULLPEN,3,0,0,0,2,0,1,4
2024,745844,571946,BULLPEN,6,0,0,0,2,0,4,8
2024,746497,669373,STARTER,19,4,4,2,2,0,9,25
2024,746497,676684,BULLPEN,2,1,0,0,1,0,1,4
2024,746497,671345,BULLPEN,3,0,0,0,0,0,2,3
2024,746497,605177,BULLPEN,2,0,0,0,2,0,1,4
2024,746497,656638,BULLPEN,1,0,0,0,0,0,1,1
2024,746498,628317,STARTER,17,2,3,1,4,0,3,22
2024,746498,666214,BULLPEN,5,2,1,0,1,0,3,8
2024,746498,676684,BULLPEN,5,1,0,0,1,0,2,7
2024,746493,656427,STARTER,18,9,6,1,1,1,5,28
2024,746493,656412,BULLPEN,6,2,0,0,1,0,0,9
2024,746493,656638,BULLPEN,3,3,1,0,0,0,0,5
2024,745520,681857,STARTER,13,9,6,0,3,1,3,26
2024,745520,663947,BULLPEN,3,2,1,1,1,0,0,5
2024,745520,676684,BULLPEN,2,0,0,0,0,0,0,1
2024,745520,666214,BULLPEN,6,1,0,0,0,1,2,8
2024,745517,663554,STARTER,15,5,2,1,1,0,2,21
2024,745517,663947,BULLPEN,3,1,1,1,0,0,1,4
