PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,746821,676979,STARTER,3
2024,746818,647336,STARTER,1
2024,746818,647336,STARTER,1
2024,746818,647336,STARTER,1
2024,746818,647336,STARTER,5
2024,746818,608678,BULLPEN,7
2024,746818,608678,BULLPEN,7
2024,746818,665620,BULLPEN,10
2024,746815,607200,STARTER,4
2024,746815,607200,STARTER,5
2024,746815,621051,BULLPEN,9
2024,745842,543859,BULLPEN,10
2024,745842,543859,BULLPEN,10
2024,745842,543859,BULLPEN,10
2024,745842,543859,BULLPEN,10
2024,745842,543859,BULLPEN,10
2024,745843,676130,STARTER,2
2024,745844,605288,STARTER,6
2024,745844,622098,BULLPEN,7
2024,745844,493603,BULLPEN,8
2024,745844,543859,BULLPEN,11
2024,745844,543859,BULLPEN,11
2024,745844,543859,BULLPEN,11
2024,746497,676664,STARTER,4
2024,746497,676664,STARTER,4
2024,746497,676664,STARTER,4
2024,746497,676664,STARTER,6
2024,746497,668674,BULLPEN,8
2024,746493,666205,BULLPEN,8
2024,745520,656605,STARTER,1
2024,745520,656605,STARTER,4
2024,745520,676596,BULLPEN,8
2024,745520,656924,BULLPEN,9
2024,745517,527048,STARTER,1
2024,745517,670280,BULLPEN,9
2024,745517,670280,BULLPEN,9
2024,745517,670280,BULLPEN,9
2024,745517,670280,BULLPEN,9
2024,746491,641154,STARTER,1
2024,746491,641154,STARTER,4
2024,746491,641154,STARTER,5
2024,746491,641154,STARTER,5
2024,746491,641154,STARTER,5
2024,746491,543859,BULLPEN,6
2024,746491,543859,BULLPEN,6
2024,746491,543351,BULLPEN,8
2024,746489,657746,STARTER,1
2024,746489,657746,STARTER,1
2024,746489,657746,STARTER,6
2024,746489,660896,BULLPEN,11
2024,746489,543351,BULLPEN,12
2024,746490,680573,STARTER,2
2024,746492,573204,BULLPEN,8
2024,746492,573204,BULLPEN,8
2024,746492,573204,BULLPEN,8
2024,746492,643377,BULLPEN,8
2024,746486,592351,STARTER,3
2024,746486,592351,STARTER,6
2024,746486,570632,BULLPEN,8
2024,746486,656641,BULLPEN,8
2024,746487,641540,STARTER,2
2024,746487,641540,STARTER,6
2024,746487,643493,BULLPEN,7
2024,746487,502085,BULLPEN,8
2024,746485,683004,STARTER,2
2024,746485,683004,STARTER,2
2024,746485,683004,STARTER,2
2024,746485,683004,STARTER,2
2024,746485,683004,STARTER,4
2024,746485,683004,STARTER,4
2024,746485,683004,STARTER,4
2024,745922,657746,STARTER,1
2024,745922,657746,STARTER,3
2024,745922,657746,STARTER,3
2024,745922,657746,STARTER,6
2024,745922,573204,BULLPEN,9
2024,745921,641927,STARTER,6
2024,745921,595345,BULLPEN,7
2024,745921,681892,BULLPEN,8
2024,745920,686973,STARTER,1
2024,745920,686973,STARTER,1
2024,745920,686973,STARTER,3
2024,745920,686973,STARTER,3
2024,745920,543351,BULLPEN,7
2024,745920,573204,BULLPEN,9
2024,745107,641793,STARTER,1
2024,745107,641793,STARTER,2
2024,745107,641793,STARTER,2
2024,745107,641793,STARTER,5
2024,745107,641793,STARTER,5
2024,745107,641793,STARTER,6
2024,745107,606965,BULLPEN,7
