PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,26,144,27,54,63,76,68,241,18,1047,24,77,4,287,79,350,87,5.538461538461538,2.923076923076923,2.6153846153846154,7.468879668049793,27.526132404181183,24.857142857142858
2024,DEBIL,HOME,30,124,44,50,30,75,49,258,20,1076,32,89,5,245,51,340,70,4.133333333333334,2.5,1.6333333333333333,7.751937984496124,20.816326530612244,20.58823529411765
2024,FUERTE,AWAY,31,115,42,42,31,73,42,281,12,1166,28,91,4,269,53,390,69,3.7096774193548385,2.3548387096774195,1.3548387096774193,4.270462633451957,19.702602230483272,17.692307692307693
2024,FUERTE,HOME,28,116,44,40,32,67,49,244,11,1022,26,85,9,224,53,336,78,4.142857142857143,2.392857142857143,1.75,4.508196721311475,23.660714285714285,23.214285714285715
2024,MEDIO,AWAY,24,92,35,18,39,55,37,218,8,884,30,65,5,174,40,300,68,3.8333333333333335,2.2916666666666665,1.5416666666666667,3.669724770642202,22.988505747126435,22.666666666666668
2024,MEDIO,HOME,23,91,29,28,34,49,42,202,9,837,22,69,5,190,37,264,52,3.9565217391304346,2.130434782608696,1.826086956521739,4.455445544554456,19.473684210526315,19.696969696969695
2025,DEBIL,AWAY,36,188,70,48,70,99,89,331,27,1415,42,112,6,340,83,472,101,5.222222222222222,2.75,2.4722222222222223,8.157099697885196,24.41176470588235,21.39830508474576
2025,DEBIL,HOME,24,139,53,56,30,90,49,200,18,890,37,79,4,220,53,289,75,5.791666666666667,3.75,2.0416666666666665,9.0,24.09090909090909,25.951557093425606
2025,FUERTE,AWAY,30,90,35,29,26,65,25,271,9,1091,32,86,5,198,35,352,59,3.0,2.1666666666666665,0.8333333333333334,3.321033210332103,17.67676767676768,16.761363636363637
2025,FUERTE,HOME,32,149,51,59,39,98,51,279,17,1189,37,106,6,310,67,365,67,4.65625,3.0625,1.59375,6.093189964157706,21.612903225806452,18.356164383561644
2025,MEDIO,AWAY,15,82,23,15,44,36,46,136,6,600,20,56,1,168,32,193,35,5.466666666666667,2.4,3.066666666666667,4.411764705882353,19.047619047619047,18.134715025906736
2025,MEDIO,HOME,25,110,28,40,42,63,47,215,13,914,30,72,4,213,49,306,73,4.4,2.52,1.88,6.046511627906977,23.004694835680752,23.856209150326798
2026_CUTOFF,DEBIL,AWAY,16,64,24,13,27,35,29,144,8,619,21,55,6,163,24,197,36,4.0,2.1875,1.8125,5.555555555555555,14.723926380368098,18.274111675126903
2026_CUTOFF,DEBIL,HOME,16,86,26,41,19,52,34,136,11,602,29,73,3,145,30,190,35,5.375,3.25,2.125,8.088235294117647,20.689655172413794,18.42105263157895
2026_CUTOFF,FUERTE,AWAY,15,76,34,23,19,47,29,138,10,596,23,49,3,160,30,200,46,5.066666666666666,3.1333333333333333,1.9333333333333333,7.246376811594203,18.75,23.0
2026_CUTOFF,FUERTE,HOME,19,67,25,20,22,44,23,166,6,685,18,64,2,140,28,217,44,3.526315789473684,2.3157894736842106,1.2105263157894737,3.6144578313253013,20.0,20.276497695852534
2026_CUTOFF,MEDIO,AWAY,21,76,34,21,21,45,31,192,10,795,18,66,4,175,34,260,48,3.619047619047619,2.142857142857143,1.4761904761904763,5.208333333333333,19.428571428571427,18.46153846153846
2026_CUTOFF,MEDIO,HOME,15,64,16,30,18,34,30,130,7,550,16,51,2,117,33,179,39,4.266666666666667,2.2666666666666666,2.0,5.384615384615385,28.205128205128204,21.787709497206706
