lookup_key,game_pk,pitcher_id,pitcher_name,entry_inning,entry_half,first_play_index,last_play_index,pbp_pitches,boxscore_np,pitch_count_match,qa_status
822829|Anthony Banda,822829,607455,Anthony Banda,5,Bot,45,56,36,36,True,QA_VALIDATED
822829|Braydon Fisher,822829,680755,Braydon Fisher,8,Top,67,78,32,32,True,QA_VALIDATED
822829|Joe Mantiply,822829,573009,Joe Mantiply,5,Top,44,50,15,15,True,QA_VALIDATED
822829|Justin Topa,822829,623437,Justin Topa,8,Bot,71,75,12,12,True,QA_VALIDATED
822829|Louis Varland,822829,686973,Louis Varland,6,Top,51,60,23,23,True,QA_VALIDATED
822829|Taylor Rogers,822829,573124,Taylor Rogers,6,Bot,57,66,30,30,True,QA_VALIDATED
822829|Tommy Nance,822829,667297,Tommy Nance,5,Top,41,43,10,10,True,QA_VALIDATED
822997|Brent Headrick,822997,687396,Brent Headrick,6,Bot,47,50,16,16,True,QA_VALIDATED
822997|Bryan Baker,822997,641329,Bryan Baker,9,Top,69,73,16,16,True,QA_VALIDATED
822997|Camilo Doval,822997,666808,Camilo Doval,6,Bot,51,53,8,8,True,QA_VALIDATED
822997|Griffin Jax,822997,643377,Griffin Jax,6,Top,44,46,13,13,True,QA_VALIDATED
822997|Hunter Bigge,822997,685801,Hunter Bigge,8,Top,61,64,14,14,True,QA_VALIDATED
822997|Ian Seymour,822997,693855,Ian Seymour,7,Top,54,56,17,17,True,QA_VALIDATED
822997|Jake Bird,822997,656234,Jake Bird,5,Bot,39,43,20,20,True,QA_VALIDATED
822997|Ryan Yarbrough,822997,642232,Ryan Yarbrough,7,Bot,57,68,28,28,True,QA_VALIDATED
823076|Greg Weissert,823076,669711,Greg Weissert,6,Bot,53,59,18,18,True,QA_VALIDATED
823076|JoJo Romero,823076,668941,JoJo Romero,8,Top,60,64,21,21,True,QA_VALIDATED
823076|Jovani Morán,823076,663558,Jovani Morán,8,Bot,65,69,17,17,True,QA_VALIDATED
823076|Riley O'Brien,823076,676617,Riley O'Brien,9,Top,70,72,8,8,True,QA_VALIDATED
823076|Ryne Stanek,823076,592773,Ryne Stanek,7,Top,54,56,10,10,True,QA_VALIDATED
823076|Tyler Samaniego,823076,701719,Tyler Samaniego,6,Bot,49,52,22,22,True,QA_VALIDATED
823076|Zack Kelly,823076,677161,Zack Kelly,5,Bot,41,45,18,18,True,QA_VALIDATED
823156|Andrés Muñoz,823156,662253,Andrés Muñoz,9,Top,76,80,25,25,True,QA_VALIDATED
823156|Cole Wilcox,823156,677961,Cole Wilcox,8,Top,66,70,18,18,True,QA_VALIDATED
823156|Eduard Bazardo,823156,660825,Eduard Bazardo,7,Top,55,57,17,17,True,QA_VALIDATED
823156|Enyel De Los Santos,823156,660853,Enyel De Los Santos,8,Bot,72,75,10,10,True,QA_VALIDATED
823156|Gabe Speier,823156,642100,Gabe Speier,6,Top,47,50,12,12,True,QA_VALIDATED
823156|J.P. France,823156,641585,J.P. France,5,Bot,44,65,59,59,True,QA_VALIDATED
823156|Matt Brash,823156,666374,Matt Brash,8,Top,71,71,4,4,True,QA_VALIDATED
823156|Ryan Weiss,823156,680802,Ryan Weiss,3,Bot,25,43,64,64,True,QA_VALIDATED
823156|Steven Okert,823156,595345,Steven Okert,1,Bot,10,21,21,21,True,QA_VALIDATED
823318|Adrian Morejon,823318,670970,Adrian Morejon,8,Top,49,54,21,21,True,QA_VALIDATED
823318|Antonio Senzatela,823318,622608,Antonio Senzatela,7,Bot,46,58,31,31,True,QA_VALIDATED
823318|Jaden Hill,823318,677955,Jaden Hill,8,Bot,59,59,2,2,True,QA_VALIDATED
823318|Jason Adam,823318,592094,Jason Adam,8,Top,55,55,5,5,True,QA_VALIDATED
823318|Juan Mejia,823318,675848,Juan Mejia,9,Bot,63,66,18,18,True,QA_VALIDATED
823318|Kyle Hart,823318,606996,Kyle Hart,7,Top,42,45,13,13,True,QA_VALIDATED
823318|Mason Miller,823318,695243,Mason Miller,9,Top,60,62,13,13,True,QA_VALIDATED
823482|Brad Keller,823482,641745,Brad Keller,7,Top,53,55,7,7,True,QA_VALIDATED
823482|Jonathan Bowlan,823482,680742,Jonathan Bowlan,5,Top,42,48,19,19,True,QA_VALIDATED
823482|Jonathan Loáisiga,823482,642528,Jonathan Loáisiga,6,Bot,52,57,15,15,True,QA_VALIDATED
823482|Juan Morillo,823482,666661,Juan Morillo,7,Bot,58,66,26,26,True,QA_VALIDATED
823482|Orion Kerkering,823482,689147,Orion Kerkering,8,Top,59,62,13,13,True,QA_VALIDATED
823482|Paul Sewald,823482,623149,Paul Sewald,9,Bot,71,74,9,9,True,QA_VALIDATED
823482|Tanner Banks,823482,621383,Tanner Banks,9,Top,67,70,14,14,True,QA_VALIDATED
823643|Elvis Alvarado,823643,665660,Elvis Alvarado,9,Bot,66,69,20,20,True,QA_VALIDATED
823643|Jack Perkins,823643,678022,Jack Perkins,6,Bot,43,57,30,30,True,QA_VALIDATED
823643|Mark Leiter Jr.,823643,643410,Mark Leiter Jr.,5,Bot,35,38,12,12,True,QA_VALIDATED
823643|Richard Lovelady,823643,663992,Richard Lovelady,9,Top,65,65,5,5,True,QA_VALIDATED
823643|Scott Barlow,823643,605130,Scott Barlow,8,Bot,58,59,8,8,True,QA_VALIDATED
823643|Tobias Myers,823643,668964,Tobias Myers,6,Top,41,64,36,36,True,QA_VALIDATED
823808|Abner Uribe,823808,682842,Abner Uribe,8,Top,57,60,14,14,True,QA_VALIDATED
823808|Angel Zerpa,823808,672582,Angel Zerpa,6,Top,44,53,22,22,True,QA_VALIDATED
823808|Chad Patrick,823808,694477,Chad Patrick,3,Top,20,43,50,50,True,QA_VALIDATED
823808|Cionel Pérez,823808,672335,Cionel Pérez,7,Bot,54,56,14,14,True,QA_VALIDATED
823808|Clayton Beeter,823808,690925,Clayton Beeter,9,Bot,72,74,12,12,True,QA_VALIDATED
823808|Easton McGee,823808,668834,Easton McGee,9,Top,69,71,7,7,True,QA_VALIDATED
823808|PJ Poulin,823808,676571,PJ Poulin,8,Bot,61,63,10,10,True,QA_VALIDATED
823808|Paxton Schultz,823808,687606,Paxton Schultz,6,Bot,45,49,20,20,True,QA_VALIDATED
823808|Trevor Megill,823808,656730,Trevor Megill,9,Top,64,68,9,9,True,QA_VALIDATED
823968|Alex Vesia,823968,681911,Alex Vesia,7,Top,51,54,19,19,True,QA_VALIDATED
823968|Edwin Díaz,823968,621242,Edwin Díaz,9,Top,69,76,23,23,True,QA_VALIDATED
823968|Jacob Latz,823968,656641,Jacob Latz,9,Bot,77,79,16,16,True,QA_VALIDATED
823968|Jalen Beeks,823968,656222,Jalen Beeks,7,Bot,55,58,18,18,True,QA_VALIDATED
823968|Luis Curvelo,823968,681168,Luis Curvelo,8,Bot,62,68,21,21,True,QA_VALIDATED
823968|Robert Garcia,823968,676395,Robert Garcia,6,Bot,45,50,25,25,True,QA_VALIDATED
823968|Tanner Scott,823968,656945,Tanner Scott,8,Top,59,61,10,10,True,QA_VALIDATED
824128|Duncan Davitt,824128,701474,Duncan Davitt,8,Bot,53,55,14,14,True,QA_VALIDATED
824128|Lucas Erceg,824128,668674,Lucas Erceg,9,Top,56,58,10,10,True,QA_VALIDATED
824128|Matt Strahm,824128,621381,Matt Strahm,8,Top,50,52,7,7,True,QA_VALIDATED
824297|Brant Hurter,824297,676428,Brant Hurter,7,Top,46,48,10,10,True,QA_VALIDATED
824297|Kenley Jansen,824297,445276,Kenley Jansen,9,Top,60,62,12,12,True,QA_VALIDATED
824297|Kyle Finnegan,824297,640448,Kyle Finnegan,8,Top,52,54,12,12,True,QA_VALIDATED
824297|Lake Bachar,824297,669199,Lake Bachar,7,Bot,49,59,34,34,True,QA_VALIDATED
824534|Connor Phillips,824534,683175,Connor Phillips,6,Top,47,56,24,24,True,QA_VALIDATED
824534|Kyle Nicolas,824534,693312,Kyle Nicolas,8,Top,63,68,29,29,True,QA_VALIDATED
824534|Mitch Farris,824534,815083,Mitch Farris,8,Bot,69,80,37,37,True,QA_VALIDATED
824534|P.J. Higgins,824534,664731,P.J. Higgins,9,Top,74,76,10,10,True,QA_VALIDATED
824534|Sam Moll,824534,594580,Sam Moll,8,Top,60,62,16,16,True,QA_VALIDATED
824695|Caleb Thielbar,824695,573204,Caleb Thielbar,7,Top,45,49,21,21,True,QA_VALIDATED
824695|Dennis Santana,824695,642701,Dennis Santana,9,Bot,66,68,13,13,True,QA_VALIDATED
824695|Ethan Roberts,824695,681799,Ethan Roberts,7,Top,50,57,17,17,True,QA_VALIDATED
824695|Gregory Soto,824695,642397,Gregory Soto,8,Bot,58,62,24,24,True,QA_VALIDATED
824695|Isaac Mattson,824695,676755,Isaac Mattson,7,Bot,51,54,12,12,True,QA_VALIDATED
824695|Mason Montgomery,824695,682254,Mason Montgomery,6,Bot,42,44,17,17,True,QA_VALIDATED
824695|Riley Martin,824695,702303,Riley Martin,9,Top,63,65,13,13,True,QA_VALIDATED
824858|Albert Suárez,824858,544150,Albert Suárez,8,Top,62,73,18,18,True,QA_VALIDATED
824858|Blade Tidwell,824858,694918,Blade Tidwell,9,Bot,74,79,18,18,True,QA_VALIDATED
824858|JT Brubaker,824858,664141,JT Brubaker,8,Bot,65,68,15,15,True,QA_VALIDATED
824858|Keaton Winn,824858,676775,Keaton Winn,7,Bot,59,61,11,11,True,QA_VALIDATED
824858|Matt Gage,824858,657424,Matt Gage,8,Bot,69,69,2,2,True,QA_VALIDATED
824858|Nick Raquet,824858,675919,Nick Raquet,7,Top,53,58,25,25,True,QA_VALIDATED
