date,game_pk,pitcher_id,pitcher_name,team,all_positions,batting_order,reason,review_status
2026-03-28,824945,608032,Carlos Estévez,KC,P,601,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED
2026-03-29,822837,669372,J.T. Ginn,ATH,P,802,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED
2026-03-29,823810,656730,Trevor Megill,MIL,P,402,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED
2026-04-02,825105,543510,James McCann,AZ,PH|P,201,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED
2026-04-03,825103,663158,Robert Suarez,ATL,P,601,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED
2026-04-03,825103,628452,Raisel Iglesias,ATL,P,603,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED
2026-04-04,824378,680767,Victor Vodnik,COL,P,202,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED
2026-04-04,824782,547973,Aroldis Chapman,BOS,P,302,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED
2026-04-05,823238,596133,Luke Weaver,NYM,P,901,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED
2026-04-05,823238,642207,Devin Williams,NYM,P,902,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED
2026-04-05,824053,642100,Gabe Speier,SEA,P,802,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED
2026-04-06,822832,623168,Tyler Heineman,TOR,C|P,800,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED
2026-04-09,823565,621112,Paul Blackburn,NYY,P,601,NONSTARTER_WITH_BATTING_ORDER_OR_NON_P_POSITION,REVIEW_REQUIRED
