date,expected_games,pbp_games,game_delta,pbp_pitch_rows,box_pitch_sum,pitch_delta,pbp_pitchers,box_pitchers,exact_pitch_matches,pitch_mismatches,only_one_source,team_line_failures,classification_candidates,pbp_file,data_qa
2026-03-25,1,1,0,258,258,0,8,8,8,0,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-03-25.parquet,PASS
2026-03-26,11,11,0,3297,3297,0,105,105,105,0,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-03-26.parquet,PASS
2026-03-27,8,8,0,2246,2246,0,70,70,70,0,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-03-27.parquet,PASS
2026-03-28,15,15,0,4759,4759,0,157,157,157,0,0,1,1,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-03-28.parquet,QA_REVIEW
2026-03-29,12,12,0,3647,3647,0,106,106,106,0,0,0,2,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-03-29.parquet,PASS
2026-03-30,15,15,0,4333,4334,-1,119,119,116,3,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-03-30.parquet,QA_REVIEW
2026-03-31,14,14,0,3995,3995,0,107,107,105,2,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-03-31.parquet,QA_REVIEW
2026-04-01,15,15,0,4425,4425,0,129,129,129,0,0,1,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-01.parquet,QA_REVIEW
2026-04-02,4,4,0,1233,1233,0,33,33,33,0,0,1,1,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-02.parquet,QA_REVIEW
2026-04-03,15,15,0,4461,4461,0,129,129,127,2,0,0,2,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-03.parquet,QA_REVIEW
2026-04-04,16,16,0,4948,4948,0,143,143,143,0,0,0,2,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-04.parquet,PASS
2026-04-05,16,16,0,5028,5028,0,153,153,151,2,0,0,3,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-05.parquet,QA_REVIEW
2026-04-06,13,13,0,3786,3786,0,106,106,106,0,0,0,1,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-06.parquet,PASS
2026-04-07,15,15,0,4502,4502,0,126,126,124,2,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-07.parquet,QA_REVIEW
2026-04-08,15,15,0,4476,4476,0,126,126,126,0,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-08.parquet,PASS
2026-04-09,6,6,0,1755,1756,-1,45,45,44,1,0,0,1,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-09.parquet,QA_REVIEW
2026-04-10,15,15,0,4300,4300,0,132,132,132,0,0,0,0,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-10.parquet,PASS
