date,game_pk,team,sum_bf,sum_outs,sum_r,sum_er,sum_h,sum_bb,sum_k,sum_hr,team_bf,team_outs,team_r,team_er,team_h,team_bb,team_k,team_hr,team_line_match
2026-03-25,823244,NYY,34,27,0,0,3,2,6,0,34,27,0,0,3,2,6,0,True
2026-03-25,823244,SF,40,27,7,6,10,3,12,0,40,27,7,6,10,3,12,0,True
2026-03-26,823081,TB,40,24,9,9,14,1,3,2,40,24,9,9,14,1,3,2,True
2026-03-26,823081,STL,50,27,7,7,17,6,5,1,50,27,7,7,17,6,5,1,True
2026-03-26,823163,CLE,34,27,4,4,6,2,14,4,34,27,4,4,6,2,14,4,True
2026-03-26,823163,SEA,41,27,6,6,12,2,11,2,41,27,6,6,12,2,11,2,True
2026-03-26,823325,DET,36,27,2,1,5,3,7,1,36,27,2,1,5,3,7,1,True
2026-03-26,823325,SD,43,27,8,8,12,4,10,1,43,27,8,8,12,4,10,1,True
2026-03-26,823486,TEX,36,24,5,5,10,1,10,2,36,24,5,5,10,1,10,2,True
2026-03-26,823486,PHI,36,27,3,3,8,1,11,1,36,27,3,3,8,1,11,1,True
2026-03-26,823649,PIT,45,24,11,11,11,9,10,2,45,24,11,11,11,9,10,2,True
2026-03-26,823649,NYM,37,27,7,7,10,0,10,3,37,27,7,7,10,0,10,3,True
2026-03-26,823812,CWS,45,24,14,13,12,10,3,2,45,24,14,13,12,10,3,2,True
2026-03-26,823812,MIL,36,27,2,2,4,5,20,2,36,27,2,2,4,5,20,2,True
2026-03-26,823974,AZ,40,24,8,8,10,5,4,2,40,24,8,8,10,5,4,2,True
2026-03-26,823974,LAD,31,27,2,2,6,0,8,1,31,27,2,2,6,0,8,1,True
2026-03-26,824218,LAA,36,27,0,0,3,6,9,0,36,27,0,0,3,6,9,0,True
2026-03-26,824218,HOU,43,27,3,3,9,6,14,2,43,27,3,3,9,6,14,2,True
2026-03-26,824541,BOS,35,27,0,0,4,3,12,0,35,27,0,0,4,3,12,0,True
2026-03-26,824541,CIN,40,27,3,3,12,3,7,0,40,27,3,3,12,3,7,0,True
2026-03-26,824704,WSH,40,27,4,3,8,6,9,0,40,27,4,3,8,6,9,0,True
2026-03-26,824704,CHC,40,27,10,8,11,2,12,3,40,27,10,8,11,2,12,3,True
2026-03-26,824865,MIN,32,24,2,2,5,3,8,0,32,24,2,2,5,3,8,0,True
2026-03-26,824865,BAL,35,27,1,1,5,4,9,0,35,27,1,1,5,4,9,0,True
2026-03-27,822839,ATH,36,26,3,3,7,4,3,0,36,26,3,3,7,4,3,0,True
2026-03-27,822839,TOR,32,27,2,2,3,2,16,2,32,27,2,2,3,2,16,2,True
2026-03-27,823162,CLE,33,24,5,5,3,7,10,2,33,24,5,5,3,7,10,2,True
2026-03-27,823162,SEA,34,27,1,1,4,3,9,1,34,27,1,1,4,3,9,1,True
2026-03-27,823243,NYY,30,27,0,0,1,2,13,0,30,27,0,0,1,2,13,0,True
2026-03-27,823243,SF,37,27,3,3,8,3,7,2,37,27,3,3,8,3,7,2,True
2026-03-27,823324,DET,36,27,2,1,8,2,12,0,36,27,2,1,8,2,12,0,True
2026-03-27,823324,SD,40,27,5,4,6,8,9,0,40,27,5,4,6,8,9,0,True
2026-03-27,823893,COL,35,24,2,2,8,2,4,0,35,24,2,2,8,2,4,0,True
2026-03-27,823893,MIA,34,27,1,0,7,2,9,0,34,27,1,0,7,2,9,0,True
2026-03-27,823971,AZ,31,24,5,5,4,3,5,2,31,24,5,5,4,3,5,2,True
2026-03-27,823971,LAD,37,27,4,4,8,4,12,1,37,27,4,4,8,4,12,1,True
2026-03-27,824216,LAA,38,27,2,2,8,3,10,1,38,27,2,2,8,3,10,1,True
2026-03-27,824216,HOU,42,27,6,6,11,6,11,3,42,27,6,6,11,6,11,3,True
2026-03-27,824946,KC,38,24,6,6,11,4,10,3,38,24,6,6,11,4,10,3,True
2026-03-27,824946,ATL,34,27,0,0,5,3,8,0,34,27,0,0,5,3,8,0,True
2026-03-28,822838,ATH,52,31,8,6,14,8,7,1,52,31,8,6,14,8,7,1,True
2026-03-28,822838,TOR,45,33,7,6,8,5,19,1,45,33,7,6,8,5,19,1,True
2026-03-28,823082,TB,37,28,6,4,6,2,8,0,37,28,6,4,6,2,8,0,True
2026-03-28,823082,STL,39,30,5,4,7,3,8,0,39,30,5,4,7,3,8,0,True
2026-03-28,823161,CLE,45,30,5,4,9,7,12,1,45,30,5,4,9,7,12,1,True
2026-03-28,823161,SEA,41,30,6,5,8,3,13,1,41,30,6,5,8,3,13,1,True
2026-03-28,823241,NYY,35,27,1,1,9,3,8,0,35,27,1,1,9,3,8,0,True
2026-03-28,823241,SF,35,27,3,3,7,2,10,1,35,27,3,3,7,2,10,1,True
2026-03-28,823323,DET,35,24,3,2,7,4,6,0,35,24,3,2,7,4,6,0,True
2026-03-28,823323,SD,33,27,0,0,2,4,13,0,33,27,0,0,2,4,13,0,True
2026-03-28,823488,TEX,40,30,4,0,5,3,11,0,40,30,4,0,5,3,11,0,True
2026-03-28,823488,PHI,42,30,5,4,10,3,13,2,42,30,5,4,10,3,13,2,True
2026-03-28,823651,PIT,41,30,4,2,6,5,8,1,41,30,4,2,6,5,8,1,True
2026-03-28,823651,NYM,50,33,2,0,12,4,9,0,50,33,2,0,12,4,9,0,True
2026-03-28,823811,CWS,41,24,6,5,12,5,9,0,41,24,6,5,12,5,9,0,True
2026-03-28,823811,MIL,36,27,1,1,7,4,11,1,36,27,1,1,7,4,11,1,True
2026-03-28,823892,COL,36,24,4,4,10,1,7,1,36,24,4,4,10,1,7,1,True
2026-03-28,823892,MIA,34,27,3,3,6,1,10,2,34,27,3,3,6,1,10,2,True
2026-03-28,823973,AZ,32,24,3,2,6,3,6,1,32,24,3,2,6,3,6,1,True
2026-03-28,823973,LAD,33,27,2,2,5,1,7,0,33,27,2,2,5,1,7,0,True
2026-03-28,824213,LAA,44,24,11,5,13,5,12,0,44,24,11,3,13,5,12,0,False
2026-03-28,824213,HOU,40,27,9,9,6,8,8,3,40,27,9,9,6,8,8,3,True
2026-03-28,824540,BOS,49,31,6,4,10,7,12,2,49,31,6,4,10,7,12,2,True
2026-03-28,824540,CIN,47,33,5,5,8,5,15,2,47,33,5,5,8,5,15,2,True
2026-03-28,824701,WSH,41,24,10,8,10,6,7,2,41,24,10,8,10,6,7,2,True
2026-03-28,824701,CHC,32,27,2,2,4,4,6,1,32,27,2,2,4,4,6,1,True
2026-03-28,824862,MIN,39,27,1,1,5,6,16,0,39,27,1,1,5,6,16,0,True
2026-03-28,824862,BAL,35,27,4,3,4,4,10,1,35,27,4,3,4,4,10,1,True
2026-03-28,824945,KC,35,25,6,6,9,4,8,1,35,25,6,6,9,4,8,1,True
2026-03-28,824945,ATL,35,27,2,1,5,3,8,1,35,27,2,1,5,3,8,1,True
2026-03-29,822837,ATH,32,24,5,5,6,3,7,3,32,24,5,5,6,3,7,3,True
2026-03-29,822837,TOR,33,27,2,2,5,1,15,1,33,27,2,2,5,1,15,1,True
2026-03-29,823079,TB,40,27,7,7,11,3,5,3,40,27,7,7,11,3,5,3,True
2026-03-29,823079,STL,48,27,11,11,17,4,6,0,48,27,11,11,17,4,6,0,True
2026-03-29,823160,CLE,42,24,8,7,9,5,8,1,42,24,8,7,9,5,8,1,True
2026-03-29,823160,SEA,29,27,0,0,2,1,14,0,29,27,0,0,2,1,14,0,True
2026-03-29,823487,TEX,37,27,3,3,3,8,10,0,37,27,3,3,3,8,10,0,True
2026-03-29,823487,PHI,39,27,8,8,8,3,10,2,39,27,8,8,8,3,10,2,True
2026-03-29,823647,PIT,40,30,3,2,9,2,16,0,40,30,3,2,9,2,16,0,True
2026-03-29,823647,NYM,45,30,4,3,7,8,12,1,45,30,4,3,7,8,12,1,True
2026-03-29,823810,CWS,42,24,9,9,11,7,12,2,42,24,9,9,11,7,12,2,True
2026-03-29,823810,MIL,39,27,7,7,9,5,12,3,39,27,7,7,9,5,12,3,True
2026-03-29,823891,COL,37,26,4,4,8,5,8,1,37,26,4,4,8,5,8,1,True
2026-03-29,823891,MIA,37,27,3,3,6,2,11,0,37,27,3,3,6,2,11,0,True
2026-03-29,824215,LAA,42,24,9,8,7,9,6,0,42,24,9,8,7,9,6,0,True
2026-03-29,824215,HOU,41,27,7,7,7,8,13,1,41,27,7,7,7,8,13,1,True
2026-03-29,824538,BOS,33,24,3,3,7,4,9,1,33,24,3,3,7,4,9,1,True
2026-03-29,824538,CIN,38,27,2,2,7,6,7,1,38,27,2,2,7,6,7,1,True
2026-03-29,824700,WSH,34,27,3,3,4,2,10,3,34,27,3,3,4,2,10,3,True
2026-03-29,824700,CHC,40,27,6,6,11,3,9,2,40,27,6,6,11,3,9,2,True
2026-03-29,824864,MIN,38,24,8,8,12,5,5,1,38,24,8,8,12,5,5,1,True
2026-03-29,824864,BAL,43,27,6,6,12,5,12,1,43,27,6,6,12,5,12,1,True
2026-03-29,824944,KC,33,27,1,1,7,0,5,1,33,27,1,1,7,0,5,1,True
2026-03-29,824944,ATL,37,27,4,4,7,3,8,1,37,27,4,4,7,3,8,1,True
2026-03-30,822834,COL,38,27,5,5,7,4,9,4,38,27,5,5,7,4,9,4,True
2026-03-30,822834,TOR,49,27,14,13,17,4,10,2,49,27,14,13,17,4,10,2,True
2026-03-30,823080,NYM,34,27,2,2,5,3,9,1,34,27,2,2,5,3,9,1,True
2026-03-30,823080,STL,42,27,4,4,10,5,4,0,42,27,4,4,10,5,4,0,True
2026-03-30,823159,NYY,38,25,2,2,9,3,11,0,38,25,2,2,9,3,11,0,True
2026-03-30,823159,SEA,34,27,1,0,6,2,10,0,34,27,1,0,6,2,10,0,True
2026-03-30,823320,SF,32,27,2,2,3,3,11,1,32,27,2,2,3,3,11,1,True
2026-03-30,823320,SD,36,27,3,3,6,3,7,1,36,27,3,3,6,3,7,1,True
2026-03-30,823484,WSH,39,27,2,2,7,2,9,1,39,27,2,2,7,2,9,1,True
2026-03-30,823484,PHI,50,27,13,12,17,5,6,0,50,27,13,12,17,5,6,0,True
2026-03-30,823809,TB,36,27,2,2,6,2,7,1,36,27,2,2,6,2,7,1,True
2026-03-30,823809,MIL,35,27,3,3,7,2,14,2,35,27,3,3,7,2,14,2,True
2026-03-30,823890,CWS,38,27,4,4,8,4,12,1,38,27,4,4,8,4,12,1,True
2026-03-30,823890,MIA,39,27,9,9,9,2,10,2,39,27,9,9,9,2,10,2,True
2026-03-30,823972,CLE,33,27,2,2,9,0,6,0,33,27,2,2,9,0,6,0,True
2026-03-30,823972,LAD,39,27,4,4,9,3,8,0,39,27,4,4,9,3,8,0,True
2026-03-30,824135,MIN,32,24,3,3,7,2,7,2,32,24,3,3,7,2,7,2,True
2026-03-30,824135,KC,32,27,1,1,4,3,6,1,32,27,1,1,4,3,6,1,True
2026-03-30,824214,BOS,38,24,8,8,13,2,6,4,38,24,8,8,13,2,6,4,True
2026-03-30,824214,HOU,31,27,1,1,4,2,12,0,31,27,1,1,4,2,12,0,True
2026-03-30,824539,PIT,32,24,2,2,4,5,7,0,32,24,2,2,4,5,7,0,True
2026-03-30,824539,CIN,35,27,0,0,4,5,11,0,35,27,0,0,4,5,11,0,True
2026-03-30,824702,LAA,39,24,7,7,9,7,5,1,39,24,7,7,9,7,5,1,True
2026-03-30,824702,CHC,32,27,2,2,5,1,9,1,32,27,2,2,5,1,9,1,True
2026-03-30,824863,TEX,35,27,2,2,7,1,11,1,35,27,2,2,7,1,11,1,True
2026-03-30,824863,BAL,44,27,5,5,10,5,11,0,44,27,5,5,10,5,11,0,True
2026-03-30,824943,ATH,36,24,4,4,10,5,4,0,36,24,4,4,10,5,4,0,True
2026-03-30,824943,ATL,34,27,0,0,7,1,7,0,34,27,0,0,7,1,7,0,True
2026-03-30,825108,DET,42,24,9,9,11,6,3,2,42,24,9,9,11,6,3,2,True
2026-03-30,825108,AZ,41,27,6,6,10,4,14,0,41,27,6,6,10,4,14,0,True
2026-03-31,822836,COL,40,24,5,5,14,4,10,0,40,24,5,5,14,4,10,0,True
2026-03-31,822836,TOR,33,27,1,1,7,1,6,1,33,27,1,1,7,1,6,1,True
