game_pk,official_date,game_dt,query_dates
822706,2026-07-26,2026-07-26T17:35:00Z,2026-07-26
822870,2026-07-26,2026-07-26T18:35:00Z,2026-07-26
822950,2026-07-26,2026-07-26T16:15:00Z,2026-07-26
823028,2026-07-26,2026-07-26T18:15:00Z,2026-07-26
823194,2026-07-26,2026-07-26T20:05:00Z,2026-07-26
823354,2026-07-26,2026-07-26T17:35:00Z,2026-07-26
823433,2026-07-26,2026-07-26T23:20:00Z,2026-07-26
823599,2026-07-26,2026-07-26T17:40:00Z,2026-07-26
823678,2026-07-26,2026-07-26T18:10:00Z,2026-07-26
823755,2026-07-26,2026-07-26T18:10:00Z,2026-07-26
823840,2026-07-26,2026-07-26T17:40:00Z,2026-07-26
824246,2026-07-26,2026-07-26T17:40:00Z,2026-07-26
824572,2026-07-26,2026-07-26T18:10:00Z,2026-07-26
824730,2026-07-26,2026-07-26T17:35:00Z,2026-07-26
824810,2026-07-26,2026-07-26T17:35:00Z,2026-07-26
