pitcher_id,pbp_pitches,entry_inning,first_play_index,last_play_index,first_pitch_row,last_pitch_row,entry_half,game_pk,pbp_source,fallback_used,date,game_date_time,team,opp,home_away,pitcher_name,games_pitched,games_started,is_starter,role,boxscore_np,bf,outs,r,er,h,bb,k,hr,boxscore_source,_merge,pitch_count_match,physical_appearance,primary_position,primary_position_name,pitcher_class,line_stats_match,qa_status
594580,12,6,48,50,179,190,Bot,822701,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-08.parquet,False,2026-08-08,2026-08-08T22:45:00Z,CIN,WSH,A,Sam Moll,1,0,False,RELIEF_OR_BULK,12,3,2,1,1,2,0,0,0,https://statsapi.mlb.com/api/v1.1/game/822701/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V119
668820,9,6,40,42,147,155,Top,822701,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-08.parquet,False,2026-08-08,2026-08-08T22:45:00Z,WSH,CIN,H,Max Kranick,1,0,False,RELIEF_OR_BULK,9,3,2,1,1,1,0,0,1,https://statsapi.mlb.com/api/v1.1/game/822701/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V119
672442,12,7,51,55,191,202,Top,822701,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-08.parquet,False,2026-08-08,2026-08-08T22:45:00Z,WSH,CIN,H,Yovanny Cruz,1,0,False,RELIEF_OR_BULK,12,5,3,0,0,1,1,1,0,https://statsapi.mlb.com/api/v1.1/game/822701/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V119
674841,73,1,0,39,1,146,Top,822701,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-08.parquet,False,2026-08-08,2026-08-08T22:45:00Z,WSH,CIN,H,Andrew Alvarez,1,1,True,STARTER,73,20,16,1,1,3,1,2,0,https://statsapi.mlb.com/api/v1.1/game/822701/feed/live,both,True,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V119
676680,13,9,70,72,258,270,Top,822701,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-08.parquet,False,2026-08-08,2026-08-08T22:45:00Z,WSH,CIN,H,Tom Cosgrove,1,0,False,RELIEF_OR_BULK,13,3,3,0,0,0,0,2,0,https://statsapi.mlb.com/api/v1.1/game/822701/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V119
676760,38,7,56,69,203,257,Bot,822701,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-08.parquet,False,2026-08-08,2026-08-08T22:45:00Z,CIN,WSH,A,Ron Marinaccio,1,0,False,RELIEF_OR_BULK,38,9,6,2,2,2,1,1,0,https://statsapi.mlb.com/api/v1.1/game/822701/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V119
690925,17,8,59,62,212,228,Top,822701,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-08.parquet,False,2026-08-08,2026-08-08T22:45:00Z,WSH,CIN,H,Clayton Beeter,1,0,False,RELIEF_OR_BULK,17,4,3,0,0,0,1,1,0,https://statsapi.mlb.com/api/v1.1/game/822701/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V119
695505,96,1,4,47,14,178,Bot,822701,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-08.parquet,False,2026-08-08,2026-08-08T22:45:00Z,CIN,WSH,A,Chase Burns,1,1,True,STARTER,96,25,16,5,5,6,3,6,0,https://statsapi.mlb.com/api/v1.1/game/822701/feed/live,both,True,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V119
594798,88,1,0,32,1,147,Top,822864,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-08.parquet,False,2026-08-08,2026-08-08T23:15:00Z,TEX,BAL,H,Jacob deGrom,1,1,True,STARTER,88,18,15,1,1,3,1,9,1,https://statsapi.mlb.com/api/v1.1/game/822864/feed/live,both,True,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V119
615698,10,9,62,64,272,281,Top,822864,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-08-08.parquet,False,2026-08-08,2026-08-08T23:15:00Z,TEX,BAL,H,Cal Quantrill,1,0,False,RELIEF_OR_BULK,10,3,3,0,0,0,0,0,0,https://statsapi.mlb.com/api/v1.1/game/822864/feed/live,both,True,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V119
