date,games,pitch_rows,box_pitch_sum,pitch_delta,mismatches,fallback_games,fallback_game_pks,team_line_failures,status
2026-03-25,1,258,258,0,0,0,,0,PASS
2026-03-26,11,3297,3297,0,0,0,,0,PASS
2026-03-27,8,2246,2246,0,0,0,,0,PASS
2026-03-28,15,4759,4759,0,0,0,,0,PASS
2026-03-29,12,3647,3647,0,0,0,,0,PASS
2026-03-30,15,4334,4334,0,0,2,823484|824702,0,PASS
2026-03-31,14,3995,3995,0,0,1,824861,0,PASS
2026-04-01,15,4425,4425,0,0,0,,0,PASS
2026-04-02,3,920,920,0,0,0,,0,PASS
2026-04-03,14,4142,4142,0,0,1,824458,0,PASS
2026-04-04,15,4601,4601,0,0,0,,0,PASS
2026-04-05,16,5028,5028,0,0,1,824053,0,PASS
2026-04-06,13,3786,3786,0,0,0,,0,PASS
2026-04-07,15,4502,4502,0,0,1,824051,0,PASS
2026-04-08,15,4476,4476,0,0,0,,0,PASS
2026-04-09,6,1756,1756,0,0,1,823565,0,PASS
2026-04-10,15,4300,4300,0,0,0,,0,PASS
