date,game_pk,team,match_excluding_er,sum_bf,sum_outs,sum_r,sum_h,sum_bb,sum_k,sum_hr,team_bf,team_outs,team_r,team_h,team_bb,team_k,team_hr,sum_er,team_er
2026-05-15,822739,BAL,True,33,24,3,6,3,5,1,33,24,3,6,3,5,1,3,3
2026-05-15,822739,WSH,True,39,27,2,6,5,10,0,39,27,2,6,5,10,0,2,2
2026-05-15,822983,MIA,True,35,24,7,11,3,7,2,35,24,7,11,3,7,2,7,7
2026-05-15,822983,TB,True,35,27,2,7,0,6,2,35,27,2,7,0,6,2,2,2
2026-05-15,823061,KC,True,47,32,5,12,5,11,2,47,32,5,12,5,11,2,3,3
2026-05-15,823061,STL,True,46,33,4,7,7,7,0,46,33,4,7,7,7,0,3,3
2026-05-15,823140,SD,True,37,27,0,7,3,9,0,37,27,0,7,3,9,0,0,0
2026-05-15,823140,SEA,True,35,27,2,9,1,7,0,35,27,2,9,1,7,0,2,2
2026-05-15,823384,PHI,True,44,30,9,11,4,11,3,44,30,9,11,4,11,3,7,7
2026-05-15,823384,PIT,True,47,30,11,14,2,7,2,47,30,11,14,2,7,2,9,9
2026-05-15,823629,NYY,True,34,27,2,5,3,10,1,34,27,2,5,3,10,1,2,2
2026-05-15,823629,NYM,True,41,27,5,10,4,11,1,41,27,5,10,4,11,1,5,5
2026-05-15,823707,MIL,True,34,27,2,8,1,6,0,34,27,2,8,1,6,0,2,2
2026-05-15,823707,MIN,True,37,27,3,9,1,8,0,37,27,3,9,1,8,0,2,2
2026-05-15,824037,LAD,True,34,27,0,2,4,11,0,34,27,0,2,4,11,0,0,0
2026-05-15,824037,LAA,True,38,27,6,8,3,7,3,38,27,6,8,3,7,3,6,6
2026-05-15,824194,TEX,True,33,24,2,5,3,9,1,33,24,2,5,3,9,1,2,2
2026-05-15,824194,HOU,True,31,27,0,1,4,6,0,31,27,0,1,4,6,0,0,0
2026-05-15,824280,TOR,True,35,26,3,7,5,9,0,35,26,3,7,5,9,0,3,3
2026-05-15,824280,DET,True,31,27,2,5,2,6,0,31,27,2,5,2,6,0,2,2
2026-05-15,824360,AZ,True,31,27,1,4,0,3,1,31,27,1,4,0,3,1,1,1
2026-05-15,824360,COL,True,44,27,9,13,5,5,0,44,27,9,13,5,5,0,9,9
2026-05-15,824439,CIN,True,43,27,6,8,8,6,1,43,27,6,8,8,6,1,6,6
2026-05-15,824439,CLE,True,41,27,7,11,3,4,1,41,27,7,11,3,4,1,7,7
2026-05-15,824601,CHC,True,37,27,5,8,4,5,3,37,27,5,8,4,5,3,5,5
2026-05-15,824601,CWS,True,48,27,10,14,6,9,0,48,27,10,14,6,9,0,10,10
2026-05-15,824925,BOS,True,36,27,3,7,0,11,2,36,27,3,7,0,11,2,2,2
2026-05-15,824925,ATL,True,38,30,2,7,4,9,1,38,30,2,7,4,9,1,2,2
2026-05-15,825009,SF,True,33,24,5,10,1,9,1,33,24,5,10,1,9,1,5,5
2026-05-15,825009,ATH,True,39,27,2,10,2,7,2,39,27,2,10,2,7,2,2,2
