game_pk,pitcher_id,boxscore_np,savant_pitches,_merge,match
822830,641778,95,95,both,True
822830,657746,91,91,both,True
822830,663485,22,22,both,True
822830,681892,17,17,both,True
822830,693686,43,43,both,True
822996,518585,12,12,both,True
822996,607259,87,87,both,True
822996,608331,94,94,both,True
822996,641329,20,20,both,True
822996,642121,11,11,both,True
822996,643377,8,8,both,True
822996,657612,1,1,both,True
822996,670280,13,13,both,True
822996,685801,13,13,both,True
822996,687330,4,4,both,True
822996,693855,21,21,both,True
823074,543056,5,5,both,True
823074,624133,84,84,both,True
823074,669711,16,16,both,True
823074,670245,13,13,both,True
823074,676477,12,12,both,True
823074,677865,11,11,both,True
823074,681517,71,71,both,True
823074,694335,43,43,both,True
823074,694363,8,8,both,True
823074,700669,32,32,both,True
823155,595345,11,11,both,True
823155,621121,79,79,both,True
823155,622491,91,91,both,True
823155,650556,23,23,both,True
823155,660825,16,16,both,True
823155,662253,24,24,both,True
823155,666374,12,12,both,True
823155,668984,20,20,both,True
823155,678606,21,21,both,True
823155,678906,20,20,both,True
823155,687911,25,25,both,True
823155,805123,17,17,both,True
823316,547179,11,11,both,True
823316,592094,4,4,both,True
823316,593974,28,28,both,True
823316,608566,86,86,both,True
823316,623474,8,8,both,True
823316,657514,20,20,both,True
823316,663372,82,82,both,True
823316,676760,26,26,both,True
823316,688642,39,39,both,True
823316,699134,21,21,both,True
823480,592836,85,85,both,True
823480,621237,6,6,both,True
823480,641745,28,28,both,True
823480,641835,9,9,both,True
823480,656464,17,17,both,True
823480,657044,20,20,both,True
823480,661395,12,12,both,True
823480,689147,14,14,both,True
823480,694297,101,101,both,True
823644,472610,18,18,both,True
823644,518886,10,10,both,True
823644,548384,13,13,both,True
823644,596133,27,27,both,True
823644,623211,38,38,both,True
823644,643410,14,14,both,True
823644,665622,10,10,both,True
823644,669270,7,7,both,True
823644,673540,72,72,both,True
823644,682052,96,96,both,True
823644,686993,24,24,both,True
823805,656492,80,80,both,True
823805,669084,9,9,both,True
823805,672335,14,14,both,True
823805,681982,8,8,both,True
823805,687075,65,65,both,True
823805,690925,24,24,both,True
823805,690986,76,76,both,True
823805,695418,16,16,both,True
823967,455119,21,21,both,True
823967,595014,21,21,both,True
823967,641302,37,37,both,True
823967,656945,9,9,both,True
823967,676263,13,13,both,True
823967,676395,15,15,both,True
823967,681911,6,6,both,True
823967,683004,93,93,both,True
823967,686218,77,77,both,True
824129,607200,85,85,both,True
824129,608379,88,88,both,True
824129,656794,23,23,both,True
824129,663855,16,16,both,True
824129,668674,12,12,both,True
824294,623454,61,61,both,True
824294,656848,8,8,both,True
824294,663554,74,74,both,True
824294,667463,20,20,both,True
824294,669622,18,18,both,True
824294,676083,99,99,both,True
824535,572955,19,19,both,True
824535,608718,39,39,both,True
824535,641941,14,14,both,True
824535,663574,11,11,both,True
824535,666171,43,43,both,True
824535,668933,11,11,both,True
824535,681217,25,25,both,True
824535,682227,93,93,both,True
824535,683175,20,20,both,True
824535,691946,72,72,both,True
824697,571948,12,12,both,True
824697,573204,19,19,both,True
824697,642397,1,1,both,True
824697,642701,27,27,both,True
824697,657097,17,17,both,True
824697,664875,13,13,both,True
824697,665795,98,98,both,True
824697,670990,32,32,both,True
824697,676755,24,24,both,True
824697,676962,34,34,both,True
824697,677952,77,77,both,True
824697,682254,13,13,both,True
824697,694037,17,17,both,True
824857,605135,89,89,both,True
824857,621366,29,29,both,True
824857,657277,98,98,both,True
824857,664854,14,14,both,True
824857,664991,14,14,both,True
824857,666974,2,2,both,True
824857,668873,17,17,both,True
824857,670329,8,8,both,True
824857,689296,16,16,both,True
824939,527048,86,86,both,True
824939,542888,28,28,both,True
824939,606303,11,11,both,True
824939,607481,22,22,both,True
824939,641401,1,1,both,True
824939,641755,16,16,both,True
824939,674370,50,50,both,True
824939,681870,14,14,both,True
824939,800048,84,84,both,True
