pitcher_id,pbp_pitches,entry_inning,first_play_index,last_play_index,first_pitch_row,last_pitch_row,entry_half,game_pk,pbp_source,fallback_used,date,game_date_time,team,opp,home_away,pitcher_name,is_starter,role,boxscore_np,bf,outs,r,er,h,bb,k,hr,boxscore_source,_merge,pitch_count_match,primary_position,primary_position_name,pitcher_class,line_stats_match,qa_status
571945,55,1,0,24,1,91,Top,822753,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-08.parquet,False,2026-04-08,2026-04-08T20:05:00Z,WSH,STL,H,Miles Mikolas,True,STARTER,55,17,9,2,2,5,3,3,0,https://statsapi.mlb.com/api/v1.1/game/822753/feed/live,both,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V3
669371,43,8,57,66,238,285,Top,822753,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-08.parquet,False,2026-04-08,2026-04-08T20:05:00Z,WSH,STL,H,Cole Henry,False,RELIEF_OR_BULK,43,7,5,2,2,0,1,3,0,https://statsapi.mlb.com/api/v1.1/game/822753/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
672335,24,7,48,52,199,222,Top,822753,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-08.parquet,False,2026-04-08,2026-04-08T20:05:00Z,WSH,STL,H,Cionel Pérez,False,RELIEF_OR_BULK,24,5,3,1,1,1,2,1,0,https://statsapi.mlb.com/api/v1.1/game/822753/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
676571,15,9,67,69,286,300,Top,822753,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-08.parquet,False,2026-04-08,2026-04-08T20:05:00Z,WSH,STL,H,PJ Poulin,False,RELIEF_OR_BULK,15,3,1,0,0,1,1,0,0,https://statsapi.mlb.com/api/v1.1/game/822753/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
676617,15,9,70,72,301,315,Bot,822753,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-08.parquet,False,2026-04-08,2026-04-08T20:05:00Z,STL,WSH,A,Riley O'Brien,False,RELIEF_OR_BULK,15,3,3,0,0,0,0,0,0,https://statsapi.mlb.com/api/v1.1/game/822753/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
677865,2,8,62,62,260,261,Bot,822753,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-08.parquet,False,2026-04-08,2026-04-08T20:05:00Z,STL,WSH,A,Justin Bruihl,False,RELIEF_OR_BULK,2,1,1,0,0,0,0,0,0,https://statsapi.mlb.com/api/v1.1/game/822753/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
694335,18,7,53,61,223,259,Bot,822753,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-08.parquet,False,2026-04-08,2026-04-08T20:05:00Z,STL,WSH,A,Matt Svanson,False,RELIEF_OR_BULK,18,6,5,0,0,0,1,1,0,https://statsapi.mlb.com/api/v1.1/game/822753/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
695418,52,4,29,44,106,179,Top,822753,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-08.parquet,False,2026-04-08,2026-04-08T20:05:00Z,WSH,STL,H,Brad Lord,False,RELIEF_OR_BULK,52,10,9,1,1,1,0,2,1,https://statsapi.mlb.com/api/v1.1/game/822753/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
700241,91,1,6,47,18,198,Bot,822753,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-08.parquet,False,2026-04-08,2026-04-08T20:05:00Z,STL,WSH,A,Michael McGreevy,True,STARTER,91,21,18,1,1,4,0,1,0,https://statsapi.mlb.com/api/v1.1/game/822753/feed/live,both,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V3
666277,20,8,71,81,297,331,Bot,822754,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-07.parquet,False,2026-04-07,2026-04-07T22:45:00Z,STL,WSH,A,George Soriano,False,RELIEF_OR_BULK,20,6,6,0,0,0,0,3,0,https://statsapi.mlb.com/api/v1.1/game/822754/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
669371,16,10,82,86,332,347,Top,822754,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-07.parquet,False,2026-04-07,2026-04-07T22:45:00Z,WSH,STL,H,Cole Henry,False,RELIEF_OR_BULK,16,5,3,2,1,2,0,1,0,https://statsapi.mlb.com/api/v1.1/game/822754/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
669461,92,1,6,46,29,193,Bot,822754,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-07.parquet,False,2026-04-07,2026-04-07T22:45:00Z,STL,WSH,A,Matthew Liberatore,True,STARTER,92,25,15,4,4,9,2,6,2,https://statsapi.mlb.com/api/v1.1/game/822754/feed/live,both,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V3
676571,27,6,51,61,213,260,Top,822754,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-07.parquet,False,2026-04-07,2026-04-07T22:45:00Z,WSH,STL,H,PJ Poulin,False,RELIEF_OR_BULK,27,6,4,1,1,1,2,2,1,https://statsapi.mlb.com/api/v1.1/game/822754/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
676617,16,10,87,90,348,363,Bot,822754,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-07.parquet,False,2026-04-07,2026-04-07T22:45:00Z,STL,WSH,A,Riley O'Brien,False,RELIEF_OR_BULK,16,4,3,1,0,0,0,2,0,https://statsapi.mlb.com/api/v1.1/game/822754/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
676917,94,1,0,37,1,164,Top,822754,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-07.parquet,False,2026-04-07,2026-04-07T22:45:00Z,WSH,STL,H,Cade Cavalli,True,STARTER,94,20,14,2,1,4,4,3,0,https://statsapi.mlb.com/api/v1.1/game/822754/feed/live,both,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V3
681402,22,8,66,70,275,296,Top,822754,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-07.parquet,False,2026-04-07,2026-04-07T22:45:00Z,WSH,STL,H,Gus Varland,False,RELIEF_OR_BULK,22,5,3,2,2,1,1,1,1,https://statsapi.mlb.com/api/v1.1/game/822754/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
687606,26,5,38,50,165,212,Top,822754,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-07.parquet,False,2026-04-07,2026-04-07T22:45:00Z,WSH,STL,H,Paxton Schultz,False,RELIEF_OR_BULK,26,6,3,0,0,1,1,1,0,https://statsapi.mlb.com/api/v1.1/game/822754/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
690925,15,9,74,78,306,320,Top,822754,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-07.parquet,False,2026-04-07,2026-04-07T22:45:00Z,WSH,STL,H,Clayton Beeter,False,RELIEF_OR_BULK,15,5,3,0,0,0,2,0,0,https://statsapi.mlb.com/api/v1.1/game/822754/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
700669,35,6,53,65,222,274,Bot,822754,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-07.parquet,False,2026-04-07,2026-04-07T22:45:00Z,STL,WSH,A,Gordon Graceffo,False,RELIEF_OR_BULK,35,9,6,1,1,1,2,2,0,https://statsapi.mlb.com/api/v1.1/game/822754/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
592773,23,7,62,74,231,287,Bot,822755,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-06.parquet,False,2026-04-06,2026-04-06T22:45:00Z,STL,WSH,A,Ryne Stanek,False,RELIEF_OR_BULK,23,5,2,3,3,3,0,1,1,https://statsapi.mlb.com/api/v1.1/game/822755/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V3
