query_date,game_pk
2026-03-25,823244
2026-03-26,823649
2026-03-26,823812
2026-03-26,824704
2026-03-26,824865
2026-03-26,824541
2026-03-26,824218
2026-03-26,823325
2026-03-26,823081
2026-03-26,823486
2026-03-26,823974
2026-03-26,823163
2026-03-27,823243
2026-03-27,822839
2026-03-27,823893
2026-03-27,824946
2026-03-27,824216
2026-03-27,823324
2026-03-27,823162
2026-03-27,823971
2026-03-28,823082
2026-03-28,824701
2026-03-28,822838
2026-03-28,824862
2026-03-28,823488
2026-03-28,824540
2026-03-28,823651
2026-03-28,823892
2026-03-28,824213
2026-03-28,823811
2026-03-28,824945
2026-03-28,823241
2026-03-28,823323
2026-03-28,823973
2026-03-28,823161
2026-03-29,824864
2026-03-29,823487
2026-03-29,824944
2026-03-29,822837
2026-03-29,824538
2026-03-29,823647
2026-03-29,823891
2026-03-29,824215
2026-03-29,823810
2026-03-29,823079
2026-03-29,824700
2026-03-29,823160
2026-03-30,824135
2026-03-30,824863
2026-03-30,824539
2026-03-30,823484
2026-03-30,823890
2026-03-30,822834
2026-03-30,824943
2026-03-30,824702
2026-03-30,823809
2026-03-30,823080
2026-03-30,824214
2026-03-30,823320
2026-03-30,823159
2026-03-30,825108
2026-03-30,823972
2026-03-31,824861
2026-03-31,824537
2026-03-31,823485
2026-03-31,823888
2026-03-31,822836
2026-03-31,824942
2026-03-31,824699
2026-03-31,823807
2026-03-31,823077
2026-03-31,824212
2026-03-31,825107
2026-03-31,823322
2026-03-31,823158
2026-03-31,823969
2026-04-01,824940
2026-04-01,824860
2026-04-01,824536
2026-04-01,823483
2026-04-01,822835
2026-04-01,823889
2026-04-01,823078
2026-04-01,823806
2026-04-01,824211
2026-04-01,824698
2026-04-01,825106
2026-04-01,823321
2026-04-01,823157
2026-04-01,824136
2026-04-01,823970
2026-04-02,824133
2026-04-02,825105
2026-04-02,823242
2026-04-02,824621
2026-04-03,822758
2026-04-03,824299
2026-04-03,823568
2026-04-03,824786
2026-04-03,824621
2026-04-03,822919
2026-04-03,824458
2026-04-03,823732
2026-04-03,824377
2026-04-03,823406
2026-04-03,824056
2026-04-03,825026
2026-04-03,825103
2026-04-03,823240
2026-04-03,824134
2026-04-04,824295
2026-04-04,824622
2026-04-04,824132
2026-04-04,824134
2026-04-04,822757
2026-04-04,825027
2026-04-04,823404
2026-04-04,824782
2026-04-04,822920
2026-04-04,823569
2026-04-04,823730
2026-04-04,825104
2026-04-04,824378
2026-04-04,823239
2026-04-04,824054
2026-04-04,824460
2026-04-05,824459
2026-04-05,824460
2026-04-05,822756
2026-04-05,823405
2026-04-05,824781
2026-04-05,823566
2026-04-05,823729
2026-04-05,824620
2026-04-05,824131
2026-04-05,822917
2026-04-05,824379
2026-04-05,825025
2026-04-05,823238
2026-04-05,824053
2026-04-05,825102
2026-04-05,824296
2026-04-06,823002
2026-04-06,824456
2026-04-06,823401
2026-04-06,823886
2026-04-06,822755
2026-04-06,824783
2026-04-06,822832
2026-04-06,823728
2026-04-06,824619
2026-04-06,822918
2026-04-06,824376
2026-04-06,824052
2026-04-06,823237
2026-04-07,824457
2026-04-07,824618
2026-04-07,823648
2026-04-07,823402
2026-04-07,822999
2026-04-07,823887
2026-04-07,822754
2026-04-07,824780
2026-04-07,823567
2026-04-07,822831
2026-04-07,823727
2026-04-07,822916
2026-04-07,824375
2026-04-07,824051
2026-04-07,823235
2026-04-08,823403
2026-04-08,824455
2026-04-08,824779
2026-04-08,824617
2026-04-08,822915
2026-04-08,822833
2026-04-08,824374
2026-04-08,823234
2026-04-08,822753
2026-04-08,824050
2026-04-08,823646
2026-04-08,823000
2026-04-08,823885
2026-04-08,823564
2026-04-08,823726
2026-04-09,823884
2026-04-09,823565
2026-04-09,823724
2026-04-09,823645
2026-04-09,824130
2026-04-09,823319
2026-04-10,824695
2026-04-10,823482
2026-04-10,824297
2026-04-10,824534
2026-04-10,822829
2026-04-10,823643
2026-04-10,822997
2026-04-10,824858
2026-04-10,824941
2026-04-10,824128
2026-04-10,823808
2026-04-10,823076
2026-04-10,823318
2026-04-10,823156
2026-04-10,823968
2026-04-11,823480
2026-04-11,824294
2026-04-11,824697
2026-04-11,822830
2026-04-11,824535
2026-04-11,823644
2026-04-11,824129
2026-04-11,822996
2026-04-11,823805
2026-04-11,824857
2026-04-11,823074
2026-04-11,824939
2026-04-11,823316
2026-04-11,823967
2026-04-11,823155
2026-04-12,824859
2026-04-12,823479
2026-04-12,822828
2026-04-12,824533
2026-04-12,823642
2026-04-12,824293
2026-04-12,822998
2026-04-12,824126
2026-04-12,823804
2026-04-12,823075
2026-04-12,824696
2026-04-12,823317
2026-04-12,823154
2026-04-12,823966
2026-04-12,824938
