date,game_pk,team,match_excluding_er,sum_bf,sum_outs,sum_r,sum_h,sum_bb,sum_k,sum_hr,team_bf,team_outs,team_r,team_h,team_bb,team_k,team_hr,sum_er,team_er
2026-03-25,823244,NYY,True,34,27,0,3,2,6,0,34,27,0,3,2,6,0,0,0
2026-03-25,823244,SF,True,40,27,7,10,3,12,0,40,27,7,10,3,12,0,6,6
2026-03-26,823081,TB,True,40,24,9,14,1,3,2,40,24,9,14,1,3,2,9,9
2026-03-26,823081,STL,True,50,27,7,17,6,5,1,50,27,7,17,6,5,1,7,7
2026-03-26,823163,CLE,True,34,27,4,6,2,14,4,34,27,4,6,2,14,4,4,4
2026-03-26,823163,SEA,True,41,27,6,12,2,11,2,41,27,6,12,2,11,2,6,6
2026-03-26,823325,DET,True,36,27,2,5,3,7,1,36,27,2,5,3,7,1,1,1
2026-03-26,823325,SD,True,43,27,8,12,4,10,1,43,27,8,12,4,10,1,8,8
2026-03-26,823486,TEX,True,36,24,5,10,1,10,2,36,24,5,10,1,10,2,5,5
2026-03-26,823486,PHI,True,36,27,3,8,1,11,1,36,27,3,8,1,11,1,3,3
2026-03-26,823649,PIT,True,45,24,11,11,9,10,2,45,24,11,11,9,10,2,11,11
2026-03-26,823649,NYM,True,37,27,7,10,0,10,3,37,27,7,10,0,10,3,7,7
2026-03-26,823812,CWS,True,45,24,14,12,10,3,2,45,24,14,12,10,3,2,13,13
2026-03-26,823812,MIL,True,36,27,2,4,5,20,2,36,27,2,4,5,20,2,2,2
2026-03-26,823974,AZ,True,40,24,8,10,5,4,2,40,24,8,10,5,4,2,8,8
2026-03-26,823974,LAD,True,31,27,2,6,0,8,1,31,27,2,6,0,8,1,2,2
2026-03-26,824218,LAA,True,36,27,0,3,6,9,0,36,27,0,3,6,9,0,0,0
2026-03-26,824218,HOU,True,43,27,3,9,6,14,2,43,27,3,9,6,14,2,3,3
2026-03-26,824541,BOS,True,35,27,0,4,3,12,0,35,27,0,4,3,12,0,0,0
2026-03-26,824541,CIN,True,40,27,3,12,3,7,0,40,27,3,12,3,7,0,3,3
2026-03-26,824704,WSH,True,40,27,4,8,6,9,0,40,27,4,8,6,9,0,3,3
2026-03-26,824704,CHC,True,40,27,10,11,2,12,3,40,27,10,11,2,12,3,8,8
2026-03-26,824865,MIN,True,32,24,2,5,3,8,0,32,24,2,5,3,8,0,2,2
2026-03-26,824865,BAL,True,35,27,1,5,4,9,0,35,27,1,5,4,9,0,1,1
2026-03-27,822839,ATH,True,36,26,3,7,4,3,0,36,26,3,7,4,3,0,3,3
2026-03-27,822839,TOR,True,32,27,2,3,2,16,2,32,27,2,3,2,16,2,2,2
2026-03-27,823162,CLE,True,33,24,5,3,7,10,2,33,24,5,3,7,10,2,5,5
2026-03-27,823162,SEA,True,34,27,1,4,3,9,1,34,27,1,4,3,9,1,1,1
2026-03-27,823243,NYY,True,30,27,0,1,2,13,0,30,27,0,1,2,13,0,0,0
2026-03-27,823243,SF,True,37,27,3,8,3,7,2,37,27,3,8,3,7,2,3,3
