pitcher_id,pbp_pitches,entry_inning,first_play_index,last_play_index,first_pitch_row,last_pitch_row,entry_half,game_pk,pbp_source,fallback_used,date,game_date_time,team,opp,home_away,pitcher_name,is_starter,role,boxscore_np,bf,outs,r,er,h,bb,k,hr,boxscore_source,_merge,pitch_count_match,primary_position,primary_position_name,pitcher_class,line_stats_match,qa_status
453286,68.0,1.0,0.0,23.0,1.0,110.0,Top,822828,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:37:00Z,TOR,MIN,H,Max Scherzer,True,STARTER,68,15,7,8,8,5,2,3,2,https://statsapi.mlb.com/api/v1.1/game/822828/feed/live,both,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V4
573009,21.0,3.0,24.0,36.0,111.0,150.0,Top,822828,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:37:00Z,TOR,MIN,H,Joe Mantiply,False,RELIEF_OR_BULK,21,8,5,0,0,2,0,1,0,https://statsapi.mlb.com/api/v1.1/game/822828/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
623437,12.0,9.0,76.0,78.0,319.0,330.0,Bot,822828,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:37:00Z,MIN,TOR,A,Justin Topa,False,RELIEF_OR_BULK,12,3,3,0,0,1,0,0,0,https://statsapi.mlb.com/api/v1.1/game/822828/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
643511,7.0,8.0,64.0,66.0,278.0,284.0,Top,822828,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:37:00Z,TOR,MIN,H,Tyler Rogers,False,RELIEF_OR_BULK,7,3,3,0,0,1,0,0,0,https://statsapi.mlb.com/api/v1.1/game/822828/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
656546,12.0,9.0,73.0,75.0,307.0,318.0,Top,822828,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:37:00Z,TOR,MIN,H,Jeff Hoffman,False,RELIEF_OR_BULK,12,3,3,0,0,0,0,2,0,https://statsapi.mlb.com/api/v1.1/game/822828/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
667297,8.0,5.0,42.0,44.0,175.0,182.0,Top,822828,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:37:00Z,TOR,MIN,H,Tommy Nance,False,RELIEF_OR_BULK,8,3,3,0,0,0,0,1,0,https://statsapi.mlb.com/api/v1.1/game/822828/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
671737,106.0,1.0,3.0,48.0,13.0,203.0,Bot,822828,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:37:00Z,MIN,TOR,A,Taj Bradley,True,STARTER,106,23,15,1,1,5,4,7,0,https://statsapi.mlb.com/api/v1.1/game/822828/feed/live,both,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V4
686973,16.0,7.0,56.0,58.0,236.0,251.0,Top,822828,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:37:00Z,TOR,MIN,H,Louis Varland,False,RELIEF_OR_BULK,16,3,3,0,0,0,0,3,0,https://statsapi.mlb.com/api/v1.1/game/822828/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
689254,13.0,6.0,49.0,51.0,204.0,216.0,Top,822828,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:37:00Z,TOR,MIN,H,Mason Fluharty,False,RELIEF_OR_BULK,13,3,3,0,0,0,0,2,0,https://statsapi.mlb.com/api/v1.1/game/822828/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
702193,67.0,6.0,52.0,72.0,217.0,306.0,Bot,822828,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:37:00Z,MIN,TOR,A,Andrew Morris,False,RELIEF_OR_BULK,67,15,9,1,1,6,0,2,0,https://statsapi.mlb.com/api/v1.1/game/822828/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
642121,15.0,7.0,46.0,49.0,179.0,193.0,Top,822998,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:40:00Z,TB,NYY,H,Cole Sulser,False,RELIEF_OR_BULK,15,4,1,2,2,2,1,0,0,https://statsapi.mlb.com/api/v1.1/game/822998/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
642232,20.0,6.0,42.0,52.0,162.0,202.0,Bot,822998,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:40:00Z,NYY,TB,A,Ryan Yarbrough,False,RELIEF_OR_BULK,20,5,3,1,1,2,0,1,0,https://statsapi.mlb.com/api/v1.1/game/822998/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
656876,76.0,1.0,0.0,41.0,1.0,161.0,Top,822998,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:40:00Z,TB,NYY,H,Drew Rasmussen,True,STARTER,76,19,18,0,0,1,0,7,0,https://statsapi.mlb.com/api/v1.1/game/822998/feed/live,both,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V4
666808,11.0,7.0,53.0,55.0,203.0,213.0,Bot,822998,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:40:00Z,NYY,TB,A,Camilo Doval,False,RELIEF_OR_BULK,11,3,3,0,0,0,0,0,0,https://statsapi.mlb.com/api/v1.1/game/822998/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
669438,21.0,9.0,64.0,70.0,235.0,255.0,Top,822998,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:40:00Z,TB,NYY,H,Mason Englert,False,RELIEF_OR_BULK,21,7,3,2,2,3,1,1,1,https://statsapi.mlb.com/api/v1.1/game/822998/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
687330,18.0,7.0,50.0,58.0,194.0,225.0,Top,822998,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:40:00Z,TB,NYY,H,Kevin Kelly,False,RELIEF_OR_BULK,18,5,5,0,0,1,0,0,0,https://statsapi.mlb.com/api/v1.1/game/822998/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
687396,9.0,8.0,59.0,63.0,226.0,234.0,Bot,822998,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:40:00Z,NYY,TB,A,Brent Headrick,False,RELIEF_OR_BULK,9,5,3,1,1,2,0,0,0,https://statsapi.mlb.com/api/v1.1/game/822998/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
693645,85.0,1.0,3.0,38.0,12.0,146.0,Bot,822998,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T17:40:00Z,NYY,TB,A,Cam Schlittler,True,STARTER,85,23,15,3,3,7,1,8,0,https://statsapi.mlb.com/api/v1.1/game/822998/feed/live,both,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V4
543056,5.0,7.0,61.0,61.0,215.0,219.0,Bot,823075,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T18:15:00Z,BOS,STL,A,Danny Coulombe,False,RELIEF_OR_BULK,5,1,1,0,0,0,0,0,0,https://statsapi.mlb.com/api/v1.1/game/823075/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
666277,13.0,6.0,45.0,47.0,160.0,172.0,Top,823075,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T18:15:00Z,STL,BOS,H,George Soriano,False,RELIEF_OR_BULK,13,3,3,0,0,0,0,1,0,https://statsapi.mlb.com/api/v1.1/game/823075/feed/live,both,True,P,Pitcher,BULLPEN_PITCHER,True,QA_VALIDATED_CANONICAL_V4
669467,95.0,1.0,0.0,40.0,1.0,145.0,Top,823075,https://raw.githubusercontent.com/lancebroz/mlb-pitcher-data/main/data/raw/2026/daily/2026-04-12.parquet,False,2026-04-12,2026-04-12T18:15:00Z,STL,BOS,H,Andre Pallante,True,STARTER,95,27,15,7,6,9,1,2,1,https://statsapi.mlb.com/api/v1.1/game/823075/feed/live,both,True,P,Pitcher,STARTER/OPENER/BULK,True,QA_VALIDATED_CANONICAL_V4
