game_pk,pitcher_id,boxscore_np,games_pitched,savant_pitches,_merge,match
822724,674841,58,1,58,both,True
822724,681402,20,1,20,both,True
822724,687765,63,1,63,both,True
822724,690925,18,1,18,both,True
822724,694360,28,1,28,both,True
822724,695418,48,1,48,both,True
822724,696131,36,1,36,both,True
822887,573124,6,1,6,both,True
822887,605452,5,1,5,both,True
822887,669022,102,1,102,both,True
822887,672782,15,1,15,both,True
822887,679358,15,1,15,both,True
822887,682608,9,1,9,both,True
822887,702193,9,1,9,both,True
822887,702474,59,1,59,both,True
823046,593974,11,1,11,both,True
823046,606996,24,1,24,both,True
823046,608337,85,1,85,both,True
823046,669160,101,1,101,both,True
823452,554430,97,1,97,both,True
823452,641835,17,1,17,both,True
823452,663767,12,1,12,both,True
823452,680742,20,1,20,both,True
823452,687473,91,1,91,both,True
823452,687531,33,1,33,both,True
823452,806188,29,1,29,both,True
823938,571927,20,1,20,both,True
823938,592155,13,1,13,both,True
823938,607259,96,1,96,both,True
823938,641778,93,1,93,both,True
823938,656945,13,1,13,both,True
823938,669165,14,1,14,both,True
823938,681911,2,1,2,both,True
823938,694361,12,1,12,both,True
824181,595345,8,1,8,both,True
824181,621097,13,1,13,both,True
824181,623454,59,1,59,both,True
824181,640448,23,1,23,both,True
824181,646241,7,1,7,both,True
824181,650556,21,1,21,both,True
824181,663947,28,1,28,both,True
824181,676684,12,1,12,both,True
824181,678906,81,1,81,both,True
824181,681151,38,1,38,both,True
824181,805123,32,1,32,both,True
824505,656271,18,1,18,both,True
824505,656849,54,1,54,both,True
824505,657571,27,1,27,both,True
824505,668964,43,1,43,both,True
824505,695505,100,1,100,both,True
824505,695534,20,1,20,both,True
824505,702752,55,1,55,both,True
824666,547179,89,1,89,both,True
824666,573204,15,1,15,both,True
824666,622608,19,1,19,both,True
824666,657097,14,1,14,both,True
824666,657514,11,1,11,both,True
824666,664208,15,1,15,both,True
824666,675848,20,1,20,both,True
824666,677955,16,1,16,both,True
824666,678020,10,1,10,both,True
824666,680767,21,1,21,both,True
824666,684007,85,1,85,both,True
824666,694037,20,1,20,both,True
824993,642701,10,1,10,both,True
824993,669372,98,1,98,both,True
824993,669387,75,1,75,both,True
824993,683003,75,1,75,both,True
824993,686930,32,1,32,both,True
824993,686993,21,1,21,both,True
825071,623149,20,1,20,both,True
825071,642528,8,1,8,both,True
825071,669194,95,1,95,both,True
825071,700712,88,1,88,both,True
825071,820862,18,1,18,both,True
