RELIEVER_APPEARANCE_ID,GAME_PK,FECHA,TEAM,OPP,HOME_AWAY,MLBAM_ID,PITCHER,ROLE,DAYS_REST,PREV_PITCHES,PREV_BF,PREV_OUTS,PITCHES_2D,PITCHES_3D,BF_2D,BF_3D,B2B,THREE_DAYS_3,CURRENT_PITCHES,CURRENT_BF,CURRENT_OUTS,R,ER,H,BB,K,HR,RA9,ER9,WHIP,BB_PCT,K_PCT,HR9,WOBA_ALLOWED,SOURCE_URL,QA_STATUS,PREV_ROLE,PREV_APPEARANCE_LEVEL,SAME_DAY_REPEAT
823451-621383,823451,2026-06-16,PHI,MIA,H,621383,Tanner Banks,RELIEF_OR_BULK,1.0,22.0,4.0,3.0,22.0,22.0,4.0,4.0,False,False,12,4,3,0,0,1,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
823451-667463,823451,2026-06-16,MIA,PHI,A,667463,John King,RELIEF_OR_BULK,2.0,11.0,4.0,2.0,0.0,11.0,0.0,4.0,False,False,9,3,3,0,0,0,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
823451-669199,823451,2026-06-16,MIA,PHI,A,669199,Lake Bachar,RELIEF_OR_BULK,2.0,42.0,9.0,6.0,0.0,42.0,0.0,9.0,False,False,11,3,3,0,0,0,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,STARTER,MLB,False
823451-676661,823451,2026-06-16,PHI,MIA,H,676661,Max Lazar,RELIEF_OR_BULK,,,,,,,,,,,14,4,3,0,0,1,0,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,,,
823451-690978,823451,2026-06-16,MIA,PHI,A,690978,Dax Fulton,RELIEF_OR_BULK,40.0,64.0,16.0,12.0,0.0,0.0,0.0,0.0,False,False,39,7,6,0,0,0,1,2,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
822723-657756,822723,2026-06-16,KC,WSH,A,657756,Connor Seabold,RELIEF_OR_BULK,8.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,False,False,23,5,3,0,0,1,1,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
822723-663738,822723,2026-06-16,KC,WSH,A,663738,Daniel Lynch IV,RELIEF_OR_BULK,1.0,8.0,3.0,3.0,8.0,21.0,3.0,6.0,False,False,29,7,3,3,3,2,2,1,1,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
822723-663992,822723,2026-06-16,WSH,KC,H,663992,Richard Lovelady,RELIEF_OR_BULK,2.0,20.0,6.0,2.0,0.0,20.0,0.0,6.0,False,False,12,3,2,0,0,1,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
822723-681402,822723,2026-06-16,WSH,KC,H,681402,Gus Varland,RELIEF_OR_BULK,0.0,20.0,4.0,3.0,20.0,20.0,4.0,4.0,True,False,23,4,3,1,1,1,1,1,1,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
822723-687377,822723,2026-06-16,WSH,KC,H,687377,Orlando Ribalta,RELIEF_OR_BULK,2.0,11.0,3.0,2.0,0.0,11.0,0.0,3.0,False,False,14,3,1,2,2,1,1,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
822723-687606,822723,2026-06-16,WSH,KC,H,687606,Paxton Schultz,RELIEF_OR_BULK,3.0,23.0,9.0,6.0,0.0,0.0,0.0,0.0,False,False,15,4,3,0,0,1,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
824750-592454,824750,2026-06-16,BOS,TOR,H,592454,Tommy Kahnle,RELIEF_OR_BULK,1.0,16.0,4.0,3.0,16.0,16.0,4.0,4.0,False,False,23,6,3,1,1,2,1,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
824750-643511,824750,2026-06-16,TOR,BOS,A,643511,Tyler Rogers,RELIEF_OR_BULK,2.0,22.0,5.0,3.0,0.0,22.0,0.0,5.0,False,False,17,4,3,0,0,1,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
824750-656546,824750,2026-06-16,TOR,BOS,A,656546,Jeff Hoffman,RELIEF_OR_BULK,1.0,12.0,3.0,3.0,12.0,12.0,3.0,3.0,False,False,9,3,3,0,0,0,0,1,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
824750-667297,824750,2026-06-16,TOR,BOS,A,667297,Tommy Nance,RELIEF_OR_BULK,1.0,9.0,3.0,1.0,9.0,9.0,3.0,3.0,False,False,16,5,2,1,1,2,1,1,1,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
824750-669711,824750,2026-06-16,BOS,TOR,H,669711,Greg Weissert,RELIEF_OR_BULK,1.0,15.0,5.0,4.0,15.0,15.0,5.0,5.0,False,False,11,3,3,0,0,0,0,0,0,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
824750-670245,824750,2026-06-16,BOS,TOR,H,670245,Ryan Watson,RELIEF_OR_BULK,1.0,26.0,8.0,6.0,26.0,26.0,8.0,8.0,False,False,31,8,6,2,2,1,1,1,1,,,,,,,,https://github.com/geo2343/depuracion-mlb-kernel/blob/main/runtime/hbm26_v69_sheet01_0616.csv,QA_VALIDATED_PBP_V69,RELIEF_OR_BULK,MLB,False
