PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED
2024,2024-03-28,746418,True,HOME,147,New York Yankees,FUERTE,4,5,4,0,0,0,4,1,9,1,4,0,0
2024,2024-03-29,746412,True,HOME,147,New York Yankees,FUERTE,1,7,1,0,0,0,0,7,9,0,1,0,0
2024,2024-03-30,746410,True,HOME,147,New York Yankees,FUERTE,3,5,2,1,0,1,0,4,9,0,3,0,0
2024,2024-03-31,746413,True,HOME,147,New York Yankees,FUERTE,3,4,1,2,0,1,2,1,9,0,3,0,0
2024,2024-04-01,746409,True,HOME,141,Toronto Blue Jays,DEBIL,10,0,4,3,3,0,0,0,8,2,7,3,0
2024,2024-04-02,746411,True,HOME,141,Toronto Blue Jays,DEBIL,1,2,0,1,0,0,0,2,9,0,1,0,0
2024,2024-04-03,746407,True,HOME,141,Toronto Blue Jays,DEBIL,8,0,1,4,3,0,0,0,8,1,4,4,0
2024,2024-04-05,745033,False,AWAY,140,Texas Rangers,MEDIO,2,10,0,0,2,5,5,0,9,0,1,1,0
2024,2024-04-06,745031,False,AWAY,140,Texas Rangers,MEDIO,2,7,2,0,0,1,2,4,9,0,2,0,0
2024,2024-04-07,745032,False,AWAY,140,Texas Rangers,MEDIO,3,1,3,0,0,0,0,1,9,1,3,0,0
2024,2024-04-08,745034,False,AWAY,140,Texas Rangers,MEDIO,10,5,4,6,0,5,0,0,9,2,6,4,0
2024,2024-04-09,746326,False,AWAY,118,Kansas City Royals,FUERTE,3,4,2,1,0,0,3,1,10,0,3,0,0
2024,2024-04-10,746323,False,AWAY,118,Kansas City Royals,FUERTE,2,11,0,2,0,7,2,2,9,0,2,0,0
2024,2024-04-11,746322,False,AWAY,118,Kansas City Royals,FUERTE,3,13,0,3,0,9,1,3,9,0,1,2,0
2024,2024-04-12,746408,True,HOME,140,Texas Rangers,MEDIO,8,12,1,2,5,7,5,0,9,1,3,5,0
2024,2024-04-13,746405,True,HOME,140,Texas Rangers,MEDIO,9,2,0,2,7,2,0,0,8,1,2,7,0
2024,2024-04-14,746404,True,HOME,140,Texas Rangers,MEDIO,8,5,2,3,3,0,2,3,8,2,5,3,0
2024,2024-04-15,746406,True,HOME,144,Atlanta Braves,FUERTE,1,6,1,0,0,2,0,4,9,0,1,0,0
2024,2024-04-16,746400,True,HOME,144,Atlanta Braves,FUERTE,2,6,0,0,2,1,0,5,9,0,0,2,0
2024,2024-04-17,746401,True,HOME,144,Atlanta Braves,FUERTE,4,5,1,3,0,1,1,3,10,0,3,1,0
2024,2024-04-19,744872,False,AWAY,120,Washington Nationals,DEBIL,5,3,3,1,1,1,1,1,9,1,3,2,0
2024,2024-04-20,744865,False,AWAY,120,Washington Nationals,DEBIL,4,5,1,0,3,1,1,3,10,0,1,3,0
2024,2024-04-21,744866,False,AWAY,120,Washington Nationals,DEBIL,0,6,0,0,0,3,3,0,9,0,0,0,0
2024,2024-04-23,746888,False,AWAY,112,Chicago Cubs,MEDIO,2,7,0,2,0,5,1,1,9,0,2,0,0
2024,2024-04-24,746889,False,AWAY,112,Chicago Cubs,MEDIO,3,4,2,0,1,4,0,0,9,0,2,1,0
2024,2024-04-25,746887,False,AWAY,112,Chicago Cubs,MEDIO,1,3,1,0,0,0,3,0,9,0,1,0,0
2024,2024-04-27,746560,False,AWAY,115,Colorado Rockies,DEBIL,12,4,4,2,6,2,0,2,9,2,6,6,0
2024,2024-04-28,746561,False,AWAY,115,Colorado Rockies,DEBIL,8,2,3,1,4,2,0,0,9,1,4,4,0
2024,2024-04-30,746398,True,HOME,114,Cleveland Guardians,FUERTE,10,9,3,5,2,3,5,1,10,2,8,2,0
2024,2024-05-01,746399,True,HOME,114,Cleveland Guardians,FUERTE,2,3,0,1,1,0,2,1,10,0,2,0,0
2024,2024-05-02,746403,True,HOME,114,Cleveland Guardians,FUERTE,8,2,1,2,5,2,0,0,8,1,3,5,0
2024,2024-05-03,746402,True,HOME,136,Seattle Mariners,FUERTE,5,3,0,1,4,1,2,0,8,1,1,4,0
2024,2024-05-04,746394,True,HOME,136,Seattle Mariners,FUERTE,0,5,0,0,0,1,4,0,9,0,0,0,0
2024,2024-05-05,746395,True,HOME,136,Seattle Mariners,FUERTE,4,5,0,2,2,2,1,2,9,0,4,0,0
2024,2024-05-07,745752,False,AWAY,147,New York Yankees,FUERTE,3,10,1,0,2,4,4,2,9,0,1,2,0
2024,2024-05-08,745749,False,AWAY,147,New York Yankees,FUERTE,4,9,1,0,3,5,3,1,9,0,2,2,0
2024,2024-05-09,745748,False,AWAY,147,New York Yankees,FUERTE,4,3,3,1,0,2,0,1,9,1,4,0,0
2024,2024-05-10,746479,False,AWAY,116,Detroit Tigers,FUERTE,5,2,0,1,4,2,0,0,9,1,1,4,0
2024,2024-05-11,746480,False,AWAY,116,Detroit Tigers,FUERTE,2,8,0,2,0,7,1,0,9,0,2,0,0
2024,2024-05-12,746476,False,AWAY,116,Detroit Tigers,FUERTE,9,3,0,2,7,0,0,3,9,1,3,6,0
2024,2024-05-13,746393,True,HOME,133,Athletics,DEBIL,9,2,2,1,6,0,2,0,8,1,3,6,0
2024,2024-05-14,746396,True,HOME,133,Athletics,DEBIL,2,1,1,0,1,0,0,1,10,0,1,1,0
2024,2024-05-15,746397,True,HOME,133,Athletics,DEBIL,3,0,2,1,0,0,0,0,8,0,3,0,0
2024,2024-05-16,746391,True,HOME,133,Athletics,DEBIL,8,1,6,2,0,0,0,1,8,1,8,0,0
2024,2024-05-17,746388,True,HOME,158,Milwaukee Brewers,FUERTE,5,4,2,3,0,1,3,0,8,1,5,0,0
