PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,746418,664285,STARTER,14,5,3,0,6,1,5,23
2024,746418,661527,BULLPEN,1,0,0,0,1,0,0,2
2024,746418,606160,BULLPEN,3,1,1,1,0,0,0,4
2024,746418,519151,BULLPEN,3,2,1,0,1,0,1,6
2024,746418,605463,BULLPEN,3,0,0,0,1,0,1,4
2024,746418,623352,BULLPEN,3,0,0,0,0,0,3,3
2024,746412,664299,STARTER,18,4,0,0,1,0,6,23
2024,746412,605463,BULLPEN,1,1,2,0,2,1,0,5
2024,746412,606160,BULLPEN,2,0,0,0,1,0,0,2
2024,746412,656786,BULLPEN,1,3,2,0,1,0,1,6
2024,746412,656232,BULLPEN,5,4,1,1,0,0,2,9
2024,746410,686613,STARTER,12,4,0,0,2,0,5,18
2024,746410,661527,BULLPEN,3,1,0,0,0,0,0,3
2024,746410,656786,BULLPEN,3,0,0,0,0,0,1,3
2024,746410,650556,BULLPEN,3,2,3,2,2,0,1,6
2024,746410,519151,BULLPEN,3,1,1,1,0,0,2,4
2024,746410,623352,BULLPEN,3,0,0,0,1,0,2,4
2024,746413,641585,STARTER,17,6,3,0,1,0,5,24
2024,746413,605463,BULLPEN,3,0,0,0,1,0,3,4
2024,746413,650556,BULLPEN,4,2,0,0,0,0,2,6
2024,746413,623352,BULLPEN,3,2,1,0,0,0,2,5
2024,746409,669854,STARTER,27,0,0,0,2,0,7,29
2024,746411,664285,STARTER,23,6,0,0,0,1,5,27
2024,746411,519151,BULLPEN,1,0,0,0,0,0,0,1
2024,746411,623352,BULLPEN,3,2,2,1,1,0,0,5
2024,746407,664299,STARTER,15,1,0,0,5,0,3,20
2024,746407,661527,BULLPEN,3,0,0,0,0,0,0,3
2024,746407,606160,BULLPEN,3,0,0,0,1,0,1,4
2024,746407,605463,BULLPEN,3,0,0,0,0,0,2,3
2024,746407,669395,BULLPEN,3,0,0,0,1,0,1,4
2024,745033,686613,STARTER,9,8,5,1,4,0,3,21
2024,745033,656232,BULLPEN,9,7,5,1,2,0,1,18
2024,745033,661527,BULLPEN,3,1,0,0,0,0,0,4
2024,745033,622766,BULLPEN,3,0,0,0,0,0,0,3
2024,745031,641585,STARTER,17,8,3,0,2,0,4,27
2024,745031,650556,BULLPEN,1,1,0,0,1,0,1,3
2024,745031,606160,BULLPEN,3,0,0,0,1,0,0,4
