PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,746418,641482,STARTER,1
2024,746418,641482,STARTER,1
2024,746418,641482,STARTER,1
2024,746418,641482,STARTER,2
2024,746412,607074,STARTER,1
2024,746410,573186,STARTER,2
2024,746410,573186,STARTER,2
2024,746410,573186,STARTER,5
2024,746413,657376,STARTER,3
2024,746413,657376,STARTER,6
2024,746413,657376,STARTER,6
2024,746409,670102,STARTER,1
2024,746409,670102,STARTER,1
2024,746409,670102,STARTER,1
2024,746409,670102,STARTER,2
2024,746409,670102,STARTER,4
2024,746409,670102,STARTER,6
2024,746409,670102,STARTER,6
2024,746409,650893,BULLPEN,7
2024,746409,650893,BULLPEN,7
2024,746409,650893,BULLPEN,7
2024,746411,621244,STARTER,4
2024,746407,605135,STARTER,3
2024,746407,605135,STARTER,4
2024,746407,605135,STARTER,5
2024,746407,605135,STARTER,5
2024,746407,641835,BULLPEN,6
2024,746407,641149,BULLPEN,7
2024,746407,641149,BULLPEN,7
2024,746407,641149,BULLPEN,7
2024,745033,666720,BULLPEN,8
2024,745033,674003,STARTER,8
2024,745031,592351,STARTER,3
2024,745031,592351,STARTER,3
2024,745032,641540,STARTER,3
2024,745032,641540,STARTER,3
2024,745032,641540,STARTER,3
2024,745034,571760,STARTER,1
2024,745034,571760,STARTER,1
2024,745034,571760,STARTER,2
2024,745034,571760,STARTER,2
2024,745034,571760,STARTER,4
2024,745034,656271,BULLPEN,4
2024,745034,571760,STARTER,4
2024,745034,681982,BULLPEN,5
2024,745034,681982,BULLPEN,5
2024,745034,681982,BULLPEN,5
2024,746326,666142,STARTER,1
2024,746326,666142,STARTER,2
2024,746326,666142,STARTER,4
2024,746323,607625,STARTER,4
2024,746323,607625,STARTER,4
2024,746322,663903,STARTER,4
2024,746322,623433,BULLPEN,6
2024,746322,623433,BULLPEN,6
2024,746408,641540,STARTER,1
2024,746408,641540,STARTER,4
2024,746408,641540,STARTER,4
2024,746408,656271,BULLPEN,7
2024,746408,656271,BULLPEN,7
2024,746408,656271,BULLPEN,7
2024,746408,681982,BULLPEN,7
2024,746408,656271,BULLPEN,7
2024,746405,571760,STARTER,4
2024,746405,571760,STARTER,4
2024,746405,570632,BULLPEN,7
2024,746405,570632,BULLPEN,7
2024,746405,570632,BULLPEN,7
2024,746405,570632,BULLPEN,7
2024,746405,570632,BULLPEN,7
2024,746405,643493,BULLPEN,7
2024,746405,643493,BULLPEN,7
2024,746404,543135,STARTER,1
2024,746404,543135,STARTER,3
2024,746404,543135,STARTER,4
2024,746404,543135,STARTER,4
2024,746404,543135,STARTER,4
2024,746404,666720,BULLPEN,7
2024,746404,666720,BULLPEN,7
2024,746404,666720,BULLPEN,7
2024,746406,670241,STARTER,1
2024,746400,607481,BULLPEN,9
2024,746400,607481,BULLPEN,9
2024,746401,608331,STARTER,1
2024,746401,608331,STARTER,5
2024,746401,608331,STARTER,5
2024,746401,445926,BULLPEN,6
2024,744872,669022,STARTER,2
2024,744872,669022,STARTER,2
2024,744872,669022,STARTER,2
2024,744872,676395,BULLPEN,5
2024,744872,598264,BULLPEN,8
2024,744865,592866,STARTER,1
2024,744865,676395,BULLPEN,7
2024,744865,676395,BULLPEN,7
2024,744865,607179,BULLPEN,8
2024,746888,696136,STARTER,4
2024,746888,696136,STARTER,5
2024,746889,592791,STARTER,3
2024,746889,592791,STARTER,3
2024,746889,593576,BULLPEN,9
2024,746887,665871,STARTER,1
2024,746560,615698,STARTER,2
2024,746560,615698,STARTER,3
2024,746560,615698,STARTER,3
2024,746560,615698,STARTER,3
2024,746560,615698,STARTER,6
2024,746560,615698,STARTER,6
2024,746560,680767,BULLPEN,8
2024,746560,680767,BULLPEN,8
2024,746560,641755,BULLPEN,9
2024,746560,641755,BULLPEN,9
2024,746560,641755,BULLPEN,9
2024,746560,641755,BULLPEN,9
2024,746561,596295,STARTER,1
2024,746561,596295,STARTER,1
2024,746561,596295,STARTER,3
2024,746561,596295,STARTER,4
2024,746561,656234,BULLPEN,8
