PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,27,142,35,52,55,78,64,244,21,1066,35,74,8,273,73,340,74,5.2592592592592595,2.888888888888889,2.3703703703703702,8.60655737704918,26.73992673992674,21.764705882352942
2024,DEBIL,HOME,34,187,69,70,48,117,70,292,21,1294,46,101,12,384,91,391,90,5.5,3.4411764705882355,2.0588235294117645,7.191780821917808,23.697916666666668,23.017902813299234
2024,FUERTE,AWAY,24,80,21,34,25,53,27,220,6,917,22,59,4,234,48,298,55,3.3333333333333335,2.2083333333333335,1.125,2.727272727272727,20.512820512820515,18.456375838926174
2024,FUERTE,HOME,29,107,29,43,35,72,35,253,15,1042,30,77,1,237,47,332,70,3.689655172413793,2.4827586206896552,1.206896551724138,5.928853754940712,19.831223628691983,21.08433734939759
2024,MEDIO,AWAY,29,123,35,50,38,79,44,266,17,1123,27,87,5,278,60,372,89,4.241379310344827,2.7241379310344827,1.5172413793103448,6.390977443609023,21.58273381294964,23.9247311827957
2024,MEDIO,HOME,18,101,32,42,27,58,43,153,11,675,30,50,6,177,45,211,46,5.611111111111111,3.2222222222222223,2.388888888888889,7.189542483660131,25.423728813559322,21.80094786729858
2025,DEBIL,AWAY,35,181,62,76,43,113,68,316,22,1386,51,99,9,345,76,457,112,5.171428571428572,3.2285714285714286,1.9428571428571428,6.962025316455696,22.028985507246375,24.50765864332604
2025,DEBIL,HOME,28,118,47,40,31,69,49,243,15,1021,28,94,4,276,60,332,77,4.214285714285714,2.4642857142857144,1.75,6.172839506172839,21.73913043478261,23.19277108433735
2025,FUERTE,AWAY,22,74,10,25,39,41,33,203,10,822,19,60,6,178,35,292,67,3.3636363636363638,1.8636363636363635,1.5,4.926108374384237,19.662921348314608,22.945205479452056
2025,FUERTE,HOME,24,90,28,38,24,71,19,206,8,840,28,57,6,188,39,264,53,3.75,2.9583333333333335,0.7916666666666666,3.883495145631068,20.74468085106383,20.075757575757574
2025,MEDIO,AWAY,24,112,40,41,31,57,55,224,13,960,31,79,4,250,57,322,69,4.666666666666667,2.375,2.2916666666666665,5.803571428571429,22.8,21.428571428571427
2025,MEDIO,HOME,29,111,36,43,32,71,40,248,12,1069,25,82,9,262,51,332,73,3.8275862068965516,2.4482758620689653,1.3793103448275863,4.838709677419355,19.46564885496183,21.987951807228917
2026_CUTOFF,DEBIL,AWAY,21,96,31,28,37,52,44,192,10,809,27,79,4,200,38,265,52,4.571428571428571,2.4761904761904763,2.0952380952380953,5.208333333333333,19.0,19.62264150943396
2026_CUTOFF,DEBIL,HOME,16,83,35,32,16,52,31,136,11,607,14,69,10,199,40,198,39,5.1875,3.25,1.9375,8.088235294117647,20.100502512562816,19.696969696969695
2026_CUTOFF,FUERTE,AWAY,14,59,18,20,21,36,23,128,9,540,15,40,1,128,29,173,40,4.214285714285714,2.5714285714285716,1.6428571428571428,7.03125,22.65625,23.121387283236995
2026_CUTOFF,FUERTE,HOME,28,121,46,45,30,82,39,240,14,999,44,67,7,214,47,321,61,4.321428571428571,2.9285714285714284,1.3928571428571428,5.833333333333333,21.962616822429908,19.003115264797508
2026_CUTOFF,MEDIO,AWAY,16,88,30,27,31,57,31,146,10,635,30,55,5,156,34,213,47,5.5,3.5625,1.9375,6.8493150684931505,21.794871794871796,22.065727699530516
2026_CUTOFF,MEDIO,HOME,9,26,10,3,13,14,12,82,2,331,12,31,4,74,11,108,15,2.888888888888889,1.5555555555555556,1.3333333333333333,2.4390243902439024,14.864864864864865,13.88888888888889
