PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED
2024,2024-03-28,746335,True,HOME,142,Minnesota Twins,MEDIO,1,4,1,0,0,2,0,2,9,0,1,0,0
2024,2024-03-30,746333,True,HOME,142,Minnesota Twins,MEDIO,1,5,0,1,0,0,0,5,9,0,1,0,0
2024,2024-03-31,746332,True,HOME,142,Minnesota Twins,MEDIO,11,0,10,1,0,0,0,0,8,2,8,3,0
2024,2024-04-01,747058,False,AWAY,110,Baltimore Orioles,MEDIO,4,6,3,0,1,0,3,3,9,1,3,1,0
2024,2024-04-02,747057,False,AWAY,110,Baltimore Orioles,MEDIO,4,1,3,1,0,1,0,0,9,1,4,0,0
2024,2024-04-03,747059,False,AWAY,110,Baltimore Orioles,MEDIO,3,4,2,0,1,0,0,4,9,0,2,1,0
2024,2024-04-04,746327,True,HOME,145,Chicago White Sox,DEBIL,10,1,1,1,8,0,1,0,8,1,2,8,0
2024,2024-04-05,746328,True,HOME,145,Chicago White Sox,DEBIL,2,1,1,0,1,1,0,0,8,0,1,1,0
2024,2024-04-06,746329,True,HOME,145,Chicago White Sox,DEBIL,3,0,0,0,3,0,0,0,8,1,3,0,0
2024,2024-04-07,746330,True,HOME,145,Chicago White Sox,DEBIL,5,3,0,2,3,0,3,0,8,1,2,3,0
2024,2024-04-09,746326,True,HOME,117,Houston Astros,FUERTE,4,3,0,3,1,2,1,0,10,1,3,1,0
2024,2024-04-10,746323,True,HOME,117,Houston Astros,FUERTE,11,2,7,2,2,0,2,0,8,1,7,4,0
2024,2024-04-11,746322,True,HOME,117,Houston Astros,FUERTE,13,3,9,1,3,0,3,0,8,2,9,4,0
2024,2024-04-12,745838,False,AWAY,121,New York Mets,MEDIO,1,6,1,0,0,1,4,1,9,0,1,0,0
2024,2024-04-13,745839,False,AWAY,121,New York Mets,MEDIO,11,7,4,7,0,4,1,2,9,2,8,3,0
2024,2024-04-14,745841,False,AWAY,121,New York Mets,MEDIO,1,2,0,0,1,0,0,2,9,0,0,1,0
2024,2024-04-15,746813,False,AWAY,145,Chicago White Sox,DEBIL,2,0,0,2,0,0,0,0,9,0,2,0,0
2024,2024-04-17,746807,False,AWAY,145,Chicago White Sox,DEBIL,4,2,1,0,3,2,0,0,9,0,1,3,0
2024,2024-04-17,746809,False,AWAY,145,Chicago White Sox,DEBIL,1,2,0,0,1,0,2,0,9,0,0,1,0
2024,2024-04-19,746325,True,HOME,110,Baltimore Orioles,MEDIO,9,4,0,6,3,0,0,4,8,2,3,6,0
2024,2024-04-20,746324,True,HOME,110,Baltimore Orioles,MEDIO,7,9,0,3,4,7,0,2,9,2,3,4,0
2024,2024-04-21,746316,True,HOME,110,Baltimore Orioles,MEDIO,0,5,0,0,0,2,2,1,9,0,0,0,0
2024,2024-04-22,746319,True,HOME,141,Toronto Blue Jays,DEBIL,3,5,0,2,1,3,2,0,9,0,2,1,0
2024,2024-04-23,746321,True,HOME,141,Toronto Blue Jays,DEBIL,3,2,0,3,0,1,1,0,8,1,3,0,0
