PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,746335,666142,STARTER,18,5,2,1,3,0,9,26
2024,746335,623433,BULLPEN,3,1,0,0,0,0,0,4
2024,746335,672582,BULLPEN,3,2,0,0,0,0,2,5
2024,746335,608717,BULLPEN,3,2,2,0,2,0,1,7
2024,746333,607625,STARTER,18,2,0,0,1,1,4,22
2024,746333,670167,BULLPEN,3,1,0,0,0,2,1,5
2024,746333,663704,BULLPEN,3,2,1,0,0,0,1,5
2024,746333,519293,BULLPEN,3,2,4,0,2,1,0,8
2024,746332,663903,STARTER,21,3,0,0,1,2,10,27
2024,746332,669422,BULLPEN,3,1,0,0,0,0,0,4
2024,746332,543475,BULLPEN,3,0,0,0,1,0,2,4
2024,747058,608379,STARTER,15,3,3,1,1,0,5,19
2024,747058,670167,BULLPEN,3,0,0,0,0,0,1,3
2024,747058,608717,BULLPEN,3,1,0,0,0,0,0,4
2024,747058,663704,BULLPEN,3,3,1,0,0,0,1,6
2024,747058,623433,BULLPEN,1,2,2,1,0,0,0,3
2024,747057,679525,STARTER,21,2,1,0,1,0,5,24
2024,747057,670167,BULLPEN,3,1,0,0,0,0,0,4
2024,747057,519293,BULLPEN,3,0,0,0,0,0,1,3
2024,747059,666142,STARTER,19,1,0,0,2,0,7,22
2024,747059,663704,BULLPEN,3,2,2,0,0,0,1,5
2024,747059,672582,BULLPEN,2,1,0,0,0,0,0,2
2024,747059,519293,BULLPEN,2,2,2,0,2,0,1,6
2024,746327,607625,STARTER,20,8,1,0,2,0,3,27
2024,746327,672582,BULLPEN,1,0,0,0,0,0,0,1
2024,746327,669422,BULLPEN,3,0,0,0,1,0,0,4
2024,746327,543475,BULLPEN,3,0,0,0,1,0,1,4
2024,746328,663903,STARTER,19,2,1,1,1,0,4,21
2024,746328,670167,BULLPEN,2,0,0,0,1,0,1,3
2024,746328,608717,BULLPEN,3,1,0,0,1,0,1,4
2024,746328,519293,BULLPEN,1,1,0,0,1,0,1,3
2024,746328,663704,BULLPEN,2,0,0,0,0,0,0,1
2024,746329,608379,STARTER,21,2,0,0,1,0,8,23
2024,746329,623433,BULLPEN,3,1,0,0,1,0,1,4
2024,746329,608717,BULLPEN,3,0,0,0,0,0,1,3
2024,746330,679525,STARTER,14,8,3,0,1,0,3,23
2024,746330,672582,BULLPEN,4,1,0,0,0,1,1,5
2024,746330,670167,BULLPEN,3,1,0,0,1,0,1,5
2024,746330,519293,BULLPEN,3,1,0,0,0,0,1,4
2024,746330,663704,BULLPEN,3,1,0,0,1,0,2,5
2024,746326,666142,STARTER,15,10,3,0,1,0,5,26
2024,746326,623433,BULLPEN,3,1,0,0,0,0,1,4
2024,746326,608717,BULLPEN,3,1,0,0,0,0,2,5
2024,746326,670167,BULLPEN,3,0,0,0,0,0,0,3
2024,746326,663704,BULLPEN,6,1,0,0,0,0,2,7
2024,746323,607625,STARTER,18,7,2,0,2,0,2,27
2024,746323,672582,BULLPEN,3,0,0,0,0,0,2,3
2024,746323,543475,BULLPEN,3,1,0,0,0,0,0,4
2024,746323,669422,BULLPEN,3,1,0,0,1,0,0,5
2024,746322,663903,STARTER,15,5,1,1,2,0,4,22
2024,746322,623433,BULLPEN,2,2,2,0,3,0,0,7
2024,746322,672582,BULLPEN,1,0,0,0,0,0,0,1
2024,746322,669422,BULLPEN,6,3,0,0,0,0,2,9
2024,746322,543475,BULLPEN,3,1,0,0,0,0,0,4
2024,745838,608379,STARTER,18,10,5,0,2,0,4,27
2024,745838,543475,BULLPEN,3,0,0,0,0,0,0,3
2024,745838,519293,BULLPEN,3,4,1,1,0,0,1,7
2024,745839,679525,STARTER,15,5,4,1,1,0,2,21
2024,745839,672582,BULLPEN,3,1,1,1,0,0,1,4
2024,745839,623433,BULLPEN,3,0,0,0,0,0,0,3
2024,745839,669422,BULLPEN,0,1,2,1,2,0,0,3
2024,745839,670167,BULLPEN,3,0,0,0,0,0,1,3
2024,745839,663704,BULLPEN,3,2,0,0,0,0,2,5
2024,745841,666142,STARTER,18,5,0,0,1,1,8,24
2024,745841,670167,BULLPEN,3,2,0,0,1,0,0,6
2024,745841,608717,BULLPEN,3,1,2,0,4,0,0,8
2024,746813,607625,STARTER,21,4,0,0,1,0,4,25
2024,746813,608717,BULLPEN,3,0,0,0,0,0,1,3
2024,746813,663704,BULLPEN,3,0,0,0,0,1,2,4
2024,746807,663903,STARTER,15,3,2,1,3,0,5,20
2024,746807,519293,BULLPEN,3,0,0,0,0,0,1,3
2024,746807,623433,BULLPEN,3,1,0,0,0,0,1,4
2024,746807,670167,BULLPEN,3,0,0,0,0,0,2,3
2024,746807,663704,BULLPEN,3,1,0,0,0,0,1,4
2024,746809,608379,STARTER,18,4,2,1,2,0,4,24
2024,746809,672582,BULLPEN,2,2,0,0,0,0,0,4
2024,746809,608717,BULLPEN,4,0,0,0,2,0,0,5
