PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,746335,641154,STARTER,1
2024,746333,657746,STARTER,6
2024,746332,641927,STARTER,1
2024,746332,641927,STARTER,1
2024,746332,641927,STARTER,1
2024,746332,641927,STARTER,2
2024,746332,641927,STARTER,2
2024,746332,641927,STARTER,2
2024,746332,641927,STARTER,2
2024,746332,641927,STARTER,2
2024,746332,681892,BULLPEN,2
2024,746332,681892,BULLPEN,3
2024,746332,663485,BULLPEN,6
2024,747058,665152,STARTER,3
2024,747058,665152,STARTER,3
2024,747058,665152,STARTER,3
2024,747058,518886,BULLPEN,9
2024,747057,608344,STARTER,2
2024,747057,608344,STARTER,2
2024,747057,608344,STARTER,2
2024,747057,608344,STARTER,4
2024,747059,669203,STARTER,1
2024,747059,669203,STARTER,3
2024,747059,657508,BULLPEN,7
2024,746327,647336,STARTER,2
2024,746327,647336,STARTER,4
2024,746327,665620,BULLPEN,7
2024,746327,665620,BULLPEN,7
2024,746327,665620,BULLPEN,7
2024,746327,665620,BULLPEN,7
2024,746327,665620,BULLPEN,7
2024,746327,608678,BULLPEN,7
2024,746327,608678,BULLPEN,7
2024,746327,608678,BULLPEN,7
2024,746328,607200,STARTER,1
2024,746328,656629,BULLPEN,8
2024,746329,623167,STARTER,7
2024,746329,623167,STARTER,7
2024,746329,623167,STARTER,7
2024,746330,676979,STARTER,5
2024,746330,676979,STARTER,5
2024,746330,665620,BULLPEN,7
2024,746330,665620,BULLPEN,7
2024,746330,665620,BULLPEN,7
2024,746326,664299,STARTER,5
2024,746326,664299,STARTER,5
2024,746326,664299,STARTER,5
2024,746326,593833,BULLPEN,10
2024,746323,681293,STARTER,3
2024,746323,681293,STARTER,3
2024,746323,681293,STARTER,3
2024,746323,681293,STARTER,3
2024,746323,681293,STARTER,3
2024,746323,681293,STARTER,3
2024,746323,681293,STARTER,3
2024,746323,656232,BULLPEN,4
2024,746323,656786,BULLPEN,6
2024,746323,656786,BULLPEN,8
2024,746323,656786,BULLPEN,8
2024,746322,686613,STARTER,1
2024,746322,686613,STARTER,1
2024,746322,686613,STARTER,1
2024,746322,686613,STARTER,1
2024,746322,686613,STARTER,1
2024,746322,686613,STARTER,1
2024,746322,686613,STARTER,1
2024,746322,686613,STARTER,1
2024,746322,686613,STARTER,1
2024,746322,606160,BULLPEN,6
2024,746322,650556,BULLPEN,7
2024,746322,650556,BULLPEN,7
2024,746322,650556,BULLPEN,7
2024,745838,622663,STARTER,2
2024,745839,640455,STARTER,1
2024,745839,640455,STARTER,2
2024,745839,640455,STARTER,2
2024,745839,640455,STARTER,2
2024,745839,640455,STARTER,4
2024,745839,640455,STARTER,4
2024,745839,640455,STARTER,4
2024,745839,640455,STARTER,4
2024,745839,642121,BULLPEN,5
2024,745839,642121,BULLPEN,6
2024,745839,642121,BULLPEN,6
2024,745841,621242,BULLPEN,9
2024,746813,680897,STARTER,4
2024,746813,680897,STARTER,5
2024,746807,686563,STARTER,2
2024,746807,656629,BULLPEN,8
2024,746807,656629,BULLPEN,8
2024,746807,608678,BULLPEN,9
2024,746809,621383,BULLPEN,7
2024,746325,665152,STARTER,4
2024,746325,665152,STARTER,6
2024,746325,669211,BULLPEN,6
2024,746325,665152,STARTER,6
2024,746325,669211,BULLPEN,6
2024,746325,669211,BULLPEN,6
2024,746325,622253,BULLPEN,7
2024,746325,622253,BULLPEN,7
2024,746325,622253,BULLPEN,7
