PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,28,122,42,35,45,73,49,253,13,1060,33,75,10,257,61,357,70,4.357142857142857,2.607142857142857,1.75,5.138339920948616,23.735408560311285,19.607843137254903
2024,DEBIL,HOME,26,126,31,54,41,77,49,212,16,916,25,72,5,240,62,302,79,4.846153846153846,2.9615384615384617,1.8846153846153846,7.547169811320755,25.833333333333332,26.158940397350992
2024,FUERTE,AWAY,29,121,30,33,58,56,65,267,13,1102,33,77,13,264,51,339,54,4.172413793103448,1.9310344827586208,2.2413793103448274,4.868913857677903,19.318181818181817,15.929203539823009
2024,FUERTE,HOME,32,167,56,59,52,95,72,278,23,1192,30,100,6,318,86,360,72,5.21875,2.96875,2.25,8.273381294964029,27.044025157232703,20.0
2024,MEDIO,AWAY,24,107,39,44,24,66,41,216,12,886,28,49,5,203,49,293,62,4.458333333333333,2.75,1.7083333333333333,5.555555555555555,24.137931034482758,21.160409556313994
2024,MEDIO,HOME,23,92,28,37,27,55,37,199,13,833,21,56,1,190,42,290,72,4.0,2.391304347826087,1.608695652173913,6.532663316582915,22.105263157894736,24.82758620689655
2025,DEBIL,AWAY,30,144,31,63,50,78,66,275,15,1167,40,76,4,299,74,392,93,4.8,2.6,2.2,5.454545454545454,24.74916387959866,23.724489795918366
2025,DEBIL,HOME,32,128,47,43,38,75,53,271,12,1143,22,93,8,305,69,380,94,4.0,2.34375,1.65625,4.428044280442805,22.62295081967213,24.736842105263158
2025,FUERTE,AWAY,28,116,41,35,40,67,49,254,13,1052,33,74,7,237,57,338,59,4.142857142857143,2.392857142857143,1.75,5.118110236220472,24.050632911392405,17.45562130177515
2025,FUERTE,HOME,19,69,25,23,21,43,26,167,4,685,26,52,3,169,26,217,38,3.6315789473684212,2.263157894736842,1.368421052631579,2.395209580838323,15.384615384615385,17.51152073732719
2025,MEDIO,AWAY,23,90,34,24,32,55,35,209,10,880,16,65,3,244,49,281,56,3.9130434782608696,2.391304347826087,1.5217391304347827,4.784688995215311,20.081967213114755,19.9288256227758
2025,MEDIO,HOME,30,104,37,25,42,48,56,263,15,1089,22,75,2,247,56,362,80,3.466666666666667,1.6,1.8666666666666667,5.7034220532319395,22.672064777327936,22.099447513812155
2026_CUTOFF,DEBIL,AWAY,13,59,18,22,19,25,34,119,6,528,17,54,3,139,26,181,41,4.538461538461538,1.9230769230769231,2.6153846153846154,5.042016806722689,18.705035971223023,22.65193370165746
2026_CUTOFF,DEBIL,HOME,12,77,23,26,28,41,36,102,13,464,13,41,1,153,40,150,40,6.416666666666667,3.4166666666666665,3.0,12.745098039215685,26.143790849673202,26.666666666666668
2026_CUTOFF,FUERTE,AWAY,19,63,11,23,29,38,25,172,5,686,16,48,5,149,23,225,46,3.3157894736842106,2.0,1.3157894736842106,2.9069767441860463,15.436241610738255,20.444444444444443
2026_CUTOFF,FUERTE,HOME,22,72,24,29,19,40,32,192,6,779,20,63,7,177,39,247,43,3.272727272727273,1.8181818181818181,1.4545454545454546,3.125,22.033898305084747,17.408906882591094
2026_CUTOFF,MEDIO,AWAY,18,64,13,24,27,28,36,164,5,691,13,59,3,185,32,228,51,3.5555555555555554,1.5555555555555556,2.0,3.048780487804878,17.2972972972973,22.36842105263158
2026_CUTOFF,MEDIO,HOME,19,103,37,41,25,59,44,168,10,741,25,59,3,230,55,240,63,5.421052631578948,3.1052631578947367,2.3157894736842106,5.9523809523809526,23.91304347826087,26.25
