PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,747060,663776,STARTER,5,6,3,0,2,0,2,14
2024,747060,660761,BULLPEN,11,2,3,1,1,0,2,14
2024,747060,542585,BULLPEN,2,2,3,1,2,0,0,6
2024,747060,670871,BULLPEN,3,0,0,0,1,0,1,4
2024,747060,643256,BULLPEN,3,0,0,0,0,0,0,3
2024,747063,656288,STARTER,15,7,5,1,1,0,2,23
2024,747063,472610,BULLPEN,0,3,3,0,0,0,0,4
2024,747063,670871,BULLPEN,3,2,3,1,1,0,0,6
2024,747063,542585,BULLPEN,3,0,0,0,0,0,3,3
2024,747063,643256,BULLPEN,3,2,1,0,0,0,1,5
2024,747062,672282,STARTER,15,2,1,0,3,1,7,21
2024,747062,667755,BULLPEN,9,1,0,0,2,0,2,12
2024,747062,608032,BULLPEN,3,0,0,0,0,0,0,3
2024,746085,681217,STARTER,9,5,3,0,2,0,5,18
2024,746085,542585,BULLPEN,3,2,0,0,0,0,0,4
2024,746085,660761,BULLPEN,4,1,0,0,2,0,2,7
2024,746085,643256,BULLPEN,5,0,0,0,0,0,1,4
2024,746085,519043,BULLPEN,3,0,0,0,0,0,1,3
2024,746085,608032,BULLPEN,3,1,0,0,0,0,0,3
2024,746086,542881,STARTER,21,4,0,0,2,0,5,26
2024,746086,519043,BULLPEN,3,0,0,0,0,0,0,3
2024,746086,472610,BULLPEN,3,1,1,1,1,0,1,5
2024,746083,663776,STARTER,17,4,2,0,2,1,7,23
2024,746083,542585,BULLPEN,1,0,0,0,0,0,1,1
2024,746083,670871,BULLPEN,9,0,0,0,0,0,1,9
2024,746249,656288,STARTER,14,5,4,3,3,1,4,23
2024,746249,660761,BULLPEN,3,1,1,0,1,1,1,6
2024,746249,472610,BULLPEN,1,0,0,0,0,0,0,1
2024,746249,667755,BULLPEN,9,3,3,2,1,1,1,13
2024,746248,672282,STARTER,18,3,1,0,1,0,12,21
2024,746248,643256,BULLPEN,3,0,0,0,0,1,1,4
2024,746248,519043,BULLPEN,3,0,0,0,0,0,0,3
2024,746248,608032,BULLPEN,3,0,0,0,0,0,1,3
2024,746251,681217,STARTER,15,3,3,3,2,0,7,20
2024,746251,542585,BULLPEN,1,2,3,0,0,1,1,4
2024,746251,660761,BULLPEN,10,5,5,1,2,0,3,17
2024,746251,670871,BULLPEN,0,2,1,0,2,0,0,4
2024,746251,593934,BULLPEN,1,0,0,0,0,0,0,1
2024,746252,542881,STARTER,21,4,0,0,1,0,3,25
2024,746252,643256,BULLPEN,3,1,0,0,0,0,0,3
2024,746252,519326,BULLPEN,3,3,1,0,0,0,0,5
2024,746250,663776,STARTER,15,5,3,0,3,0,6,24
2024,746250,472610,BULLPEN,3,1,0,0,0,0,1,4
2024,746250,542585,BULLPEN,3,3,1,1,0,0,2,6
2024,746250,519326,BULLPEN,3,2,1,0,0,0,0,5
2024,746250,608334,BULLPEN,3,0,0,0,1,0,0,3
2024,746247,667755,STARTER,12,6,4,1,0,0,6,18
2024,746247,643256,BULLPEN,3,1,0,0,0,0,1,3
2024,746247,472610,BULLPEN,3,0,0,0,0,0,1,3
2024,746247,519043,BULLPEN,6,0,0,0,0,0,3,6
2024,746247,608032,BULLPEN,3,0,0,0,0,0,1,3
2024,746978,672282,STARTER,19,3,0,0,2,0,7,22
2024,746978,472610,BULLPEN,2,0,0,0,0,0,1,2
2024,746978,542585,BULLPEN,3,0,0,0,0,0,1,3
2024,746978,519326,BULLPEN,3,0,0,0,0,0,1,3
2024,746979,656288,STARTER,12,9,6,1,0,0,6,20
2024,746979,608334,BULLPEN,12,2,0,0,3,0,5,16
2024,746975,542881,STARTER,13,4,3,2,3,0,4,20
2024,746975,643256,BULLPEN,2,0,0,0,1,0,0,2
2024,746975,660761,BULLPEN,6,2,2,1,3,0,3,10
2024,746975,542585,BULLPEN,3,1,0,0,1,0,2,5
2024,745106,663776,STARTER,15,4,1,0,2,0,3,21
