PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,747060,669203,STARTER,1
2024,747060,622253,BULLPEN,8
2024,747060,622253,BULLPEN,8
2024,747063,680570,STARTER,4
2024,747063,672335,BULLPEN,9
2024,747063,672335,BULLPEN,9
2024,747063,657508,BULLPEN,9
2024,747062,669330,STARTER,1
2024,747062,669330,STARTER,1
2024,747062,669330,STARTER,2
2024,747062,669330,STARTER,2
2024,746085,676974,STARTER,2
2024,746085,676974,STARTER,4
2024,746085,666277,BULLPEN,6
2024,746085,666277,BULLPEN,6
2024,746085,656945,BULLPEN,8
2024,746085,669622,BULLPEN,9
2024,746085,669622,BULLPEN,9
2024,746086,666200,STARTER,4
2024,746086,666200,STARTER,6
2024,746086,666200,STARTER,6
2024,746083,640462,STARTER,1
2024,746083,640462,STARTER,1
2024,746083,640462,STARTER,3
2024,746083,640462,STARTER,3
2024,746083,572143,BULLPEN,5
2024,746083,572143,BULLPEN,5
2024,746083,592288,BULLPEN,7
2024,746083,592288,BULLPEN,7
2024,746083,592288,BULLPEN,7
2024,746083,592288,BULLPEN,8
2024,746249,676710,STARTER,5
2024,746249,670174,BULLPEN,6
2024,746249,670174,BULLPEN,6
2024,746249,670174,BULLPEN,6
2024,746249,670174,BULLPEN,6
2024,746249,455119,BULLPEN,7
2024,746248,669711,BULLPEN,6
2024,746248,669711,BULLPEN,6
2024,746251,502624,BULLPEN,8
2024,746251,502624,BULLPEN,9
2024,746252,621107,STARTER,1
2024,746252,621107,STARTER,1
2024,746252,621107,STARTER,3
2024,746252,621107,STARTER,5
2024,746252,621107,STARTER,5
2024,746252,621097,BULLPEN,7
2024,746252,621097,BULLPEN,8
2024,746250,650644,STARTER,1
2024,746250,650644,STARTER,1
2024,746250,650644,STARTER,4
2024,746250,664126,BULLPEN,9
2024,746247,641793,STARTER,4
2024,746247,687330,BULLPEN,6
2024,746978,656557,STARTER,1
2024,746978,656557,STARTER,1
2024,746978,656557,STARTER,1
2024,746978,656557,STARTER,3
2024,746978,656557,STARTER,4
2024,746978,656557,STARTER,6
2024,746978,656557,STARTER,6
2024,746979,681867,STARTER,3
2024,746979,681867,STARTER,3
2024,746975,678394,STARTER,2
